Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1383,-1.94E-04,-5.46E-12,-8.36E-03,6.76E-01
1384,-5.28E-05,0.00E+00,-9.19E-03,7.05E-01
1385,3.11E-05,0.00E+00,-9.08E-03,7.07E-01
1386,-2.93E-05,0.00E+00,-8.87E-03,6.94E-01
1387,-2.98E-04,-7.28E-12,-8.95E-03,6.63E-01
1388,-2.71E-04,5.46E-12,-8.99E-03,6.67E-01
1389,5.82E-05,0.00E+00,-8.64E-03,7.23E-01
1390,-3.03E-04,0.00E+00,-7.76E-03,6.09E-01
1391,-3.43E-04,-7.28E-12,-8.30E-03,6.21E-01
1392,7.25E-05,0.00E+00,-8.53E-03,7.26E-01
1393,-3.06E-04,-3.64E-12,-8.18E-03,6.51E-01
1394,-3.13E-03,7.28E-12,-2.47E-03,0.00E+00
1395,-3.02E-03,-9.09E-13,-2.61E-03,0.00E+00
1396,-3.00E-03,9.09E-13,-2.59E-03,7.66E-04
1397,-3.11E-03,0.00E+00,-2.45E-03,7.72E-04
1398,-3.01E-03,-6.37E-12,-2.62E-03,0.00E+00
1399,-2.88E-03,9.09E-13,-2.76E-03,0.00E+00
1400,-2.99E-03,-6.37E-12,-2.61E-03,7.67E-04
1401,-2.86E-03,0.00E+00,-2.74E-03,7.74E-04
1402,-2.87E-03,-9.09E-13,-2.77E-03,0.00E+00
1403,-2.85E-03,-1.82E-12,-2.75E-03,7.75E-04
1404,-3.09E-03,1.82E-12,-2.43E-03,1.67E-03
1405,-2.97E-03,0.00E+00,-2.57E-03,1.66E-03
1406,-2.96E-03,9.09E-13,-2.59E-03,1.66E-03
1407,-2.84E-03,-9.09E-13,-2.72E-03,1.67E-03
1408,-2.83E-03,5.46E-12,-2.73E-03,1.67E-03
1409,-2.95E-03,3.64E-12,-2.55E-03,2.69E-03
1410,-3.06E-03,-9.09E-13,-2.41E-03,2.71E-03
1411,-2.81E-03,-3.64E-12,-2.69E-03,2.71E-03
1412,-2.93E-03,0.00E+00,-2.56E-03,2.69E-03
1413,-2.80E-03,-3.64E-12,-2.70E-03,2.71E-03
1414,-2.78E-03,3.64E-12,-2.66E-03,3.89E-03
1415,-2.90E-03,9.09E-13,-2.53E-03,3.87E-03
1416,-2.91E-03,0.00E+00,-2.52E-03,3.87E-03
1417,-2.86E-03,-5.46E-12,-2.50E-03,5.78E-03
1418,-2.74E-03,0.00E+00,-2.62E-03,5.77E-03
1419,-2.87E-03,9.09E-13,-2.48E-03,5.83E-03
1420,-3.57E-03,7.28E-12,-1.79E-03,0.00E+00
1421,-3.56E-03,-9.09E-13,-1.80E-03,0.00E+00
1422,-3.54E-03,-3.64E-12,-1.78E-03,9.18E-04
1423,-3.54E-03,9.09E-13,-1.79E-03,9.14E-04
1424,-3.72E-03,7.28E-12,-1.44E-03,0.00E+00
1425,-3.65E-03,-9.09E-13,-1.61E-03,0.00E+00
1426,-3.63E-03,-9.09E-13,-1.60E-03,9.81E-04
1427,-3.70E-03,9.09E-13,-1.43E-03,1.05E-03
1428,-3.79E-03,-6.37E-12,-1.25E-03,0.00E+00
1429,-3.73E-03,0.00E+00,-1.43E-03,0.00E+00
1430,-3.70E-03,0.00E+00,-1.42E-03,1.06E-03
1431,-3.76E-03,-4.55E-12,-1.25E-03,1.14E-03
1432,-3.47E-03,-9.09E-13,-1.96E-03,0.00E+00
1433,-3.45E-03,0.00E+00,-1.95E-03,8.68E-04
1434,-3.90E-03,-7.28E-12,-8.56E-04,0.00E+00
1435,-3.89E-03,-9.09E-13,-8.72E-04,0.00E+00
1436,-3.87E-03,3.64E-12,-8.51E-04,1.41E-03
1437,-3.87E-03,-9.09E-13,-8.67E-04,1.39E-03
1438,-3.85E-03,7.28E-12,-1.05E-03,0.00E+00
1439,-3.85E-03,0.00E+00,-1.06E-03,0.00E+00
1440,-3.82E-03,-9.09E-13,-1.06E-03,1.24E-03
1441,-3.82E-03,6.37E-12,-1.04E-03,1.25E-03
1442,-3.93E-03,-7.28E-12,-6.78E-04,0.00E+00
1443,-3.91E-03,0.00E+00,-6.73E-04,1.58E-03
1444,-3.46E-03,6.37E-12,-1.98E-03,0.00E+00
1445,-3.37E-03,0.00E+00,-2.13E-03,0.00E+00
1446,-3.44E-03,9.09E-13,-1.96E-03,8.64E-04
1447,-3.35E-03,0.00E+00,-2.12E-03,8.26E-04
1448,-3.64E-03,7.28E-12,-1.62E-03,0.00E+00
1449,-3.62E-03,5.46E-12,-1.61E-03,9.75E-04
1450,-3.79E-03,0.00E+00,-1.24E-03,0.00E+00
1451,-3.77E-03,9.09E-13,-1.23E-03,1.15E-03
1452,-3.87E-03,-3.64E-12,-6.68E-04,3.52E-03
1453,-3.84E-03,0.00E+00,-8.44E-04,3.11E-03
1454,-3.84E-03,3.64E-12,-8.60E-04,3.08E-03
1455,-3.79E-03,-9.09E-13,-1.03E-03,2.77E-03
1456,-3.79E-03,1.82E-12,-1.05E-03,2.75E-03
1457,-3.74E-03,-9.09E-13,-1.22E-03,2.52E-03
1458,-3.73E-03,2.73E-12,-1.24E-03,2.50E-03
1459,-3.67E-03,0.00E+00,-1.40E-03,2.32E-03
1460,-3.67E-03,6.37E-12,-1.42E-03,2.30E-03
1461,-3.60E-03,0.00E+00,-1.59E-03,2.14E-03
1462,-3.59E-03,-4.55E-12,-1.60E-03,2.13E-03
1463,-3.51E-03,0.00E+00,-1.76E-03,2.00E-03
1464,-3.51E-03,1.82E-12,-1.78E-03,1.99E-03
1465,-3.42E-03,9.09E-13,-1.93E-03,1.89E-03
1466,-3.41E-03,-9.09E-13,-1.95E-03,1.88E-03
1467,-3.32E-03,-9.09E-13,-2.10E-03,1.79E-03
1468,-3.80E-03,-3.64E-12,-8.36E-04,5.20E-03
1469,-3.84E-03,0.00E+00,-6.62E-04,5.89E-03
1470,-3.76E-03,-9.09E-13,-1.02E-03,4.61E-03
1471,-3.80E-03,9.09E-13,-8.52E-04,5.14E-03
1472,-3.70E-03,5.46E-12,-1.21E-03,4.18E-03
1473,-3.75E-03,0.00E+00,-1.04E-03,4.57E-03
1474,-3.64E-03,9.09E-13,-1.39E-03,3.82E-03
1475,-3.70E-03,-9.09E-13,-1.22E-03,4.14E-03
1476,-3.56E-03,-9.09E-13,-1.57E-03,3.52E-03
1477,-3.63E-03,0.00E+00,-1.41E-03,3.79E-03
1478,-3.48E-03,-4.55E-12,-1.75E-03,3.27E-03
1479,-3.56E-03,0.00E+00,-1.59E-03,3.50E-03
1480,-3.39E-03,3.64E-12,-1.92E-03,3.08E-03
1481,-3.47E-03,9.09E-13,-1.76E-03,3.26E-03
1482,-3.38E-03,4.55E-12,-1.93E-03,3.06E-03
1483,-3.76E-03,5.46E-12,-8.26E-04,7.76E-03
1484,-3.79E-03,0.00E+00,-6.54E-04,8.82E-03
1485,-3.72E-03,2.73E-12,-1.01E-03,6.85E-03
1486,-3.76E-03,-9.09E-13,-8.42E-04,7.67E-03
1487,-3.66E-03,5.46E-12,-1.20E-03,6.17E-03
1488,-3.71E-03,0.00E+00,-1.03E-03,6.79E-03
1489,-3.60E-03,6.37E-12,-1.38E-03,5.61E-03
1490,-3.65E-03,-9.09E-13,-1.21E-03,6.12E-03
1491,-3.52E-03,0.00E+00,-1.55E-03,5.15E-03
1492,-3.59E-03,-9.09E-13,-1.39E-03,5.56E-03
1493,-3.44E-03,0.00E+00,-1.73E-03,4.77E-03
1494,-3.52E-03,0.00E+00,-1.57E-03,5.12E-03
1495,-3.35E-03,-5.46E-12,-1.89E-03,4.46E-03
1496,-3.43E-03,0.00E+00,-1.74E-03,4.74E-03
1497,-3.74E-03,2.73E-12,-6.46E-04,1.49E-02
1498,-3.71E-03,0.00E+00,-8.15E-04,1.27E-02
1499,-3.71E-03,-6.37E-12,-8.31E-04,1.24E-02
1500,-3.66E-03,0.00E+00,-9.98E-04,1.10E-02
1501,-3.66E-03,-1.82E-12,-1.01E-03,1.08E-02
1502,-3.61E-03,0.00E+00,-1.18E-03,9.59E-03
1503,-3.60E-03,-3.64E-12,-1.19E-03,9.55E-03
1504,-3.55E-03,0.00E+00,-1.36E-03,9.03E-03
1505,-3.54E-03,9.09E-13,-1.37E-03,8.93E-03
1506,-3.47E-03,-9.09E-13,-1.53E-03,7.97E-03
1507,-3.47E-03,-6.37E-12,-1.55E-03,7.92E-03
1508,-3.39E-03,-9.09E-13,-1.70E-03,7.62E-03
1509,-3.39E-03,5.46E-12,-1.72E-03,7.57E-03
1510,-3.51E-03,0.00E+00,-7.23E-04,2.30E-02
