Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,3.01E-04,1.82E-12,-1.49E-02,1.28E-01
1,4.02E-04,0.00E+00,-1.49E-02,1.28E-01
2,3.22E-04,0.00E+00,-1.48E-02,1.28E-01
3,1.18E-04,7.28E-12,-1.46E-02,1.36E-01
4,-1.53E-04,1.46E-11,-1.46E-02,1.36E-01
5,-8.99E-05,0.00E+00,-1.47E-02,1.30E-01
6,3.71E-04,0.00E+00,-1.36E-02,1.70E-01
7,3.91E-04,-7.28E-12,-1.39E-02,1.64E-01
8,1.38E-04,0.00E+00,-1.38E-02,1.71E-01
9,4.49E-04,0.00E+00,-1.46E-02,1.34E-01
10,6.37E-04,3.64E-12,-1.45E-02,1.27E-01
11,5.83E-04,-3.64E-12,-1.48E-02,1.31E-01
12,5.87E-04,0.00E+00,-1.38E-02,1.35E-01
13,5.83E-04,1.82E-12,-1.39E-02,1.34E-01
14,3.84E-04,0.00E+00,-1.45E-02,1.43E-01
15,6.63E-04,3.64E-12,-1.49E-02,1.28E-01
16,3.09E-04,1.82E-12,-1.48E-02,1.30E-01
17,2.35E-04,1.82E-12,-1.48E-02,1.28E-01
18,-3.37E-04,0.00E+00,-1.29E-02,1.80E-01
19,-3.46E-04,0.00E+00,-1.29E-02,1.80E-01
20,-1.23E-04,3.64E-12,-1.30E-02,1.89E-01
21,7.11E-04,7.28E-12,-1.45E-02,1.25E-01
22,5.37E-04,0.00E+00,-1.44E-02,1.40E-01
23,-6.00E-05,-5.46E-12,-1.42E-02,1.53E-01
24,3.25E-05,1.82E-12,-1.38E-02,1.71E-01
25,-2.53E-04,0.00E+00,-1.39E-02,1.67E-01
26,-4.94E-05,-7.28E-12,-1.49E-02,1.28E-01
27,2.61E-04,0.00E+00,-1.49E-02,1.28E-01
28,2.21E-04,0.00E+00,-1.31E-02,1.84E-01
29,4.99E-04,-3.64E-12,-1.30E-02,1.59E-01
30,4.77E-04,7.28E-12,-1.32E-02,1.60E-01
31,2.84E-04,1.82E-12,-1.48E-02,1.28E-01
32,2.88E-04,0.00E+00,-1.46E-02,1.37E-01
33,9.06E-05,-1.82E-12,-1.38E-02,1.71E-01
34,8.12E-05,0.00E+00,-1.38E-02,1.71E-01
35,1.02E-04,-1.82E-12,-1.38E-02,1.71E-01
36,2.20E-05,0.00E+00,-1.43E-02,1.50E-01
37,-1.28E-05,-5.46E-12,-1.43E-02,1.50E-01
38,-1.85E-05,-5.46E-12,-1.42E-02,1.51E-01
39,-3.86E-05,-3.64E-12,-1.43E-02,1.51E-01
40,-4.27E-05,0.00E+00,-1.36E-02,1.82E-01
41,7.06E-04,0.00E+00,-1.48E-02,1.24E-01
42,2.98E-06,0.00E+00,-1.42E-02,1.52E-01
43,-5.51E-05,0.00E+00,-1.35E-02,1.83E-01
44,4.21E-04,0.00E+00,-1.34E-02,1.69E-01
45,1.11E-04,-1.82E-12,-1.38E-02,1.71E-01
46,6.07E-04,0.00E+00,-1.36E-02,1.28E-01
47,-6.33E-05,1.32E-11,-1.35E-02,1.83E-01
48,4.95E-04,1.09E-11,-1.29E-02,1.57E-01
