Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,-1.58E-04,7.28E-12,-1.23E-02,5.78E-01
1,-1.41E-05,7.28E-12,-1.21E-02,5.85E-01
2,5.79E-05,0.00E+00,-1.23E-02,5.90E-01
3,-2.57E-04,1.46E-11,-1.25E-02,5.67E-01
4,-2.98E-04,-7.28E-12,-1.27E-02,5.44E-01
5,-8.13E-06,7.28E-12,-1.25E-02,5.82E-01
6,9.00E-05,0.00E+00,-1.27E-02,5.66E-01
7,1.29E-04,0.00E+00,-1.25E-02,5.83E-01
8,-3.55E-04,0.00E+00,-1.15E-02,5.79E-01
9,-3.86E-04,-1.09E-11,-1.16E-02,5.69E-01
10,-1.32E-04,1.82E-12,-1.15E-02,6.13E-01
11,4.55E-04,0.00E+00,-1.25E-02,4.70E-01
12,2.14E-04,7.28E-12,-1.27E-02,5.66E-01
13,2.85E-04,0.00E+00,-1.23E-02,5.70E-01
14,-3.21E-05,-7.28E-12,-1.15E-02,6.32E-01
15,-2.13E-05,0.00E+00,-1.15E-02,6.29E-01
16,-4.69E-06,-7.28E-12,-1.15E-02,6.25E-01
17,1.56E-05,3.64E-12,-1.15E-02,6.31E-01
18,1.85E-04,0.00E+00,-1.22E-02,5.80E-01
19,-3.27E-04,-7.28E-12,-1.30E-02,5.40E-01
20,-3.38E-04,-3.64E-12,-1.29E-02,5.47E-01
21,-3.80E-05,0.00E+00,-1.31E-02,5.61E-01
22,-7.29E-05,0.00E+00,-1.29E-02,5.61E-01
23,1.71E-04,0.00E+00,-1.28E-02,5.65E-01
24,-1.46E-05,-4.55E-13,-1.31E-02,5.61E-01
25,-2.49E-04,0.00E+00,-1.35E-02,5.31E-01
26,-2.54E-04,7.28E-12,-1.33E-02,5.40E-01
27,-3.95E-04,0.00E+00,-1.34E-02,5.30E-01
28,2.93E-05,0.00E+00,-1.34E-02,5.35E-01
29,3.02E-05,-4.55E-13,-1.34E-02,5.35E-01
30,3.34E-04,-7.28E-12,-1.21E-02,5.68E-01
31,5.64E-04,3.64E-12,-1.20E-02,4.13E-01
32,3.13E-04,-7.28E-12,-1.19E-02,5.66E-01
33,-3.23E-04,-7.28E-12,-1.23E-02,5.43E-01
34,-2.80E-04,1.82E-12,-1.21E-02,5.75E-01
35,-3.18E-04,-1.82E-12,-1.21E-02,5.68E-01
36,-6.95E-06,3.64E-12,-1.16E-02,6.27E-01
37,-6.01E-05,-1.82E-12,-1.16E-02,6.22E-01
38,-7.54E-06,7.28E-12,-1.13E-02,6.15E-01
39,1.16E-04,-7.28E-12,-1.12E-02,6.13E-01
40,2.75E-04,0.00E+00,-1.12E-02,5.95E-01
41,-3.93E-04,0.00E+00,-1.30E-02,5.15E-01
42,-4.69E-04,-3.64E-12,-1.33E-02,5.00E-01
43,-3.09E-04,-3.64E-12,-1.31E-02,5.51E-01
44,1.40E-05,-7.28E-12,-1.15E-02,6.27E-01
45,-4.75E-05,0.00E+00,-1.40E-02,4.95E-01
46,-8.03E-06,1.46E-11,-1.40E-02,4.93E-01
47,2.74E-05,0.00E+00,-1.35E-02,5.29E-01
48,3.67E-05,7.73E-12,-1.35E-02,5.35E-01
49,1.06E-04,0.00E+00,-1.39E-02,5.00E-01
50,3.30E-04,0.00E+00,-1.37E-02,5.18E-01
51,-2.46E-04,0.00E+00,-1.37E-02,5.21E-01
52,3.65E-05,0.00E+00,-1.34E-02,5.35E-01
53,4.14E-05,7.28E-12,-1.34E-02,5.34E-01
54,3.47E-05,7.73E-12,-1.34E-02,5.35E-01
55,3.81E-04,0.00E+00,-1.36E-02,5.06E-01
56,-4.43E-04,0.00E+00,-1.23E-02,4.74E-01
57,-3.47E-04,-1.82E-12,-1.21E-02,5.51E-01
58,4.35E-04,0.00E+00,-1.22E-02,4.90E-01
59,4.31E-04,0.00E+00,-1.13E-02,5.11E-01
60,3.93E-04,-7.28E-12,-1.11E-02,5.54E-01
61,-2.96E-05,0.00E+00,-1.40E-02,4.90E-01
62,4.08E-05,0.00E+00,-1.42E-02,4.74E-01
63,-1.36E-04,-1.82E-12,-1.41E-02,4.85E-01
64,2.85E-04,0.00E+00,-1.32E-02,5.43E-01
65,3.73E-04,0.00E+00,-1.33E-02,5.13E-01
66,5.94E-05,9.09E-13,-1.43E-02,4.67E-01
67,-3.11E-04,3.64E-12,-1.43E-02,4.76E-01
68,7.35E-05,-9.09E-13,-1.43E-02,4.67E-01
69,4.52E-05,0.00E+00,-1.43E-02,4.67E-01
70,-1.18E-04,0.00E+00,-1.46E-02,4.53E-01
71,-3.31E-04,3.64E-12,-1.43E-02,4.74E-01
72,6.50E-05,-1.46E-11,-1.43E-02,4.66E-01
73,-5.26E-04,0.00E+00,-1.34E-02,4.66E-01
74,-4.76E-04,7.28E-12,-1.34E-02,4.99E-01
75,5.22E-04,-3.64E-12,-1.17E-02,4.48E-01
76,2.37E-04,-1.46E-11,-1.18E-02,5.73E-01
77,-2.09E-05,0.00E+00,-1.31E-02,5.61E-01
78,-1.79E-05,8.19E-12,-1.31E-02,5.61E-01
79,-3.95E-04,0.00E+00,-1.35E-02,5.25E-01
80,-5.53E-04,0.00E+00,-1.28E-02,4.14E-01
81,-4.46E-04,7.28E-12,-1.27E-02,4.80E-01
82,3.26E-04,-7.28E-12,-1.31E-02,5.42E-01
83,4.63E-04,0.00E+00,-1.30E-02,4.78E-01
84,3.87E-04,0.00E+00,-1.28E-02,4.95E-01
85,2.27E-04,0.00E+00,-1.28E-02,5.60E-01
86,5.77E-04,-7.28E-12,-1.30E-02,4.16E-01
87,3.14E-04,0.00E+00,-1.27E-02,5.14E-01
88,-3.99E-04,1.46E-11,-1.24E-02,5.05E-01
89,4.18E-04,0.00E+00,-1.32E-02,4.97E-01
90,-3.19E-04,-1.82E-12,-1.21E-02,5.71E-01
91,-1.26E-05,0.00E+00,-1.31E-02,5.61E-01
92,-4.25E-04,-7.28E-12,-1.37E-02,4.59E-01
93,-3.15E-04,-7.28E-12,-1.39E-02,5.06E-01
94,3.08E-04,7.28E-12,-1.40E-02,4.95E-01
95,3.38E-04,-7.28E-12,-1.41E-02,4.88E-01
96,7.00E-05,0.00E+00,-1.40E-02,4.91E-01
97,-2.84E-04,-1.46E-11,-1.40E-02,4.91E-01
98,-3.42E-04,0.00E+00,-1.42E-02,4.80E-01
99,6.05E-04,3.64E-12,-1.17E-02,3.94E-01
100,6.25E-04,0.00E+00,-1.18E-02,3.81E-01
101,-8.64E-06,7.73E-12,-1.31E-02,5.61E-01
102,3.69E-04,-3.64E-12,-1.45E-02,4.60E-01
103,-6.06E-04,0.00E+00,-1.22E-02,3.81E-01
104,-1.98E-04,7.28E-12,-1.13E-02,6.17E-01
105,4.32E-04,0.00E+00,-1.15E-02,5.02E-01
106,5.20E-04,-3.64E-12,-1.16E-02,4.63E-01
107,2.96E-04,0.00E+00,-1.16E-02,5.75E-01
108,-5.66E-04,0.00E+00,-1.25E-02,3.87E-01
109,5.65E-04,-3.64E-12,-1.27E-02,4.24E-01
110,5.57E-04,0.00E+00,-1.29E-02,4.20E-01
111,-5.96E-04,0.00E+00,-1.36E-02,4.01E-01
112,-4.52E-04,0.00E+00,-1.38E-02,4.61E-01
113,-5.79E-04,-7.28E-12,-1.24E-02,4.04E-01
114,1.12E-04,0.00E+00,-1.20E-02,5.83E-01
115,3.80E-04,0.00E+00,-1.37E-02,5.05E-01
116,-4.03E-04,0.00E+00,-1.40E-02,4.71E-01
117,-3.53E-04,3.64E-12,-1.46E-02,4.56E-01
118,-4.84E-04,1.82E-12,-1.45E-02,4.47E-01
119,-4.53E-04,0.00E+00,-1.43E-02,4.60E-01
120,5.82E-04,0.00E+00,-1.25E-02,4.03E-01
121,-8.43E-06,1.27E-11,-1.40E-02,4.91E-01
122,-8.92E-05,-3.64E-12,-1.46E-02,4.50E-01
123,-3.45E-04,-7.28E-12,-1.46E-02,4.53E-01
124,-4.65E-05,-3.64E-12,-1.46E-02,4.49E-01
125,-1.44E-04,1.82E-12,-1.47E-02,4.44E-01
126,5.09E-05,0.00E+00,-1.49E-02,4.38E-01
127,1.65E-04,-7.28E-12,-1.49E-02,4.38E-01
128,-1.56E-05,-3.64E-12,-1.47E-02,4.45E-01
129,-3.98E-04,0.00E+00,-1.46E-02,4.45E-01
130,-3.13E-04,1.82E-12,-1.47E-02,4.46E-01
131,-2.00E-04,-3.64E-12,-1.49E-02,4.38E-01
132,3.52E-04,-5.46E-12,-1.45E-02,4.57E-01
133,3.06E-04,1.82E-12,-1.46E-02,4.52E-01
134,-2.72E-04,7.28E-12,-1.49E-02,4.38E-01
135,-5.51E-04,0.00E+00,-1.49E-02,4.38E-01
136,-4.49E-04,0.00E+00,-1.47E-02,4.47E-01
137,3.47E-04,0.00E+00,-1.49E-02,4.38E-01
138,3.83E-04,-5.46E-12,-1.46E-02,4.55E-01
139,-3.89E-04,-3.64E-12,-1.42E-02,4.60E-01
140,3.81E-04,0.00E+00,-1.40E-02,4.74E-01
141,2.59E-04,0.00E+00,-1.14E-02,5.95E-01
142,5.85E-04,0.00E+00,-1.24E-02,4.02E-01
143,-3.51E-04,-7.28E-12,-1.18E-02,5.62E-01
144,3.95E-04,-5.46E-12,-1.45E-02,4.54E-01
145,-4.36E-04,3.64E-12,-1.15E-02,5.36E-01
146,-4.67E-04,3.64E-12,-1.12E-02,5.32E-01
147,-3.87E-04,0.00E+00,-1.12E-02,5.74E-01
148,-5.88E-04,0.00E+00,-1.31E-02,3.88E-01
149,-6.41E-04,0.00E+00,-1.33E-02,3.74E-01
150,-6.38E-04,-7.28E-12,-1.35E-02,3.79E-01
151,-7.06E-04,7.28E-12,-1.33E-02,2.75E-01
152,-6.36E-04,1.82E-12,-1.19E-02,3.48E-01
153,-6.02E-04,-1.82E-12,-1.19E-02,3.73E-01
154,-6.50E-04,1.82E-12,-1.19E-02,3.18E-01
155,-6.17E-04,0.00E+00,-1.39E-02,4.02E-01
156,-6.55E-04,-1.82E-12,-1.14E-02,3.43E-01
157,-7.51E-04,0.00E+00,-1.34E-02,2.11E-01
158,-6.59E-04,0.00E+00,-1.39E-02,3.85E-01
159,-5.84E-04,0.00E+00,-1.42E-02,4.06E-01
160,-6.59E-04,1.82E-12,-1.39E-02,3.86E-01
161,-6.39E-04,-1.82E-12,-1.18E-02,3.44E-01
162,-5.09E-04,3.64E-12,-1.12E-02,4.97E-01
163,-6.59E-04,0.00E+00,-1.11E-02,3.37E-01
164,-6.64E-04,-1.82E-12,-1.13E-02,3.36E-01
165,-6.92E-04,0.00E+00,-1.14E-02,2.91E-01
166,-6.26E-04,0.00E+00,-1.28E-02,3.69E-01
167,-6.61E-04,0.00E+00,-1.14E-02,3.35E-01
168,-6.78E-04,0.00E+00,-1.14E-02,3.10E-01
169,-6.54E-04,1.82E-12,-1.39E-02,3.85E-01
170,-8.49E-04,0.00E+00,-1.38E-02,4.71E-02
171,-6.26E-04,0.00E+00,-1.27E-02,3.61E-01
172,-8.53E-04,-1.82E-12,-1.32E-02,3.97E-02
173,-6.27E-04,-1.46E-11,-1.16E-02,3.43E-01
174,-8.61E-04,0.00E+00,-1.15E-02,3.03E-02
175,-4.48E-04,0.00E+00,-1.15E-02,5.21E-01
176,-5.63E-04,-1.82E-12,-1.18E-02,4.16E-01
177,-7.90E-04,9.09E-13,-1.15E-02,1.43E-01
178,-8.80E-04,0.00E+00,-1.15E-02,0.00E+00
179,-8.80E-04,5.46E-12,-1.21E-02,0.00E+00
180,-8.81E-04,0.00E+00,-1.21E-02,0.00E+00
181,-8.53E-04,5.46E-12,-1.21E-02,4.11E-02
182,-8.81E-04,5.46E-12,-1.33E-02,0.00E+00
183,-8.71E-04,0.00E+00,-1.35E-02,0.00E+00
184,-7.36E-04,0.00E+00,-1.41E-02,1.96E-01
185,-7.04E-04,0.00E+00,-1.39E-02,3.15E-01
186,-8.71E-04,7.28E-12,-1.41E-02,0.00E+00
187,-8.78E-04,-7.28E-12,-1.33E-02,0.00E+00
188,-8.78E-04,0.00E+00,-1.43E-02,0.00E+00
189,-8.81E-04,-1.82E-12,-1.43E-02,0.00E+00
190,-8.45E-04,0.00E+00,-1.43E-02,5.31E-02
191,-8.07E-04,-1.82E-12,-1.49E-02,1.09E-01
192,-6.35E-04,0.00E+00,-1.49E-02,3.43E-01
193,-5.91E-04,-1.09E-11,-1.48E-02,4.26E-01
194,-8.78E-04,1.09E-11,-1.49E-02,0.00E+00
195,-8.81E-04,-1.82E-12,-1.48E-02,0.00E+00
196,-6.83E-04,1.82E-12,-1.39E-02,3.49E-01
197,-7.65E-04,0.00E+00,-1.36E-02,1.58E-01
198,-5.99E-04,0.00E+00,-1.44E-02,4.37E-01
199,-7.75E-04,0.00E+00,-1.46E-02,1.50E-01
200,-8.81E-04,0.00E+00,-1.38E-02,0.00E+00
201,-8.71E-04,0.00E+00,-1.46E-02,0.00E+00
202,-8.79E-04,-1.82E-12,-1.38E-02,0.00E+00
203,-8.81E-04,-1.82E-12,-1.38E-02,0.00E+00
204,-6.84E-04,0.00E+00,-1.27E-02,2.86E-01
205,-7.53E-04,0.00E+00,-1.24E-02,1.62E-01
206,-7.13E-04,0.00E+00,-1.26E-02,2.47E-01
207,-6.61E-04,3.64E-12,-1.19E-02,3.07E-01
208,-6.08E-04,1.09E-11,-1.45E-02,4.31E-01
209,-6.87E-04,0.00E+00,-1.19E-02,2.74E-01
210,-8.81E-04,-1.82E-12,-1.32E-02,0.00E+00
211,-8.71E-04,0.00E+00,-1.30E-02,0.00E+00
212,-7.76E-04,7.28E-12,-1.30E-02,1.32E-01
213,-8.71E-04,0.00E+00,-1.24E-02,0.00E+00
214,-8.79E-04,-3.64E-12,-1.26E-02,0.00E+00
215,-8.81E-04,5.46E-12,-1.20E-02,0.00E+00
216,-8.82E-04,-3.64E-12,-1.15E-02,0.00E+00
217,-8.78E-04,0.00E+00,-1.27E-02,0.00E+00
218,-7.00E-04,0.00E+00,-1.28E-02,2.65E-01
219,-7.55E-04,7.28E-12,-1.23E-02,1.73E-01
220,-8.71E-04,0.00E+00,-1.13E-02,0.00E+00
221,-7.72E-04,0.00E+00,-1.12E-02,1.60E-01
222,-8.76E-04,0.00E+00,-1.27E-02,0.00E+00
223,-7.93E-04,1.82E-12,-1.44E-02,1.42E-01
224,-8.81E-04,-1.82E-12,-1.44E-02,0.00E+00
225,-8.71E-04,0.00E+00,-1.18E-02,0.00E+00
226,-8.82E-04,-3.64E-12,-1.16E-02,0.00E+00
227,-5.84E-04,-3.64E-12,-7.66E-03,4.22E-01
228,-6.33E-04,-3.64E-12,-7.94E-03,3.62E-01
229,-4.25E-04,3.64E-12,-7.87E-03,5.20E-01
230,-3.11E-04,1.46E-11,-7.83E-03,5.93E-01
231,-5.67E-04,0.00E+00,-7.63E-03,4.32E-01
232,-2.93E-04,0.00E+00,-7.92E-03,6.07E-01
233,-5.42E-04,-7.28E-12,-8.05E-03,4.13E-01
234,-3.61E-04,0.00E+00,-8.32E-03,5.60E-01
235,-5.81E-04,0.00E+00,-8.22E-03,4.05E-01
236,-6.27E-04,0.00E+00,-8.08E-03,3.68E-01
237,-4.00E-04,0.00E+00,-8.22E-03,5.30E-01
238,-5.53E-04,7.28E-12,-1.03E-02,4.45E-01
239,-5.37E-04,7.28E-12,-1.06E-02,4.33E-01
240,-1.63E-04,-1.18E-11,-1.05E-02,6.49E-01
241,2.26E-04,3.64E-12,-1.03E-02,6.12E-01
242,-2.07E-04,0.00E+00,-1.02E-02,6.32E-01
243,-1.48E-04,0.00E+00,-1.05E-02,6.54E-01
244,4.61E-06,0.00E+00,-1.09E-02,6.54E-01
245,1.68E-04,-1.46E-11,-1.06E-02,6.30E-01
246,-5.96E-05,0.00E+00,-1.07E-02,6.55E-01
247,-1.29E-04,1.82E-12,-1.05E-02,6.54E-01
248,-6.78E-06,0.00E+00,-1.09E-02,6.53E-01
249,-2.93E-04,-7.28E-12,-1.02E-02,6.02E-01
250,-1.13E-04,-7.28E-12,-9.78E-03,6.29E-01
251,-1.74E-04,0.00E+00,-1.01E-02,6.32E-01
252,8.77E-05,0.00E+00,-9.95E-03,6.38E-01
253,2.87E-04,-3.64E-12,-1.03E-02,6.04E-01
254,3.34E-04,7.28E-12,-1.04E-02,5.70E-01
255,2.60E-04,-7.28E-12,-1.04E-02,6.17E-01
256,3.72E-04,0.00E+00,-1.04E-02,5.48E-01
257,6.17E-04,-9.09E-13,-1.01E-02,4.15E-01
258,6.00E-04,0.00E+00,-1.01E-02,4.27E-01
259,3.23E-04,0.00E+00,-1.00E-02,5.98E-01
260,5.13E-04,-9.09E-12,-9.39E-03,4.88E-01
261,4.73E-04,-3.64E-12,-9.68E-03,4.86E-01
262,1.41E-04,0.00E+00,-9.54E-03,6.41E-01
263,4.66E-04,3.64E-12,-9.83E-03,5.14E-01
264,2.50E-04,0.00E+00,-9.77E-03,6.21E-01
265,2.72E-04,0.00E+00,-9.92E-03,6.10E-01
266,3.60E-04,0.00E+00,-9.91E-03,5.81E-01
267,3.40E-04,0.00E+00,-8.50E-03,5.96E-01
268,4.20E-04,-3.64E-12,-8.44E-03,5.49E-01
269,3.08E-04,3.64E-12,-8.45E-03,6.15E-01
270,2.17E-04,-3.64E-12,-8.53E-03,6.29E-01
271,3.36E-04,0.00E+00,-8.65E-03,6.17E-01
272,4.16E-04,0.00E+00,-8.92E-03,5.61E-01
273,5.42E-04,0.00E+00,-9.08E-03,4.53E-01
274,2.36E-04,0.00E+00,-9.19E-03,6.43E-01
275,2.35E-04,-9.09E-13,-9.15E-03,6.49E-01
276,5.50E-04,0.00E+00,-9.35E-03,4.69E-01
277,-2.57E-04,0.00E+00,-9.08E-03,6.15E-01
278,-9.66E-05,0.00E+00,-9.05E-03,6.40E-01
279,-1.65E-04,0.00E+00,-9.17E-03,6.36E-01
280,3.99E-04,-3.64E-12,-1.09E-02,5.65E-01
281,3.94E-04,0.00E+00,-1.08E-02,5.60E-01
282,3.72E-04,0.00E+00,-1.08E-02,5.74E-01
283,4.05E-04,0.00E+00,-1.08E-02,5.54E-01
284,3.54E-04,-3.64E-12,-1.08E-02,5.84E-01
285,2.78E-04,0.00E+00,-8.86E-03,6.25E-01
286,1.27E-04,-7.28E-12,-8.92E-03,6.38E-01
287,8.15E-06,-7.28E-12,-8.73E-03,6.53E-01
288,2.18E-04,2.73E-12,-9.21E-03,6.53E-01
289,2.17E-04,2.73E-12,-9.19E-03,6.53E-01
290,1.82E-07,0.00E+00,-1.09E-02,6.54E-01
291,1.94E-05,-4.55E-13,-1.09E-02,6.51E-01
292,7.60E-05,-4.55E-13,-1.09E-02,6.39E-01
293,4.08E-04,0.00E+00,-8.83E-03,5.59E-01
294,-5.53E-04,-7.28E-12,-8.38E-03,4.03E-01
295,1.06E-04,0.00E+00,-8.21E-03,6.64E-01
296,3.05E-04,0.00E+00,-8.12E-03,6.34E-01
297,3.59E-04,0.00E+00,-8.25E-03,6.17E-01
298,1.75E-04,0.00E+00,-1.01E-02,6.18E-01
299,1.13E-04,-7.28E-12,-9.72E-03,6.46E-01
300,-8.90E-05,0.00E+00,-7.82E-03,6.53E-01
301,-1.41E-04,0.00E+00,-7.97E-03,6.57E-01
302,9.74E-05,0.00E+00,-8.10E-03,6.64E-01
303,1.67E-04,0.00E+00,-7.84E-03,6.56E-01
304,-3.64E-04,1.09E-11,-8.74E-03,5.82E-01
305,-2.39E-04,0.00E+00,-8.67E-03,6.40E-01
306,-2.71E-04,0.00E+00,-8.85E-03,6.34E-01
307,-3.27E-04,7.28E-12,-9.16E-03,5.56E-01
308,-4.42E-04,7.28E-12,-8.94E-03,4.98E-01
309,-3.94E-04,0.00E+00,-8.67E-03,5.56E-01
310,-4.85E-05,0.00E+00,-8.56E-03,6.60E-01
311,6.57E-06,0.00E+00,-8.38E-03,6.75E-01
312,-1.46E-04,0.00E+00,-8.23E-03,6.48E-01
313,-2.08E-04,-3.64E-12,-8.30E-03,6.34E-01
314,-6.29E-04,0.00E+00,-9.08E-03,3.49E-01
315,6.07E-04,-9.09E-13,-1.01E-02,4.24E-01
316,6.16E-04,0.00E+00,-1.01E-02,4.14E-01
317,-4.86E-04,0.00E+00,-9.86E-03,4.66E-01
318,-3.94E-04,0.00E+00,-9.64E-03,5.04E-01
319,-2.29E-04,1.46E-11,-9.77E-03,6.19E-01
320,-5.99E-04,0.00E+00,-9.84E-03,3.91E-01
321,-6.18E-04,-7.28E-12,-9.63E-03,3.58E-01
322,-5.34E-04,3.64E-12,-9.38E-03,4.31E-01
323,-5.96E-04,0.00E+00,-9.41E-03,3.82E-01
324,-2.42E-04,0.00E+00,-9.61E-03,6.17E-01
325,-7.98E-06,-4.55E-13,-1.09E-02,6.54E-01
326,-2.88E-04,3.64E-12,-8.24E-03,5.99E-01
327,-2.81E-04,0.00E+00,-1.08E-02,6.10E-01
328,-3.50E-04,1.82E-12,-1.07E-02,5.58E-01
329,-5.04E-04,0.00E+00,-1.09E-02,5.37E-01
330,-4.19E-04,0.00E+00,-1.11E-02,5.69E-01
331,-1.49E-05,4.55E-12,-1.09E-02,6.52E-01
332,-3.06E-04,0.00E+00,-1.10E-02,6.06E-01
333,-2.38E-04,0.00E+00,-1.11E-02,6.16E-01
334,-2.65E-04,3.64E-12,-1.08E-02,6.10E-01
335,-1.79E-04,9.09E-13,-1.06E-02,6.45E-01
336,-1.50E-04,9.09E-13,-1.05E-02,6.53E-01
337,-5.11E-04,-3.64E-12,-1.09E-02,5.35E-01
338,-5.14E-04,0.00E+00,-1.09E-02,5.34E-01
339,-5.15E-04,3.64E-12,-1.09E-02,5.32E-01
340,1.81E-04,2.73E-12,-9.19E-03,6.53E-01
341,-2.97E-04,0.00E+00,-1.01E-02,5.92E-01
342,-4.58E-04,0.00E+00,-9.99E-03,4.93E-01
343,-2.52E-04,-7.28E-12,-1.00E-02,6.24E-01
344,-6.37E-04,-4.55E-12,-9.09E-03,3.42E-01
345,-5.89E-04,3.64E-12,-9.32E-03,3.91E-01
346,-3.41E-05,0.00E+00,-9.63E-03,6.39E-01
347,3.81E-05,0.00E+00,-7.67E-03,6.58E-01
348,-1.85E-04,0.00E+00,-7.63E-03,6.50E-01
349,-2.32E-04,0.00E+00,-7.82E-03,6.47E-01
350,4.07E-04,0.00E+00,-8.11E-03,5.83E-01
