Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
101,3.51E-03,-1.99E-04,-7.50E-05,3.74E+00
102,3.48E-03,-5.27E-04,-1.58E-04,2.24E+00
103,3.50E-03,-3.93E-04,-4.13E-05,3.52E+00
104,3.44E-03,-7.26E-04,-8.94E-05,2.11E+00
105,3.47E-03,-5.81E-04,1.26E-05,3.36E+00
106,2.85E-03,-1.76E-03,1.05E-03,1.63E+00
107,2.96E-03,-1.60E-03,1.03E-03,1.83E+00
108,1.89E-03,2.56E-04,2.96E-03,1.79E+01
109,1.88E-03,4.31E-05,2.98E-03,1.88E+01
110,2.01E-03,1.40E-04,2.89E-03,1.76E+01
111,3.40E-03,-9.16E-04,-2.58E-06,1.88E+00
112,3.43E-03,-7.61E-04,8.61E-05,3.25E+00
113,2.96E-03,1.73E-03,8.28E-04,8.15E-01
114,2.87E-03,1.78E-03,1.02E-03,1.10E+00
115,2.97E-03,1.63E-03,9.90E-04,1.29E+00
116,-2.96E-03,-1.65E-03,9.25E-04,6.40E+00
117,-3.07E-03,-1.48E-03,8.45E-04,5.44E+00
118,-3.01E-03,-1.65E-03,7.33E-04,5.63E+00
119,-3.10E-03,-1.53E-03,6.14E-04,4.76E+00
120,-3.03E-03,-1.69E-03,5.39E-04,4.91E+00
121,-9.73E-04,-3.23E-03,9.52E-04,1.00E+01
122,-8.27E-04,-3.24E-03,1.06E-03,8.42E+00
123,-9.72E-04,-3.17E-03,1.14E-03,1.04E+01
124,-2.78E-03,-2.15E-03,-2.56E-05,3.27E+00
125,-2.75E-03,-2.17E-03,-2.26E-04,2.04E+00
126,-2.66E-03,-2.29E-03,-1.00E-04,3.21E+00
127,-2.08E-03,-2.19E-03,1.79E-03,1.67E+01
128,-2.15E-03,-2.04E-03,1.88E-03,1.48E+01
129,-2.24E-03,-2.08E-03,1.73E-03,1.60E+01
130,-1.45E-03,-3.19E-03,1.23E-04,7.04E+00
131,-1.26E-03,-3.27E-03,3.34E-05,6.27E+00
132,-1.31E-03,-3.24E-03,2.54E-04,8.39E+00
133,-1.45E-03,-2.65E-03,1.79E-03,1.28E+01
134,-1.44E-03,-2.53E-03,1.97E-03,1.28E+01
135,-1.60E-03,-2.53E-03,1.83E-03,1.33E+01
136,-2.88E-03,-2.01E-03,7.44E-05,3.74E+00
137,-2.88E-03,-2.00E-03,-1.49E-04,2.02E+00
138,-2.88E-03,-1.68E-03,1.10E-03,7.95E+00
139,-3.00E-03,-1.49E-03,1.07E-03,6.43E+00
140,-1.60E-03,-3.12E-03,1.47E-05,7.56E+00
141,-1.43E-03,-3.20E-03,-1.00E-04,6.15E+00
142,-1.18E-03,-2.89E-03,1.61E-03,1.30E+01
143,-1.10E-03,-2.81E-03,1.80E-03,1.17E+01
144,-1.31E-03,-2.77E-03,1.71E-03,1.16E+01
145,-2.66E-03,-1.81E-03,1.41E-03,9.27E+00
146,-2.75E-03,-1.64E-03,1.44E-03,8.64E+00
147,-2.78E-03,-1.74E-03,1.27E-03,8.76E+00
148,-3.11E-03,-1.59E-03,3.77E-04,4.14E+00
149,-3.01E-03,-1.77E-03,3.58E-04,4.66E+00
