Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,2.63E-05,-7.28E-12,-1.42E-02,4.59E-01
1,-1.21E-04,0.00E+00,-1.40E-02,4.69E-01
2,1.57E-04,0.00E+00,-1.40E-02,4.66E-01
3,-6.58E-05,-7.28E-12,-1.38E-02,4.76E-01
4,2.71E-04,0.00E+00,-1.42E-02,4.59E-01
5,-2.46E-04,0.00E+00,-1.30E-02,5.19E-01
6,-1.45E-04,0.00E+00,-1.30E-02,5.18E-01
7,-2.44E-04,0.00E+00,-1.32E-02,5.10E-01
8,2.04E-05,0.00E+00,-1.31E-02,5.15E-01
9,-2.30E-04,-3.64E-12,-1.33E-02,5.03E-01
10,6.46E-04,0.00E+00,-1.35E-02,5.02E-01
11,6.59E-04,1.27E-11,-1.35E-02,5.02E-01
12,6.41E-04,-9.09E-13,-1.35E-02,5.03E-01
13,6.34E-04,-3.64E-12,-1.42E-02,4.68E-01
14,4.10E-04,7.28E-12,-1.44E-02,4.53E-01
15,6.87E-04,0.00E+00,-1.42E-02,4.68E-01
16,5.57E-04,7.28E-12,-1.44E-02,4.52E-01
17,4.49E-04,5.68E-13,-1.40E-02,4.73E-01
18,4.48E-04,0.00E+00,-1.40E-02,4.73E-01
19,1.99E-04,0.00E+00,-1.38E-02,4.78E-01
20,6.69E-04,0.00E+00,-1.35E-02,5.00E-01
21,6.62E-04,1.36E-11,-1.35E-02,5.02E-01
22,2.55E-04,-5.46E-12,-1.46E-02,4.43E-01
23,3.24E-04,1.82E-12,-1.46E-02,4.44E-01
24,2.85E-04,7.28E-12,-1.45E-02,4.45E-01
25,-5.16E-05,0.00E+00,-1.47E-02,4.41E-01
26,-2.31E-04,3.64E-12,-1.47E-02,4.43E-01
27,-1.50E-04,-7.28E-12,-1.49E-02,4.38E-01
28,6.32E-04,0.00E+00,-1.31E-02,5.14E-01
29,3.94E-04,0.00E+00,-1.33E-02,5.11E-01
30,2.86E-04,7.28E-12,-1.46E-02,4.43E-01
31,2.60E-04,5.46E-12,-1.46E-02,4.42E-01
32,1.85E-05,7.28E-12,-1.45E-02,4.46E-01
33,1.44E-04,0.00E+00,-1.43E-02,4.53E-01
34,-6.78E-05,7.28E-12,-1.43E-02,4.54E-01
35,3.87E-04,-1.82E-12,-1.47E-02,4.41E-01
36,2.90E-04,-1.82E-12,-1.46E-02,4.42E-01
37,6.88E-04,-3.64E-12,-1.42E-02,4.70E-01
38,6.94E-04,1.09E-11,-1.39E-02,4.89E-01
39,6.73E-04,0.00E+00,-1.38E-02,4.91E-01
40,4.56E-04,0.00E+00,-1.40E-02,4.74E-01
41,-2.21E-04,0.00E+00,-1.35E-02,4.95E-01
42,-1.38E-04,-3.64E-12,-1.34E-02,5.00E-01
43,5.76E-04,0.00E+00,-1.45E-02,4.48E-01
44,5.30E-04,-1.82E-12,-1.48E-02,4.40E-01
45,5.11E-04,1.09E-11,-1.49E-02,4.38E-01
46,4.73E-04,-1.82E-12,-1.49E-02,4.38E-01
47,4.21E-04,2.91E-11,-1.37E-02,4.93E-01
48,7.59E-04,1.09E-11,-1.38E-02,4.73E-01
49,6.89E-07,3.64E-12,-1.49E-02,4.38E-01
50,1.91E-04,0.00E+00,-1.49E-02,4.38E-01
51,-1.73E-04,0.00E+00,-1.42E-02,4.57E-01
