Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,4.61E-03,-1.54E-04,1.99E-03,6.21E-02
1,4.62E-03,3.31E-05,1.99E-03,6.28E-02
2,4.53E-03,-5.33E-05,2.14E-03,6.36E-02
3,3.16E-03,-1.70E-03,1.40E-03,3.55E-01
4,2.92E-03,-1.78E-03,1.52E-03,4.93E-01
5,3.00E-03,-1.79E-03,1.34E-03,4.62E-01
6,3.09E-03,-1.66E-03,1.64E-03,3.26E-01
7,2.84E-03,-1.74E-03,1.70E-03,5.72E-01
8,2.97E-03,-1.62E-03,1.84E-03,3.86E-01
9,2.77E-03,-1.68E-03,1.88E-03,6.90E-01
10,2.89E-03,-1.56E-03,2.01E-03,4.39E-01
11,2.69E-03,-1.61E-03,2.05E-03,8.15E-01
12,2.82E-03,-1.48E-03,2.16E-03,5.09E-01
13,2.62E-03,-1.51E-03,2.21E-03,9.66E-01
14,2.75E-03,-1.38E-03,2.30E-03,5.77E-01
15,2.56E-03,-1.39E-03,2.35E-03,1.14E+00
16,2.70E-03,-1.26E-03,2.43E-03,6.76E-01
17,2.50E-03,-1.26E-03,2.49E-03,1.32E+00
18,2.64E-03,-1.13E-03,2.56E-03,7.72E-01
19,2.44E-03,-1.11E-03,2.61E-03,1.54E+00
20,2.60E-03,-9.79E-04,2.67E-03,8.97E-01
21,2.40E-03,-9.51E-04,2.72E-03,1.71E+00
22,2.56E-03,-8.19E-04,2.76E-03,9.71E-01
23,2.36E-03,-7.77E-04,2.81E-03,1.89E+00
24,2.52E-03,-6.49E-04,2.83E-03,1.05E+00
25,2.33E-03,-5.93E-04,2.88E-03,2.09E+00
26,2.50E-03,-4.72E-04,2.89E-03,1.12E+00
27,2.30E-03,-4.03E-04,2.93E-03,2.24E+00
28,2.48E-03,-2.88E-04,2.93E-03,1.15E+00
29,2.29E-03,-2.07E-04,2.96E-03,2.36E+00
30,2.47E-03,-9.97E-05,2.95E-03,1.19E+00
31,2.28E-03,-7.88E-06,2.98E-03,2.39E+00
32,2.47E-03,8.92E-05,2.96E-03,1.21E+00
33,2.29E-03,1.91E-04,2.97E-03,2.37E+00
34,2.47E-03,2.77E-04,2.94E-03,1.19E+00
35,2.30E-03,3.88E-04,2.94E-03,2.26E+00
36,2.49E-03,4.63E-04,2.90E-03,1.11E+00
37,2.32E-03,5.81E-04,2.89E-03,2.13E+00
38,2.51E-03,6.43E-04,2.85E-03,1.01E+00
39,2.35E-03,7.67E-04,2.83E-03,1.97E+00
40,2.54E-03,8.16E-04,2.78E-03,9.39E-01
41,2.38E-03,9.44E-04,2.74E-03,1.80E+00
42,2.58E-03,9.79E-04,2.69E-03,8.82E-01
43,2.43E-03,1.11E-03,2.64E-03,1.63E+00
44,2.63E-03,1.13E-03,2.59E-03,8.22E-01
45,2.48E-03,1.26E-03,2.52E-03,1.42E+00
46,2.68E-03,1.27E-03,2.47E-03,7.04E-01
47,2.54E-03,1.40E-03,2.39E-03,1.21E+00
48,2.74E-03,1.39E-03,2.34E-03,5.80E-01
49,2.60E-03,1.52E-03,2.25E-03,1.01E+00
50,2.80E-03,1.50E-03,2.19E-03,4.89E-01
51,2.67E-03,1.62E-03,2.09E-03,7.98E-01
52,2.87E-03,1.59E-03,2.04E-03,4.23E-01
53,2.74E-03,1.70E-03,1.92E-03,6.78E-01
54,2.94E-03,1.66E-03,1.88E-03,3.85E-01
55,2.82E-03,1.77E-03,1.75E-03,5.70E-01
56,3.01E-03,1.71E-03,1.71E-03,3.38E-01
57,2.89E-03,1.81E-03,1.57E-03,4.54E-01
58,3.09E-03,1.74E-03,1.54E-03,3.19E-01
59,2.97E-03,1.83E-03,1.39E-03,3.98E-01
60,3.16E-03,1.74E-03,1.37E-03,3.11E-01
61,3.08E-03,-1.78E-03,1.16E-03,4.10E-01
62,3.31E-03,-1.61E-03,1.46E-03,2.46E-01
63,3.05E-03,1.83E-03,1.21E-03,3.69E-01
64,3.24E-03,1.73E-03,1.19E-03,3.06E-01
65,3.13E-03,1.80E-03,1.03E-03,3.56E-01
66,3.31E-03,1.70E-03,1.02E-03,3.13E-01
67,3.21E-03,1.76E-03,8.50E-04,3.64E-01
68,3.39E-03,1.65E-03,8.55E-04,3.33E-01
69,3.29E-03,1.69E-03,6.78E-04,3.67E-01
70,3.46E-03,1.57E-03,6.95E-04,3.45E-01
71,3.36E-03,1.60E-03,5.14E-04,3.77E-01
72,4.49E-03,-2.37E-04,2.14E-03,6.39E-02
73,3.53E-03,1.48E-03,5.43E-04,3.72E-01
74,4.69E-03,-2.27E-05,1.80E-03,6.18E-02
75,4.54E-03,1.69E-04,2.12E-03,6.51E-02
76,3.43E-03,1.49E-03,3.60E-04,3.99E-01
77,3.59E-03,1.37E-03,4.01E-04,3.98E-01
