Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,5.23E-04,3.64E-12,-1.49E-02,4.72E-01
1,6.23E-04,0.00E+00,-1.49E-02,4.72E-01
2,8.17E-04,1.46E-11,-1.46E-02,4.57E-01
3,8.28E-04,-9.09E-13,-1.47E-02,4.60E-01
4,7.83E-04,7.28E-12,-1.39E-02,4.50E-01
5,9.23E-04,-7.28E-12,-1.38E-02,2.47E-01
6,8.67E-04,0.00E+00,-1.40E-02,2.91E-01
7,1.06E-03,7.28E-12,-1.39E-02,0.00E+00
8,1.08E-03,4.55E-13,-1.42E-02,0.00E+00
9,1.06E-03,0.00E+00,-1.45E-02,0.00E+00
10,8.43E-04,0.00E+00,-1.46E-02,4.22E-01
11,8.20E-04,0.00E+00,-1.46E-02,4.56E-01
12,1.77E-04,-1.46E-11,-1.34E-02,5.52E-01
13,4.07E-04,7.28E-12,-1.36E-02,5.42E-01
14,3.01E-04,7.28E-12,-1.34E-02,5.49E-01
15,5.13E-04,7.28E-12,-1.36E-02,5.40E-01
16,4.58E-04,0.00E+00,-1.30E-02,5.62E-01
17,6.43E-04,7.28E-12,-1.30E-02,4.99E-01
18,4.86E-04,7.28E-12,-1.29E-02,5.65E-01
19,7.97E-04,0.00E+00,-1.35E-02,4.45E-01
20,7.94E-04,0.00E+00,-1.34E-02,4.37E-01
21,1.06E-03,0.00E+00,-1.36E-02,1.94E-02
22,8.67E-04,0.00E+00,-1.34E-02,3.23E-01
23,2.28E-04,0.00E+00,-1.33E-02,5.58E-01
24,8.14E-04,0.00E+00,-1.33E-02,4.32E-01
25,3.55E-04,0.00E+00,-1.46E-02,4.85E-01
26,4.82E-04,-1.82E-12,-1.47E-02,4.78E-01
27,4.02E-04,-1.46E-11,-1.45E-02,4.88E-01
28,4.04E-04,5.00E-12,-1.39E-02,5.21E-01
29,3.92E-04,0.00E+00,-1.39E-02,5.23E-01
30,3.91E-04,-1.82E-12,-1.39E-02,5.25E-01
31,8.19E-04,0.00E+00,-1.31E-02,4.20E-01
32,6.40E-04,0.00E+00,-1.32E-02,5.10E-01
33,7.30E-04,0.00E+00,-1.46E-02,4.64E-01
34,4.67E-04,-1.09E-11,-1.45E-02,4.84E-01
35,1.07E-03,0.00E+00,-1.33E-02,0.00E+00
36,1.08E-03,4.77E-12,-1.36E-02,0.00E+00
37,1.08E-03,0.00E+00,-1.36E-02,0.00E+00
38,1.08E-03,-1.36E-12,-1.42E-02,0.00E+00
39,1.07E-03,-9.09E-13,-1.42E-02,1.68E-02
40,5.58E-04,0.00E+00,-1.33E-02,5.47E-01
41,7.45E-04,0.00E+00,-1.41E-02,4.60E-01
42,1.07E-03,0.00E+00,-1.49E-02,0.00E+00
43,1.07E-03,-7.28E-12,-1.47E-02,0.00E+00
44,8.58E-04,0.00E+00,-1.46E-02,3.98E-01
45,1.08E-03,4.77E-12,-1.36E-02,0.00E+00
46,6.17E-04,7.28E-12,-1.37E-02,5.06E-01
47,1.08E-03,1.32E-11,-1.42E-02,0.00E+00
48,8.17E-04,6.37E-12,-1.45E-02,4.56E-01
49,6.96E-04,7.28E-12,-1.35E-02,4.76E-01
50,9.18E-04,0.00E+00,-1.32E-02,2.78E-01
51,8.24E-04,1.09E-11,-1.49E-02,4.72E-01
52,5.00E-04,7.28E-12,-1.32E-02,5.57E-01
53,3.46E-04,0.00E+00,-1.31E-02,5.66E-01
54,1.07E-03,-2.27E-13,-1.36E-02,7.21E-03
55,7.18E-04,0.00E+00,-1.33E-02,4.81E-01
56,8.89E-04,-3.64E-12,-1.49E-02,3.57E-01
57,7.98E-04,0.00E+00,-1.37E-02,4.51E-01
58,4.83E-04,1.82E-12,-1.49E-02,4.72E-01
59,8.10E-04,7.28E-12,-1.29E-02,4.08E-01
60,1.02E-03,0.00E+00,-1.30E-02,8.03E-02
61,7.49E-04,-7.28E-12,-1.42E-02,4.53E-01
62,6.81E-04,0.00E+00,-1.41E-02,4.67E-01
63,1.07E-03,0.00E+00,-1.31E-02,0.00E+00
64,1.07E-03,0.00E+00,-1.30E-02,0.00E+00
65,4.30E-04,1.46E-11,-1.44E-02,4.91E-01
66,3.83E-04,-9.55E-12,-1.39E-02,5.25E-01
67,3.87E-04,4.55E-13,-1.39E-02,5.24E-01
68,1.22E-04,-5.46E-12,-1.28E-02,5.81E-01
69,1.23E-04,5.46E-12,-1.28E-02,5.82E-01
70,1.76E-04,1.46E-11,-1.49E-02,4.72E-01
71,1.07E-03,-1.09E-11,-1.14E-02,0.00E+00
72,1.08E-03,0.00E+00,-1.13E-02,0.00E+00
73,1.04E-03,1.82E-12,-1.14E-02,3.94E-02
74,7.37E-04,0.00E+00,-1.19E-02,4.37E-01
75,6.90E-04,7.28E-12,-1.16E-02,4.67E-01
76,4.65E-04,0.00E+00,-1.17E-02,6.05E-01
77,1.07E-03,0.00E+00,-1.28E-02,0.00E+00
78,9.12E-04,-3.64E-12,-1.29E-02,2.61E-01
79,1.07E-03,-3.64E-12,-1.21E-02,0.00E+00
80,1.08E-03,3.64E-12,-1.23E-02,0.00E+00
81,9.76E-04,-7.28E-12,-1.24E-02,1.22E-01
82,8.71E-04,0.00E+00,-1.23E-02,2.36E-01
83,9.42E-04,3.64E-12,-1.26E-02,2.05E-01
84,1.07E-03,0.00E+00,-1.25E-02,0.00E+00
85,5.97E-04,-1.82E-12,-1.14E-02,5.64E-01
86,7.78E-04,0.00E+00,-1.15E-02,4.07E-01
87,1.07E-03,0.00E+00,-1.26E-02,0.00E+00
88,7.74E-04,0.00E+00,-1.11E-02,3.77E-01
89,9.62E-04,-7.28E-12,-1.10E-02,1.42E-01
90,1.07E-03,-9.09E-12,-1.14E-02,0.00E+00
91,1.01E-03,1.82E-12,-1.14E-02,1.00E-01
92,8.03E-04,0.00E+00,-1.16E-02,3.94E-01
93,7.93E-04,3.64E-12,-1.19E-02,4.01E-01
94,8.32E-04,-1.09E-11,-1.19E-02,3.44E-01
95,8.83E-04,0.00E+00,-1.16E-02,2.77E-01
96,8.12E-04,3.64E-12,-1.28E-02,4.11E-01
97,1.07E-03,0.00E+00,-1.10E-02,0.00E+00
98,1.07E-03,0.00E+00,-1.18E-02,0.00E+00
