Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,7.23E-03,-6.58E-05,3.80E-03,6.54E-03
1,7.31E-03,-1.65E-04,3.64E-03,8.70E-03
2,7.32E-03,3.31E-05,3.65E-03,5.28E-03
3,4.54E-03,-3.31E-03,2.28E-03,2.91E-01
4,4.69E-03,-3.22E-03,2.36E-03,2.68E-01
5,4.44E-03,-3.31E-03,2.46E-03,3.20E-01
6,4.61E-03,-3.19E-03,2.60E-03,2.87E-01
7,4.35E-03,-3.30E-03,2.64E-03,3.70E-01
8,4.46E-03,-3.19E-03,2.80E-03,3.30E-01
9,4.26E-03,-3.27E-03,2.81E-03,4.17E-01
10,4.36E-03,-3.17E-03,2.97E-03,3.70E-01
11,4.17E-03,-3.24E-03,2.98E-03,4.75E-01
12,4.27E-03,-3.13E-03,3.13E-03,4.14E-01
13,4.08E-03,-3.19E-03,3.16E-03,5.43E-01
14,4.18E-03,-3.08E-03,3.29E-03,4.56E-01
15,3.99E-03,-3.13E-03,3.32E-03,6.16E-01
16,4.10E-03,-3.01E-03,3.45E-03,5.12E-01
17,3.90E-03,-3.06E-03,3.49E-03,6.96E-01
18,4.01E-03,-2.94E-03,3.61E-03,5.72E-01
19,3.82E-03,-2.98E-03,3.65E-03,8.09E-01
20,3.93E-03,-2.85E-03,3.77E-03,6.51E-01
21,3.74E-03,-2.88E-03,3.81E-03,9.18E-01
22,3.85E-03,-2.76E-03,3.92E-03,7.25E-01
23,3.66E-03,-2.78E-03,3.96E-03,1.01E+00
24,3.78E-03,-2.65E-03,4.06E-03,7.91E-01
25,3.58E-03,-2.67E-03,4.10E-03,1.14E+00
26,3.71E-03,-2.54E-03,4.20E-03,8.65E-01
27,3.51E-03,-2.54E-03,4.24E-03,1.26E+00
28,3.64E-03,-2.41E-03,4.33E-03,9.72E-01
29,3.44E-03,-2.41E-03,4.38E-03,1.41E+00
30,3.57E-03,-2.28E-03,4.46E-03,1.09E+00
31,3.37E-03,-2.27E-03,4.50E-03,1.57E+00
32,3.51E-03,-2.14E-03,4.57E-03,1.16E+00
33,3.31E-03,-2.12E-03,4.62E-03,1.71E+00
34,3.45E-03,-1.99E-03,4.68E-03,1.26E+00
35,3.25E-03,-1.97E-03,4.73E-03,1.92E+00
36,3.40E-03,-1.83E-03,4.79E-03,1.36E+00
37,3.20E-03,-1.80E-03,4.83E-03,2.06E+00
38,3.35E-03,-1.67E-03,4.88E-03,1.48E+00
39,3.15E-03,-1.63E-03,4.92E-03,2.27E+00
40,3.30E-03,-1.50E-03,4.97E-03,1.64E+00
41,3.11E-03,-1.46E-03,5.00E-03,2.46E+00
42,3.26E-03,-1.33E-03,5.04E-03,1.72E+00
43,3.07E-03,-1.27E-03,5.08E-03,2.65E+00
44,3.23E-03,-1.15E-03,5.11E-03,1.85E+00
45,3.03E-03,-1.09E-03,5.14E-03,2.81E+00
46,3.20E-03,-9.67E-04,5.17E-03,1.92E+00
47,3.01E-03,-8.98E-04,5.19E-03,2.98E+00
48,3.17E-03,-7.80E-04,5.21E-03,1.98E+00
49,2.98E-03,-7.05E-04,5.24E-03,3.10E+00
50,3.15E-03,-5.90E-04,5.25E-03,2.10E+00
51,2.97E-03,-5.09E-04,5.27E-03,3.23E+00
52,3.14E-03,-3.98E-04,5.28E-03,2.13E+00
53,2.95E-03,-3.11E-04,5.29E-03,3.30E+00
54,3.13E-03,-2.05E-04,5.29E-03,2.18E+00
55,2.95E-03,-1.12E-04,5.31E-03,3.34E+00
56,3.12E-03,-1.11E-05,5.30E-03,2.19E+00
57,2.95E-03,8.76E-05,5.31E-03,3.40E+00
58,3.12E-03,1.83E-04,5.30E-03,2.19E+00
59,2.95E-03,2.87E-04,5.30E-03,3.36E+00
60,3.13E-03,3.77E-04,5.28E-03,2.22E+00
61,2.96E-03,4.85E-04,5.28E-03,3.30E+00
62,3.14E-03,5.69E-04,5.26E-03,2.11E+00
63,2.98E-03,6.82E-04,5.25E-03,3.21E+00
64,3.16E-03,7.59E-04,5.23E-03,2.01E+00
65,3.00E-03,8.76E-04,5.21E-03,3.06E+00
66,3.19E-03,9.47E-04,5.18E-03,1.90E+00
67,3.02E-03,1.07E-03,5.16E-03,2.87E+00
68,3.21E-03,1.13E-03,5.13E-03,1.81E+00
69,3.05E-03,1.25E-03,5.10E-03,2.68E+00
70,3.25E-03,1.31E-03,5.06E-03,1.68E+00
71,3.09E-03,1.44E-03,5.03E-03,2.44E+00
72,3.28E-03,1.49E-03,4.99E-03,1.55E+00
73,3.13E-03,1.62E-03,4.95E-03,2.21E+00
74,3.33E-03,1.66E-03,4.91E-03,1.46E+00
75,3.18E-03,1.79E-03,4.86E-03,2.05E+00
76,3.38E-03,1.82E-03,4.82E-03,1.35E+00
77,3.23E-03,1.95E-03,4.76E-03,1.85E+00
78,3.43E-03,1.98E-03,4.72E-03,1.24E+00
79,3.29E-03,2.11E-03,4.65E-03,1.66E+00
80,3.48E-03,2.13E-03,4.61E-03,1.12E+00
81,3.35E-03,2.26E-03,4.54E-03,1.50E+00
82,3.54E-03,2.28E-03,4.49E-03,1.03E+00
83,3.41E-03,2.41E-03,4.41E-03,1.37E+00
84,3.61E-03,2.41E-03,4.37E-03,9.25E-01
85,3.48E-03,2.54E-03,4.28E-03,1.20E+00
86,3.68E-03,2.54E-03,4.24E-03,8.16E-01
87,3.55E-03,2.67E-03,4.15E-03,1.06E+00
