Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
92,7.98E-04,0.00E+00,-1.47E-02,1.52E-01, null
93,6.22E-04,0.00E+00,-1.49E-02,3.00E-01, null
94,8.76E-04,0.00E+00,-1.49E-02,4.02E-02, null
95,7.19E-04,-5.46E-12,-1.46E-02,2.51E-01, null
96,9.07E-04,7.28E-12,-1.46E-02,0.00E+00,1.13E+01
97,9.16E-04,-1.82E-12,-1.44E-02,0.00E+00,9.84E+00
98,3.07E-04,0.00E+00,-1.49E-02,3.00E-01, null
99,-3.54E-04,7.28E-12,-1.42E-02,3.38E-01, null
100,-2.66E-05,0.00E+00,-1.43E-02,3.22E-01, null
101,-1.11E-04,0.00E+00,-1.41E-02,3.46E-01, null
102,-7.99E-06,0.00E+00,-1.43E-02,3.22E-01, null
103,6.36E-05,-1.46E-11,-1.39E-02,3.55E-01, null
104,-6.71E-07,-1.82E-12,-1.31E-02,4.04E-01, null
105,5.48E-04,0.00E+00,-1.48E-02,3.05E-01, null
106,3.34E-04,0.00E+00,-1.29E-02,3.95E-01, null
107,4.38E-04,0.00E+00,-1.46E-02,3.11E-01, null
108,3.28E-04,3.64E-12,-1.48E-02,3.02E-01, null
109,3.46E-04,3.64E-12,-1.49E-02,3.00E-01, null
110,6.83E-05,-1.46E-11,-1.40E-02,3.51E-01, null
111,-2.89E-04,0.00E+00,-1.44E-02,3.24E-01, null
112,-2.27E-05,0.00E+00,-1.31E-02,4.03E-01, null
113,-3.66E-04,0.00E+00,-1.32E-02,3.85E-01, null
114,2.39E-06,0.00E+00,-1.40E-02,3.50E-01, null
115,-3.73E-04,7.28E-12,-1.43E-02,3.30E-01, null
116,-4.90E-04,0.00E+00,-1.43E-02,3.11E-01, null
117,-9.07E-04,0.00E+00,-1.35E-02,0.00E+00,7.44E+00
118,-7.73E-04,0.00E+00,-1.36E-02,1.21E-01, null
119,-8.17E-04,0.00E+00,-1.35E-02,8.96E-02, null
120,-6.51E-04,7.28E-12,-1.35E-02,2.43E-01, null
121,-3.59E-04,-1.46E-11,-1.46E-02,3.11E-01, null
122,-4.06E-04,0.00E+00,-1.45E-02,3.23E-01, null
123,-6.43E-04,0.00E+00,-1.28E-02,2.56E-01, null
124,-6.63E-04,0.00E+00,-1.30E-02,2.50E-01, null
125,-7.30E-04,3.64E-12,-1.29E-02,1.78E-01, null
126,-9.16E-04,1.82E-12,-1.38E-02,0.00E+00,8.38E+00
127,-9.07E-04,-7.28E-12,-1.41E-02,0.00E+00,9.07E+00
128,-7.99E-04,0.00E+00,-1.40E-02,1.27E-01, null
129,-9.16E-04,0.00E+00,-1.33E-02,0.00E+00,7.06E+00
130,-8.63E-04,1.82E-12,-1.32E-02,5.48E-02, null
