Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,1.74E-03,-7.28E-12,-6.22E-03,0.00E+00
1,1.68E-03,0.00E+00,-6.23E-03,0.00E+00
2,1.73E-03,3.64E-12,-6.19E-03,2.05E-03
3,1.67E-03,0.00E+00,-6.21E-03,2.26E-03
4,1.30E-03,3.64E-12,-6.32E-03,0.00E+00
5,1.19E-03,3.64E-12,-6.34E-03,0.00E+00
6,1.30E-03,-3.64E-12,-6.29E-03,4.46E-03
7,1.18E-03,0.00E+00,-6.32E-03,5.72E-03
8,1.93E-03,0.00E+00,-6.16E-03,0.00E+00
9,1.86E-03,-3.64E-12,-6.18E-03,0.00E+00
10,1.92E-03,-3.64E-12,-6.14E-03,1.58E-03
11,1.86E-03,0.00E+00,-6.15E-03,1.71E-03
12,1.51E-03,-9.09E-13,-6.27E-03,0.00E+00
13,1.54E-03,-3.64E-12,-6.27E-03,0.00E+00
14,1.53E-03,-4.55E-12,-6.24E-03,2.76E-03
15,1.50E-03,0.00E+00,-6.25E-03,2.91E-03
16,1.02E-03,0.00E+00,-6.37E-03,0.00E+00
17,1.02E-03,9.09E-13,-6.35E-03,7.25E-03
18,9.97E-04,-6.37E-12,-6.38E-03,0.00E+00
19,9.93E-04,-6.37E-12,-6.35E-03,7.54E-03
20,1.40E-03,3.64E-12,-6.30E-03,0.00E+00
21,1.39E-03,0.00E+00,-6.27E-03,3.43E-03
22,1.18E-03,0.00E+00,-6.29E-03,1.16E-02
23,1.29E-03,3.64E-12,-6.27E-03,9.37E-03
24,1.39E-03,-3.64E-12,-6.25E-03,7.22E-03
25,1.50E-03,1.82E-12,-6.22E-03,6.08E-03
26,1.53E-03,9.09E-13,-6.21E-03,5.76E-03
27,1.66E-03,-3.64E-12,-6.18E-03,4.77E-03
28,1.72E-03,0.00E+00,-6.16E-03,4.35E-03
29,1.85E-03,-3.64E-12,-6.13E-03,3.64E-03
30,1.91E-03,-3.64E-12,-6.11E-03,3.38E-03
31,1.49E-03,0.00E+00,-6.19E-03,9.66E-03
32,1.38E-03,3.64E-12,-6.21E-03,1.20E-02
33,1.52E-03,1.82E-12,-6.18E-03,9.11E-03
34,1.65E-03,0.00E+00,-6.14E-03,7.51E-03
35,1.71E-03,3.64E-12,-6.13E-03,6.86E-03
36,1.84E-03,3.64E-12,-6.09E-03,5.78E-03
37,1.90E-03,0.00E+00,-6.07E-03,5.38E-03
38,1.64E-03,-3.64E-12,-6.10E-03,1.09E-02
39,1.51E-03,0.00E+00,-6.14E-03,1.23E-02
