Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,4.63E-04,-1.82E-12,-1.42E-02,3.24E-01, null
1,4.25E-04,5.46E-12,-1.42E-02,3.30E-01, null
2,4.15E-04,0.00E+00,-1.40E-02,3.42E-01, null
3,4.72E-04,-1.09E-11,-1.49E-02,3.00E-01, null
4,6.36E-04,0.00E+00,-1.49E-02,3.00E-01, null
5,5.71E-04,1.09E-11,-1.47E-02,3.08E-01, null
6,6.68E-04,1.82E-12,-1.48E-02,3.04E-01, null
7,9.85E-04,9.09E-12,-1.30E-02,0.00E+00,5.99E+00
8,9.87E-04,0.00E+00,-1.30E-02,0.00E+00,6.04E+00
9,7.40E-04,0.00E+00,-1.32E-02,2.11E-01, null
10,7.01E-04,-7.28E-12,-1.31E-02,2.40E-01, null
11,8.02E-04,0.00E+00,-1.35E-02,1.69E-01, null
12,9.66E-04,0.00E+00,-1.33E-02,0.00E+00,6.52E+00
13,4.11E-04,0.00E+00,-1.49E-02,3.00E-01, null
14,1.91E-04,0.00E+00,-1.49E-02,3.00E-01, null
15,4.37E-04,0.00E+00,-1.48E-02,3.02E-01, null
16,2.33E-04,0.00E+00,-1.48E-02,3.04E-01, null
17,3.29E-04,7.28E-12,-1.46E-02,3.11E-01, null
18,4.23E-04,-1.82E-12,-1.43E-02,3.30E-01, null
19,5.85E-05,-3.64E-12,-1.44E-02,3.16E-01, null
20,7.94E-04,-1.82E-12,-1.48E-02,2.27E-01, null
21,5.99E-04,7.28E-12,-1.46E-02,3.06E-01, null
22,9.12E-04,0.00E+00,-1.46E-02,8.82E-02, null
23,2.90E-04,0.00E+00,-1.34E-02,3.60E-01, null
24,2.63E-04,7.28E-12,-1.34E-02,3.66E-01, null
25,2.35E-04,7.28E-12,-1.34E-02,3.71E-01, null
26,8.16E-04,-1.82E-12,-1.43E-02,1.92E-01, null
27,7.50E-04,-5.46E-12,-1.44E-02,2.62E-01, null
28,7.90E-04,1.82E-12,-1.44E-02,2.21E-01, null
29,5.39E-04,-3.64E-12,-1.46E-02,3.09E-01, null
30,1.82E-04,0.00E+00,-1.46E-02,3.09E-01, null
31,1.42E-05,7.28E-12,-1.44E-02,3.16E-01, null
32,6.37E-04,-7.28E-12,-1.31E-02,2.88E-01, null
33,6.51E-04,0.00E+00,-1.31E-02,2.85E-01, null
34,9.84E-04,3.64E-12,-1.40E-02,0.00E+00,7.90E+00
35,9.81E-04,0.00E+00,-1.39E-02,0.00E+00,7.82E+00
36,8.95E-04,-3.64E-12,-1.39E-02,8.88E-02, null
37,3.73E-05,1.82E-12,-1.31E-02,3.89E-01, null
38,-3.99E-05,0.00E+00,-1.32E-02,3.89E-01, null
39,-6.63E-05,0.00E+00,-1.31E-02,3.93E-01, null
40,7.67E-04,0.00E+00,-1.49E-02,2.58E-01, null
41,9.79E-04,0.00E+00,-1.49E-02,0.00E+00,1.22E+01
42,9.84E-04,-3.64E-12,-1.47E-02,0.00E+00,1.13E+01
43,4.04E-04,0.00E+00,-1.42E-02,3.31E-01, null
44,1.22E-05,7.28E-12,-1.43E-02,3.18E-01, null
45,7.29E-04,0.00E+00,-1.49E-02,3.00E-01, null
46,3.29E-04,0.00E+00,-1.29E-02,3.89E-01, null
47,-8.71E-05,0.00E+00,-1.28E-02,4.02E-01, null
48,-3.26E-04,-7.28E-12,-1.41E-02,3.37E-01, null
49,-2.01E-04,0.00E+00,-1.40E-02,3.39E-01, null
50,-1.65E-04,-1.82E-12,-1.42E-02,3.28E-01, null
51,7.35E-04,-3.64E-12,-1.38E-02,2.54E-01, null
52,7.30E-04,3.64E-12,-1.37E-02,2.58E-01, null
53,8.01E-04,0.00E+00,-1.38E-02,1.85E-01, null
54,9.87E-04,5.46E-12,-1.36E-02,0.00E+00,7.69E+00
55,9.88E-04,0.00E+00,-1.36E-02,0.00E+00,7.62E+00
56,9.57E-04,0.00E+00,-1.36E-02,3.10E-02, null
57,7.35E-04,1.82E-12,-1.43E-02,2.80E-01, null
58,7.29E-04,-5.46E-12,-1.44E-02,2.84E-01, null
59,-1.36E-04,-3.64E-12,-1.46E-02,3.06E-01, null
60,1.24E-04,-7.28E-12,-1.48E-02,3.02E-01, null
61,4.82E-05,0.00E+00,-1.49E-02,3.00E-01, null
62,1.10E-04,0.00E+00,-1.34E-02,3.72E-01, null
63,2.10E-04,7.28E-12,-1.34E-02,3.73E-01, null
64,2.16E-04,-9.09E-13,-1.34E-02,3.73E-01, null
65,9.79E-04,0.00E+00,-1.45E-02,0.00E+00,1.05E+01
66,6.58E-04,0.00E+00,-1.35E-02,2.94E-01, null
67,7.14E-04,0.00E+00,-1.40E-02,2.68E-01, null
68,4.35E-04,-1.82E-12,-1.38E-02,3.44E-01, null
69,4.69E-04,1.82E-12,-1.38E-02,3.32E-01, null
70,9.85E-04,0.00E+00,-1.42E-02,0.00E+00,8.26E+00
71,9.02E-04,0.00E+00,-1.42E-02,8.26E-02, null
72,-3.50E-04,-7.28E-12,-1.40E-02,3.38E-01, null
73,-3.18E-04,3.64E-12,-1.40E-02,3.42E-01, null
74,3.23E-04,-3.64E-12,-1.30E-02,3.88E-01, null
75,5.48E-05,3.64E-12,-1.40E-02,3.36E-01, null
76,5.58E-04,0.00E+00,-1.43E-02,3.11E-01, null
77,2.24E-04,0.00E+00,-1.34E-02,3.72E-01, null
78,2.88E-04,-9.09E-13,-1.36E-02,3.66E-01, null
79,-1.98E-04,-3.64E-12,-1.46E-02,3.07E-01, null
80,-1.53E-04,-3.64E-12,-1.47E-02,3.05E-01, null
81,4.14E-04,5.46E-12,-1.38E-02,3.51E-01, null
82,4.09E-04,5.46E-12,-1.38E-02,3.51E-01, null
83,3.88E-04,0.00E+00,-1.38E-02,3.53E-01, null
84,3.90E-04,5.46E-12,-1.38E-02,3.54E-01, null
85,-1.08E-04,7.28E-12,-1.49E-02,3.00E-01, null
86,7.03E-04,-2.27E-13,-1.28E-02,2.84E-01, null
87,6.46E-04,-3.64E-12,-1.32E-02,2.92E-01, null
88,-4.02E-05,9.09E-13,-1.32E-02,3.88E-01, null
89,-5.58E-05,0.00E+00,-1.32E-02,3.88E-01, null
90,9.83E-04,-1.09E-11,-1.43E-02,0.00E+00,8.72E+00
91,6.76E-04,1.82E-12,-1.45E-02,2.92E-01, null
92,6.99E-04,0.00E+00,-1.28E-02,2.87E-01, null
93,4.78E-04,0.00E+00,-1.30E-02,3.46E-01, null
94,3.64E-04,-3.64E-12,-1.30E-02,3.77E-01, null
95,4.34E-04,0.00E+00,-1.42E-02,3.29E-01, null
96,2.22E-04,0.00E+00,-1.34E-02,3.73E-01, null
97,-4.87E-05,9.09E-13,-1.32E-02,3.87E-01, null
98,3.17E-04,0.00E+00,-1.38E-02,3.50E-01, null
99,-6.27E-05,-9.09E-13,-1.31E-02,3.89E-01, null
100,4.59E-05,7.28E-12,-1.40E-02,3.41E-01, null
101,9.71E-05,-4.55E-13,-1.33E-02,3.81E-01, null
102,4.03E-04,-7.28E-12,-1.29E-02,3.69E-01, null
103,6.75E-04,9.09E-13,-1.28E-02,2.95E-01, null
104,-5.47E-05,0.00E+00,-1.38E-02,3.56E-01, null
105,-3.32E-04,0.00E+00,-1.35E-02,3.64E-01, null
106,-4.26E-05,-1.82E-12,-1.43E-02,3.18E-01, null
107,-1.27E-04,0.00E+00,-1.28E-02,4.03E-01, null
108,-2.72E-05,7.28E-12,-1.44E-02,3.16E-01, null
109,-7.17E-04,0.00E+00,-1.32E-02,2.74E-01, null
110,-7.13E-04,7.28E-12,-1.30E-02,2.80E-01, null
111,-9.44E-04,-3.64E-12,-1.31E-02,4.81E-02, null
112,-9.30E-04,3.64E-12,-1.30E-02,6.31E-02, null
113,-6.55E-04,-7.28E-12,-1.46E-02,2.95E-01, null
114,-6.82E-04,-4.55E-13,-1.49E-02,3.00E-01, null
115,-9.55E-04,0.00E+00,-1.46E-02,3.39E-02, null
116,-7.49E-04,0.00E+00,-1.48E-02,2.36E-01, null
117,-6.90E-04,6.37E-12,-1.49E-02,2.93E-01, null
118,-5.29E-04,3.64E-12,-1.32E-02,3.40E-01, null
119,-5.37E-04,-3.64E-12,-1.31E-02,3.42E-01, null
120,-4.43E-04,0.00E+00,-1.32E-02,3.67E-01, null
121,-9.75E-04,0.00E+00,-1.31E-02,1.43E-02, null
122,-7.06E-04,0.00E+00,-1.44E-02,2.80E-01, null
123,-7.26E-04,0.00E+00,-1.42E-02,2.81E-01, null
124,-9.50E-04,-7.28E-12,-1.43E-02,4.67E-02, null
125,-5.20E-04,0.00E+00,-1.44E-02,3.20E-01, null
126,-5.57E-04,0.00E+00,-1.43E-02,3.15E-01, null
127,-9.86E-04,1.27E-11,-1.49E-02,0.00E+00,1.09E+01
128,-7.47E-04,9.09E-13,-1.49E-02,2.38E-01, null
129,-9.86E-04,-3.64E-12,-1.46E-02,0.00E+00,9.84E+00
130,-6.54E-04,-7.28E-12,-1.37E-02,2.87E-01, null
131,-6.89E-04,0.00E+00,-1.40E-02,2.87E-01, null
132,-9.50E-04,1.82E-12,-1.39E-02,3.51E-02, null
133,-9.49E-04,-3.64E-12,-1.45E-02,4.81E-02, null
134,-2.69E-04,-3.64E-12,-1.47E-02,3.04E-01, null
135,-9.85E-04,1.09E-11,-1.34E-02,0.00E+00,7.13E+00
136,-9.86E-04,-1.82E-12,-1.34E-02,0.00E+00,7.13E+00
137,-9.43E-04,0.00E+00,-1.34E-02,4.98E-02, null
138,-6.78E-04,6.37E-12,-1.49E-02,3.00E-01, null
139,-6.84E-04,-4.55E-13,-1.49E-02,3.00E-01, null
140,-7.24E-04,7.28E-12,-1.34E-02,2.66E-01, null
141,-6.98E-04,0.00E+00,-1.35E-02,2.79E-01, null
142,-9.41E-04,1.82E-12,-1.36E-02,5.15E-02, null
143,-9.87E-04,0.00E+00,-1.43E-02,0.00E+00,8.95E+00
144,-9.87E-04,3.64E-12,-1.40E-02,0.00E+00,7.83E+00
145,-7.91E-04,-7.28E-12,-1.41E-02,1.89E-01, null
146,-9.86E-04,-9.09E-12,-1.40E-02,0.00E+00,7.69E+00
147,-9.53E-04,0.00E+00,-1.40E-02,3.09E-02, null
148,-9.86E-04,1.82E-12,-1.37E-02,0.00E+00,6.93E+00
149,-9.52E-04,0.00E+00,-1.37E-02,3.39E-02, null
150,-9.86E-04,1.82E-12,-1.37E-02,0.00E+00,6.88E+00
