Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,1.47E-03,-4.53E-04,6.71E-04,1.07E+00
1,1.47E-03,-6.11E-04,5.35E-04,1.26E+00
2,1.55E-03,-4.13E-04,4.97E-04,1.07E+00
3,1.28E-03,6.92E-05,1.09E-03,2.42E+00
4,1.15E-03,-7.46E-05,1.23E-03,3.23E+00
5,1.29E-03,-1.25E-04,1.08E-03,2.29E+00
6,1.51E-03,4.78E-04,5.78E-04,1.06E+00
7,1.41E-03,6.55E-04,6.65E-04,1.47E+00
8,1.43E-03,4.79E-04,7.56E-04,1.28E+00
9,1.59E-03,3.97E-04,4.15E-04,1.02E+00
10,1.53E-03,5.93E-04,4.17E-04,1.12E+00
11,1.64E-03,2.51E-04,2.97E-04,1.03E+00
12,1.62E-03,4.42E-04,2.19E-04,1.00E+00
13,1.62E-03,-2.99E-04,3.52E-04,1.06E+00
14,1.66E-03,-2.50E-04,1.30E-04,1.05E+00
15,1.66E-03,-1.30E-04,2.62E-04,1.12E+00
16,1.39E-03,-4.11E-04,8.45E-04,1.45E+00
17,1.37E-03,-6.03E-04,7.71E-04,1.72E+00
18,1.68E-03,-6.72E-05,8.78E-05,1.04E+00
19,1.67E-03,6.49E-05,2.43E-04,1.04E+00
20,1.20E-03,-2.67E-04,1.15E-03,2.89E+00
21,1.33E-03,-2.95E-04,9.89E-04,1.92E+00
22,1.97E-04,1.30E-03,1.07E-03,3.47E+00
23,4.16E-04,1.25E-03,1.06E-03,3.33E+00
24,3.10E-04,1.38E-03,9.31E-04,2.79E+00
25,1.96E-04,1.68E-03,-1.20E-04,1.53E+00
26,2.54E-04,1.65E-03,-3.38E-04,1.43E+00
27,5.44E-05,1.68E-03,-2.57E-04,1.82E+00
28,5.58E-05,1.22E-03,1.18E-03,3.55E+00
29,2.67E-04,1.15E-03,1.21E-03,3.58E+00
30,3.10E-04,1.67E-03,3.97E-05,1.34E+00
31,4.03E-04,1.64E-03,-1.52E-04,1.34E+00
32,-1.26E-03,7.77E-04,8.19E-04,3.09E+00
33,-1.24E-03,6.40E-04,9.55E-04,3.33E+00
34,-1.14E-03,7.93E-04,9.71E-04,3.42E+00
35,-6.51E-04,1.49E-03,-4.96E-04,1.06E+00
36,-7.49E-04,1.38E-03,-6.38E-04,6.87E-01
37,-8.27E-04,1.40E-03,-4.73E-04,9.72E-01
38,-1.36E-03,7.80E-04,6.47E-04,2.56E+00
39,-1.38E-03,6.01E-04,7.77E-04,2.84E+00
40,-1.14E-03,1.21E-03,-3.32E-04,7.83E-01
41,-1.25E-03,1.07E-03,-4.11E-04,5.93E-01
42,-1.26E-03,1.11E-03,-2.17E-04,7.31E-01
43,-9.32E-04,1.29E-03,-5.93E-04,7.04E-01
44,-9.91E-04,1.31E-03,-4.18E-04,9.21E-01
45,4.96E-04,1.37E-03,8.76E-04,2.59E+00
46,3.90E-04,1.46E-03,7.69E-04,2.12E+00
47,-1.41E-03,9.26E-04,9.03E-05,9.37E-01
48,-1.51E-03,7.56E-04,1.25E-04,1.03E+00
49,-1.44E-03,8.55E-04,2.72E-04,1.31E+00
50,-4.68E-04,1.56E-03,-4.85E-04,1.17E+00
51,-5.50E-04,1.47E-03,-6.53E-04,8.04E-01
52,-2.84E-04,1.62E-03,-4.42E-04,1.42E+00
53,-3.42E-04,1.54E-03,-6.26E-04,1.05E+00
54,7.04E-05,1.63E-03,-4.77E-04,1.42E+00
55,-1.08E-04,1.66E-03,-3.65E-04,1.62E+00
56,-1.39E-04,1.60E-03,-5.60E-04,1.30E+00
57,4.30E-04,1.53E-03,5.90E-04,1.54E+00
58,5.75E-04,1.52E-03,4.84E-04,1.09E+00
59,4.30E-04,1.59E-03,4.03E-04,1.13E+00
60,-4.66E-04,9.88E-04,1.29E-03,3.93E+00
61,-3.25E-04,9.04E-04,1.39E-03,2.72E+00
62,-2.83E-04,1.06E-03,1.29E-03,3.75E+00
63,5.52E-04,1.58E-03,2.74E-04,9.39E-01
64,3.89E-04,1.64E-03,2.17E-04,1.21E+00
65,-1.51E-03,6.92E-04,3.34E-04,1.57E+00
66,-1.41E-03,8.06E-04,4.61E-04,1.89E+00
67,-1.07E-04,1.14E-03,1.25E-03,3.55E+00
68,9.01E-05,1.05E-03,1.32E-03,3.17E+00
69,-6.49E-04,9.24E-04,1.26E-03,4.10E+00
70,-5.30E-04,8.29E-04,1.38E-03,2.88E+00
71,1.32E-03,6.67E-04,8.25E-04,1.84E+00
72,1.32E-03,5.48E-04,8.96E-04,2.02E+00
