Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,1.10E-03,9.09E-12,-1.43E-02,0.00E+00,9.73E+00
1,1.07E-03,0.00E+00,-1.43E-02,3.61E-02, null
2,9.34E-04,0.00E+00,-1.44E-02,1.99E-01, null
3,8.63E-04,0.00E+00,-1.43E-02,2.74E-01, null
4,9.82E-04,-3.64E-12,-1.45E-02,1.47E-01, null
5,8.69E-04,0.00E+00,-1.45E-02,2.82E-01, null
6,8.62E-04,0.00E+00,-1.38E-02,2.65E-01, null
7,8.48E-04,0.00E+00,-1.39E-02,2.68E-01, null
8,9.21E-04,7.28E-12,-1.38E-02,2.00E-01, null
9,1.10E-03,7.28E-12,-1.46E-02,0.00E+00,1.10E+01
10,1.10E-03,3.64E-12,-1.48E-02,0.00E+00,1.19E+01
11,8.84E-04,5.46E-12,-1.48E-02,2.35E-01, null
12,1.10E-03,3.64E-12,-1.44E-02,0.00E+00,9.97E+00
13,4.05E-04,3.64E-12,-1.49E-02,3.00E-01, null
14,4.46E-04,-3.64E-12,-1.49E-02,3.00E-01, null
15,4.83E-04,1.82E-12,-1.48E-02,3.05E-01, null
16,5.45E-04,-3.64E-12,-1.46E-02,3.12E-01, null
17,6.06E-04,0.00E+00,-1.46E-02,3.10E-01, null
18,1.10E-03,0.00E+00,-1.49E-02,0.00E+00,1.19E+01
19,8.52E-04,-1.27E-11,-1.49E-02,2.67E-01, null
20,7.54E-04,-7.28E-12,-1.44E-02,2.96E-01, null
21,1.10E-03,-7.28E-12,-1.41E-02,0.00E+00,8.54E+00
22,9.68E-04,7.28E-12,-1.41E-02,1.31E-01, null
23,9.69E-04,0.00E+00,-1.39E-02,1.52E-01, null
24,8.60E-04,0.00E+00,-1.40E-02,2.66E-01, null
25,5.25E-04,-7.28E-12,-1.43E-02,3.28E-01, null
26,7.11E-04,-7.28E-12,-1.42E-02,2.92E-01, null
27,4.92E-04,1.27E-11,-1.40E-02,3.43E-01, null
28,8.10E-04,1.82E-12,-1.49E-02,3.00E-01, null
29,7.34E-04,1.82E-12,-1.48E-02,3.04E-01, null
30,1.11E-03,1.82E-12,-1.32E-02,0.00E+00,6.12E+00
31,1.10E-03,-7.28E-12,-1.35E-02,0.00E+00,6.76E+00
32,9.41E-04,7.28E-12,-1.34E-02,1.62E-01, null
33,1.08E-03,1.82E-12,-1.32E-02,2.45E-02, null
34,8.31E-04,0.00E+00,-1.48E-02,2.97E-01, null
35,9.60E-04,0.00E+00,-1.46E-02,1.62E-01, null
36,8.23E-04,0.00E+00,-1.46E-02,2.93E-01, null
37,1.10E-03,-1.27E-11,-1.32E-02,0.00E+00,6.07E+00
38,1.10E-03,0.00E+00,-1.38E-02,0.00E+00,7.29E+00
39,1.09E-03,0.00E+00,-1.38E-02,1.11E-02, null
40,8.41E-04,-7.28E-12,-1.42E-02,2.72E-01, null
41,8.82E-04,0.00E+00,-1.30E-02,2.06E-01, null
42,8.40E-04,0.00E+00,-1.31E-02,2.59E-01, null
43,5.21E-04,-1.82E-12,-1.40E-02,3.38E-01, null
44,5.06E-04,1.27E-11,-1.40E-02,3.40E-01, null
45,5.70E-04,0.00E+00,-1.39E-02,3.27E-01, null
46,1.11E-03,-9.09E-13,-1.38E-02,0.00E+00,7.38E+00
47,4.64E-04,3.64E-12,-1.32E-02,3.78E-01, null
48,4.96E-04,0.00E+00,-1.32E-02,3.65E-01, null
49,4.76E-04,-3.64E-12,-1.32E-02,3.77E-01, null
50,6.81E-04,0.00E+00,-1.45E-02,3.00E-01, null
51,5.66E-04,3.64E-12,-1.45E-02,3.15E-01, null
52,1.10E-03,-9.09E-13,-1.38E-02,0.00E+00,7.23E+00
53,9.92E-04,-7.28E-12,-1.35E-02,1.08E-01, null
54,8.25E-04,0.00E+00,-1.33E-02,2.68E-01, null
55,8.34E-04,0.00E+00,-1.34E-02,2.72E-01, null
56,6.98E-04,0.00E+00,-1.34E-02,3.19E-01, null
57,1.10E-03,1.82E-12,-1.32E-02,0.00E+00,6.05E+00
58,9.12E-04,0.00E+00,-1.30E-02,1.81E-01, null
59,6.03E-04,1.82E-12,-1.31E-02,3.30E-01, null
