Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,9.42E-04,0.00E+00,-1.38E-02,4.16E-01
1,9.34E-04,0.00E+00,-1.37E-02,3.99E-01
2,1.16E-03,-3.64E-12,-1.38E-02,5.89E-02
3,9.50E-04,-1.46E-11,-1.49E-02,3.46E-01
4,1.19E-03,-1.82E-12,-1.49E-02,0.00E+00
5,1.19E-03,-1.82E-12,-1.48E-02,0.00E+00
6,1.01E-03,3.64E-12,-1.47E-02,2.61E-01
7,9.62E-04,0.00E+00,-1.43E-02,4.36E-01
8,1.04E-03,0.00E+00,-1.44E-02,2.91E-01
9,1.14E-03,-1.82E-12,-1.43E-02,1.06E-01
10,1.19E-03,-1.82E-12,-1.43E-02,0.00E+00
11,9.62E-04,0.00E+00,-1.45E-02,4.38E-01
12,8.27E-04,0.00E+00,-1.45E-02,4.63E-01
13,8.89E-04,1.46E-11,-1.48E-02,4.64E-01
14,7.91E-04,0.00E+00,-1.47E-02,4.80E-01
15,1.03E-03,0.00E+00,-1.42E-02,2.92E-01
16,1.19E-03,-1.82E-12,-1.43E-02,0.00E+00
17,1.19E-03,5.46E-12,-1.44E-02,0.00E+00
18,1.09E-03,-3.64E-12,-1.45E-02,2.07E-01
19,1.19E-03,-9.09E-12,-1.32E-02,0.00E+00
20,1.19E-03,-1.82E-12,-1.32E-02,0.00E+00
21,9.66E-04,1.82E-12,-1.34E-02,3.62E-01
22,9.50E-04,0.00E+00,-1.33E-02,3.84E-01
23,1.19E-03,3.64E-12,-1.38E-02,0.00E+00
24,1.19E-03,-1.82E-12,-1.38E-02,0.00E+00
25,1.17E-03,9.09E-12,-1.38E-02,3.35E-02
26,8.23E-04,0.00E+00,-1.49E-02,4.72E-01
27,4.68E-04,0.00E+00,-1.49E-02,4.72E-01
28,9.26E-04,-3.64E-12,-1.33E-02,4.14E-01
29,9.39E-04,0.00E+00,-1.33E-02,4.07E-01
30,1.19E-03,0.00E+00,-1.46E-02,0.00E+00
31,4.45E-04,4.55E-13,-1.49E-02,4.72E-01
32,4.47E-04,4.55E-13,-1.49E-02,4.72E-01
33,1.07E-03,0.00E+00,-1.36E-02,2.04E-01
