Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,1.46E-03,-4.59E-04,8.58E-04,1.25E+01
1,1.43E-03,-6.52E-04,7.74E-04,1.41E+01
2,1.53E-03,-4.95E-04,6.90E-04,9.00E+00
3,1.64E-03,4.52E-04,4.37E-04,7.70E+00
4,1.59E-03,6.26E-04,4.14E-04,9.46E+00
5,1.57E-03,5.22E-04,5.97E-04,9.51E+00
6,1.33E-03,1.62E-04,1.13E-03,1.71E+01
7,1.22E-03,6.99E-05,1.26E-03,2.13E+01
8,1.32E-03,-2.55E-05,1.15E-03,1.90E+01
9,1.61E-03,-4.61E-04,5.21E-04,8.48E+00
10,1.61E-03,-5.63E-04,3.77E-04,9.19E+00
11,1.67E-03,-3.63E-04,3.74E-04,8.52E+00
12,1.70E-03,-3.74E-04,1.80E-04,9.33E+00
13,1.72E-03,-2.13E-04,2.69E-04,1.02E+01
14,1.75E-03,-1.14E-04,7.59E-05,9.92E+00
15,1.74E-03,-3.25E-05,2.21E-04,9.80E+00
16,1.22E-03,-1.26E-04,1.26E-03,2.20E+01
17,1.34E-03,-2.07E-04,1.11E-03,1.84E+01
18,1.75E-03,8.79E-05,6.76E-05,9.61E+00
19,1.73E-03,1.55E-04,2.36E-04,8.84E+00
20,1.53E-03,-6.22E-04,5.68E-04,1.25E+01
21,1.36E-03,3.30E-04,1.06E-03,1.58E+01
22,1.23E-03,2.67E-04,1.22E-03,2.03E+01
23,1.26E-03,-3.83E-04,1.15E-03,2.02E+01
24,1.39E-03,-3.58E-04,1.00E-03,1.55E+01
25,1.48E-03,6.84E-04,6.60E-04,1.33E+01
26,1.49E-03,5.23E-04,7.69E-04,1.13E+01
27,1.42E-03,4.56E-04,9.29E-04,1.31E+01
28,1.31E-03,5.24E-04,1.05E-03,1.74E+01
29,1.73E-03,2.82E-04,1.09E-04,8.15E+00
30,1.70E-03,3.24E-04,3.11E-04,7.92E+00
31,1.35E-03,-5.64E-04,9.56E-04,1.76E+01
32,1.38E-03,6.17E-04,9.07E-04,1.57E+01
33,1.65E-03,5.31E-04,2.75E-04,8.04E+00
34,-1.53E-03,6.22E-04,5.97E-04,2.31E+01
35,-1.54E-03,4.63E-04,7.18E-04,2.46E+01
36,-1.45E-03,6.18E-04,7.75E-04,2.36E+01
37,-1.44E-03,4.68E-04,9.02E-04,2.43E+01
38,-1.35E-03,6.31E-04,9.38E-04,2.41E+01
39,2.74E-04,1.73E-03,-2.73E-04,1.20E+01
40,3.15E-04,1.68E-03,-4.68E-04,1.34E+01
41,1.29E-04,1.72E-03,-4.03E-04,1.44E+01
42,-9.18E-04,1.37E-03,-6.34E-04,4.86E+00
43,-1.02E-03,1.23E-03,-7.50E-04,4.57E+00
44,-1.08E-03,1.27E-03,-5.79E-04,5.03E+00
45,-3.87E-04,1.60E-03,-6.41E-04,7.14E+00
46,-4.52E-04,1.50E-03,-8.15E-04,4.90E+00
47,-5.68E-04,1.53E-03,-6.66E-04,5.27E+00
48,-2.07E-04,1.65E-03,-5.88E-04,1.07E+01
49,-2.52E-04,1.56E-03,-7.81E-04,8.36E+00
50,-3.30E-05,1.69E-03,-5.08E-04,1.41E+01
51,-3.63E-05,1.61E-03,-7.29E-04,1.20E+01
52,-5.66E-04,8.63E-04,1.43E-03,2.02E+01
53,-4.33E-04,7.68E-04,1.52E-03,1.14E+01
54,-3.84E-04,9.32E-04,1.45E-03,1.84E+01
55,-1.18E-03,1.12E-03,-6.73E-04,4.59E+00
56,-1.22E-03,1.17E-03,-5.00E-04,4.29E+00
57,5.97E-04,1.61E-03,4.10E-04,7.64E+00
58,7.23E-04,1.59E-03,2.78E-04,5.13E+00
59,5.63E-04,1.66E-03,2.24E-04,4.08E+00
60,3.98E-04,1.72E-03,-1.22E-04,8.69E+00
61,4.63E-04,1.68E-03,-3.04E-04,1.18E+01
62,-1.32E-03,1.01E-03,-5.73E-04,3.44E+00
63,-1.35E-03,1.06E-03,-3.97E-04,3.32E+00
64,-3.08E-05,1.08E-03,1.39E-03,2.36E+01
65,1.48E-04,1.02E-03,1.43E-03,2.50E+01
66,1.31E-04,1.17E-03,1.32E-03,2.53E+01
67,-1.08E-03,6.97E-04,1.21E-03,2.38E+01
68,-9.98E-04,5.70E-04,1.33E-03,1.79E+01
69,-9.15E-04,7.44E-04,1.31E-03,2.01E+01
70,-7.44E-04,8.00E-04,1.38E-03,1.97E+01
71,-6.28E-04,6.98E-04,1.49E-03,1.12E+01
72,-1.31E-03,4.89E-04,1.06E-03,2.47E+01
73,-1.22E-03,6.58E-04,1.08E-03,2.34E+01
74,-2.32E-04,8.43E-04,1.53E-03,1.56E+01
75,-2.04E-04,1.01E-03,1.43E-03,2.12E+01
76,-1.53E-03,8.56E-04,-1.24E-04,8.57E+00
77,-1.63E-03,6.59E-04,-1.38E-04,8.38E+00
78,-1.58E-03,7.67E-04,4.21E-05,1.34E+01
79,4.96E-04,1.41E-03,9.42E-04,2.34E+01
80,6.72E-04,1.38E-03,8.78E-04,2.05E+01
81,5.63E-04,1.48E-03,7.75E-04,1.73E+01
82,3.20E-04,1.10E-03,1.34E-03,2.58E+01
83,2.76E-04,1.25E-03,1.22E-03,2.39E+01
84,3.99E-04,1.33E-03,1.09E-03,2.59E+01
85,5.84E-04,1.29E-03,1.05E-03,2.37E+01
86,6.66E-04,1.64E-03,7.44E-05,5.00E+00
87,4.95E-04,1.70E-03,4.49E-05,6.20E+00
88,5.79E-04,1.67E-03,-1.21E-04,8.76E+00
89,1.66E-03,-4.96E-04,2.42E-04,7.12E+00
90,-1.66E-03,5.89E-04,7.98E-05,1.37E+01
91,-1.60E-03,6.96E-04,2.23E-04,1.71E+01
92,-1.66E-03,5.22E-04,2.82E-04,1.68E+01
93,-1.58E-03,6.47E-04,4.10E-04,1.86E+01
94,-1.62E-03,4.52E-04,5.06E-04,2.05E+01
95,7.27E-04,1.46E-03,6.86E-04,1.45E+01
96,5.97E-04,1.55E-03,5.95E-04,1.24E+01
97,7.45E-04,1.53E-03,4.84E-04,1.03E+01
98,1.48E-04,1.66E-03,-6.01E-04,1.37E+01
99,-7.47E-04,1.46E-03,-6.63E-04,4.70E+00
100,-8.40E-04,1.33E-03,-8.02E-04,3.58E+00
101,-1.46E-03,9.57E-04,-2.71E-04,5.15E+00
102,-1.55E-03,7.86E-04,-3.05E-04,4.11E+00
103,-1.16E-03,5.24E-04,1.21E-03,2.28E+01
104,-3.85E-05,9.20E-04,1.50E-03,2.18E+01
105,-8.15E-04,6.31E-04,1.43E-03,1.29E+01
106,4.68E-04,1.20E-03,1.21E-03,2.42E+01
107,1.21E-03,-2.74E-04,1.23E-03,1.97E+01
108,-1.44E-03,9.02E-04,-4.50E-04,2.62E+00
109,-6.47E-04,1.42E-03,-8.27E-04,3.14E+00
110,-6.87E-04,8.77E-04,-1.36E-03,8.26E+00
111,-6.65E-04,1.04E-03,-1.26E-03,2.32E+00
112,-5.22E-04,9.86E-04,-1.36E-03,8.22E+00
113,-3.40E-04,1.06E-03,-1.36E-03,8.13E+00
114,-2.53E-04,1.22E-03,-1.25E-03,3.88E+00
115,-1.48E-04,1.11E-03,-1.36E-03,8.72E+00
116,8.91E-04,6.63E-04,-1.36E-03,5.57E+00
117,1.05E-03,6.41E-04,-1.26E-03,5.61E+00
118,9.92E-04,4.94E-04,-1.36E-03,4.33E+00
119,4.33E-04,-9.97E-04,-1.37E-03,8.59E+00
120,3.67E-04,-1.16E-03,-1.25E-03,8.40E+00
121,2.45E-04,-1.06E-03,-1.37E-03,9.26E+00
122,6.07E-04,-9.03E-04,-1.37E-03,8.95E+00
123,5.74E-04,-1.06E-03,-1.26E-03,9.45E+00
124,6.07E-04,9.35E-04,-1.36E-03,8.39E+00
125,7.69E-04,9.71E-04,-1.25E-03,8.39E+00
126,7.61E-04,8.12E-04,-1.36E-03,7.11E+00
127,-1.10E-03,1.59E-05,-1.37E-03,5.81E+00
128,-1.22E-03,1.31E-04,-1.26E-03,1.41E+00
129,-1.08E-03,2.13E-04,-1.36E-03,5.32E+00
130,2.45E-04,1.09E-03,-1.36E-03,9.15E+00
131,3.93E-04,1.18E-03,-1.25E-03,8.99E+00
132,4.33E-04,1.03E-03,-1.36E-03,9.45E+00
133,-1.08E-03,-1.81E-04,-1.37E-03,6.31E+00
134,-1.22E-03,-8.38E-05,-1.26E-03,1.21E+00
135,4.94E-05,1.12E-03,-1.36E-03,1.01E+01
136,1.83E-04,1.24E-03,-1.24E-03,7.74E+00
137,-3.40E-04,-1.03E-03,-1.37E-03,8.29E+00
138,-5.02E-04,-1.10E-03,-1.26E-03,3.01E+00
139,-5.22E-04,-9.54E-04,-1.37E-03,8.79E+00
140,1.10E-03,1.15E-04,-1.37E-03,1.87E+00
141,1.21E-03,1.47E-05,-1.27E-03,5.18E-01
142,1.10E-03,-8.28E-05,-1.37E-03,2.17E+00
143,7.61E-04,-7.80E-04,-1.37E-03,7.64E+00
144,7.61E-04,-9.41E-04,-1.26E-03,8.83E+00
145,4.94E-05,-1.08E-03,-1.37E-03,1.03E+01
146,-7.08E-05,-1.20E-03,-1.26E-03,6.19E+00
147,-1.48E-04,-1.08E-03,-1.37E-03,9.19E+00
148,1.06E-03,3.09E-04,-1.36E-03,2.79E+00
149,1.19E-03,2.30E-04,-1.27E-03,2.24E+00
150,-9.46E-04,-5.49E-04,-1.37E-03,7.15E+00
151,-1.12E-03,-5.04E-04,-1.25E-03,2.63E+00
152,-1.03E-03,-3.71E-04,-1.37E-03,6.73E+00
153,-6.87E-04,-8.45E-04,-1.37E-03,8.05E+00
154,-8.63E-04,-8.60E-04,-1.25E-03,2.50E+00
155,-8.30E-04,-7.09E-04,-1.37E-03,7.48E+00
156,-6.94E-04,-9.94E-04,-1.26E-03,2.82E+00
157,-3.46E-05,1.25E-03,-1.25E-03,6.05E+00
158,9.26E-04,8.21E-04,-1.25E-03,7.01E+00
159,1.06E-03,-2.77E-04,-1.37E-03,3.39E+00
160,1.14E-03,-4.14E-04,-1.26E-03,4.02E+00
161,9.92E-04,-4.62E-04,-1.37E-03,4.27E+00
162,1.20E-03,-2.02E-04,-1.26E-03,2.05E+00
163,1.42E-03,6.90E-04,7.84E-04,1.39E+01
164,1.53E-03,6.96E-04,5.29E-04,1.15E+01
165,1.24E-03,4.26E-04,1.17E-03,1.87E+01
166,-9.46E-04,5.81E-04,-1.36E-03,7.34E+00
167,-9.81E-04,7.45E-04,-1.26E-03,3.40E+00
168,-8.30E-04,7.41E-04,-1.36E-03,8.19E+00
169,1.73E-03,-2.71E-04,9.19E-05,9.12E+00
170,-1.18E-03,3.48E-04,-1.25E-03,1.83E+00
171,-1.03E-03,4.03E-04,-1.36E-03,6.57E+00
172,-8.36E-04,9.04E-04,-1.26E-03,2.79E+00
173,-1.18E-03,-2.94E-04,-1.26E-03,1.78E+00
174,1.05E-03,-6.13E-04,-1.26E-03,5.84E+00
175,8.91E-04,-6.32E-04,-1.37E-03,6.20E+00
176,-1.01E-03,-6.97E-04,-1.25E-03,2.71E+00
