Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,7.38E-03,-5.98E-05,3.06E-03,6.55E-02
1,7.45E-03,-1.61E-04,2.90E-03,6.42E-02
2,7.46E-03,3.31E-05,2.91E-03,6.38E-02
3,4.84E-03,-3.22E-03,1.94E-03,2.64E-01
4,5.00E-03,-3.12E-03,2.00E-03,2.30E-01
5,4.77E-03,-3.20E-03,2.13E-03,2.62E-01
6,4.95E-03,-3.08E-03,2.24E-03,2.21E-01
7,4.70E-03,-3.17E-03,2.32E-03,2.67E-01
8,4.84E-03,-3.05E-03,2.45E-03,2.32E-01
9,4.64E-03,-3.13E-03,2.50E-03,2.77E-01
10,4.77E-03,-3.01E-03,2.64E-03,2.43E-01
11,4.57E-03,-3.08E-03,2.68E-03,2.89E-01
12,4.70E-03,-2.95E-03,2.81E-03,2.54E-01
13,4.51E-03,-3.02E-03,2.86E-03,3.14E-01
14,4.63E-03,-2.89E-03,2.97E-03,2.76E-01
15,4.44E-03,-2.94E-03,3.03E-03,3.32E-01
16,4.57E-03,-2.81E-03,3.13E-03,2.80E-01
17,4.38E-03,-2.85E-03,3.20E-03,3.42E-01
18,4.51E-03,-2.73E-03,3.29E-03,2.99E-01
19,4.32E-03,-2.75E-03,3.36E-03,3.74E-01
20,4.46E-03,-2.63E-03,3.45E-03,3.20E-01
21,4.27E-03,-2.65E-03,3.52E-03,4.02E-01
22,4.40E-03,-2.52E-03,3.60E-03,3.38E-01
23,4.21E-03,-2.53E-03,3.67E-03,4.32E-01
24,4.35E-03,-2.39E-03,3.74E-03,3.64E-01
25,4.16E-03,-2.40E-03,3.81E-03,4.72E-01
26,4.30E-03,-2.27E-03,3.87E-03,3.93E-01
27,4.11E-03,-2.26E-03,3.95E-03,5.13E-01
28,4.26E-03,-2.13E-03,4.00E-03,4.20E-01
29,4.06E-03,-2.11E-03,4.07E-03,5.60E-01
30,4.21E-03,-1.98E-03,4.12E-03,4.55E-01
31,4.02E-03,-1.96E-03,4.19E-03,6.28E-01
32,4.17E-03,-1.83E-03,4.23E-03,4.94E-01
33,3.98E-03,-1.80E-03,4.30E-03,6.79E-01
34,4.13E-03,-1.67E-03,4.33E-03,5.33E-01
35,3.95E-03,-1.63E-03,4.40E-03,7.40E-01
36,4.10E-03,-1.50E-03,4.43E-03,5.73E-01
37,3.91E-03,-1.46E-03,4.49E-03,8.16E-01
38,4.07E-03,-1.33E-03,4.51E-03,6.06E-01
39,3.88E-03,-1.28E-03,4.57E-03,8.80E-01
40,4.05E-03,-1.15E-03,4.58E-03,6.41E-01
41,3.86E-03,-1.09E-03,4.64E-03,9.34E-01
42,4.02E-03,-9.67E-04,4.64E-03,6.78E-01
43,3.84E-03,-9.00E-04,4.70E-03,9.78E-01
44,4.00E-03,-7.81E-04,4.70E-03,6.95E-01
45,3.82E-03,-7.08E-04,4.75E-03,1.03E+00
46,3.99E-03,-5.92E-04,4.74E-03,7.22E-01
47,3.81E-03,-5.12E-04,4.78E-03,1.07E+00
48,3.98E-03,-4.01E-04,4.77E-03,7.42E-01
49,3.80E-03,-3.15E-04,4.81E-03,1.08E+00
50,3.97E-03,-2.08E-04,4.79E-03,7.44E-01
51,3.79E-03,-1.16E-04,4.82E-03,1.11E+00
52,3.97E-03,-1.48E-05,4.79E-03,7.44E-01
53,3.79E-03,8.35E-05,4.83E-03,1.12E+00
54,3.97E-03,1.79E-04,4.79E-03,7.52E-01
55,3.79E-03,2.83E-04,4.82E-03,1.10E+00
56,3.97E-03,3.72E-04,4.78E-03,7.38E-01
57,3.80E-03,4.81E-04,4.80E-03,1.08E+00
58,3.98E-03,5.64E-04,4.75E-03,7.17E-01
59,3.81E-03,6.77E-04,4.76E-03,1.05E+00
60,3.99E-03,7.54E-04,4.71E-03,7.00E-01
61,3.83E-03,8.71E-04,4.72E-03,9.74E-01
62,4.01E-03,9.41E-04,4.67E-03,6.71E-01
63,3.85E-03,1.06E-03,4.67E-03,8.93E-01
64,4.03E-03,1.13E-03,4.61E-03,6.37E-01
65,3.87E-03,1.25E-03,4.60E-03,8.60E-01
66,4.06E-03,1.31E-03,4.54E-03,6.10E-01
67,3.90E-03,1.43E-03,4.53E-03,7.95E-01
68,4.08E-03,1.48E-03,4.46E-03,5.74E-01
69,3.93E-03,1.61E-03,4.44E-03,7.53E-01
70,4.11E-03,1.65E-03,4.37E-03,5.40E-01
71,3.96E-03,1.78E-03,4.34E-03,6.92E-01
72,4.15E-03,1.81E-03,4.27E-03,4.99E-01
