Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,1.46E-03,-4.59E-04,8.58E-04,1.66E+00
1,1.43E-03,-6.52E-04,7.74E-04,1.89E+00
2,1.53E-03,-4.95E-04,6.90E-04,1.19E+00
3,1.64E-03,4.52E-04,4.37E-04,1.18E+00
4,1.59E-03,6.26E-04,4.14E-04,1.26E+00
5,1.57E-03,5.22E-04,5.97E-04,1.25E+00
6,1.33E-03,1.62E-04,1.13E-03,2.71E+00
7,1.22E-03,6.99E-05,1.26E-03,3.55E+00
8,1.32E-03,-2.55E-05,1.15E-03,2.86E+00
9,1.61E-03,-4.61E-04,5.21E-04,1.26E+00
10,1.61E-03,-5.63E-04,3.77E-04,1.33E+00
11,1.67E-03,-3.63E-04,3.74E-04,1.28E+00
12,1.70E-03,-3.74E-04,1.80E-04,1.23E+00
13,1.72E-03,-2.13E-04,2.69E-04,1.32E+00
14,1.75E-03,-1.14E-04,7.59E-05,1.26E+00
15,1.74E-03,-3.25E-05,2.21E-04,1.35E+00
16,1.22E-03,-1.26E-04,1.26E-03,3.59E+00
17,1.34E-03,-2.07E-04,1.11E-03,2.70E+00
18,1.75E-03,8.79E-05,6.76E-05,1.25E+00
19,1.73E-03,1.55E-04,2.36E-04,1.28E+00
20,1.53E-03,-6.22E-04,5.68E-04,1.46E+00
21,1.36E-03,3.30E-04,1.06E-03,2.38E+00
22,1.23E-03,2.67E-04,1.22E-03,3.42E+00
23,1.26E-03,-3.83E-04,1.15E-03,3.16E+00
24,1.39E-03,-3.58E-04,1.00E-03,2.22E+00
25,1.48E-03,6.84E-04,6.60E-04,1.60E+00
26,1.49E-03,5.23E-04,7.69E-04,1.48E+00
27,1.42E-03,4.56E-04,9.29E-04,1.83E+00
28,1.31E-03,5.24E-04,1.05E-03,2.72E+00
29,1.73E-03,2.82E-04,1.09E-04,1.19E+00
30,1.70E-03,3.24E-04,3.11E-04,1.22E+00
31,1.35E-03,-5.64E-04,9.56E-04,2.52E+00
32,1.38E-03,6.17E-04,9.07E-04,2.25E+00
33,1.65E-03,5.31E-04,2.75E-04,1.20E+00
34,-1.53E-03,6.22E-04,5.97E-04,2.53E+00
35,-1.54E-03,4.63E-04,7.18E-04,2.97E+00
36,-1.45E-03,6.18E-04,7.75E-04,3.14E+00
37,-1.44E-03,4.68E-04,9.02E-04,3.33E+00
38,-1.35E-03,6.31E-04,9.38E-04,3.56E+00
39,2.74E-04,1.73E-03,-2.73E-04,1.70E+00
40,3.15E-04,1.68E-03,-4.68E-04,1.64E+00
41,1.29E-04,1.72E-03,-4.03E-04,1.74E+00
42,-9.18E-04,1.37E-03,-6.34E-04,6.69E-01
43,-1.02E-03,1.23E-03,-7.50E-04,5.26E-01
44,-1.08E-03,1.27E-03,-5.79E-04,6.86E-01
45,-3.87E-04,1.60E-03,-6.41E-04,9.67E-01
46,-4.52E-04,1.50E-03,-8.15E-04,7.03E-01
47,-5.68E-04,1.53E-03,-6.66E-04,7.81E-01
48,-2.07E-04,1.65E-03,-5.88E-04,1.21E+00
49,-2.52E-04,1.56E-03,-7.81E-04,9.37E-01
50,-3.30E-05,1.69E-03,-5.08E-04,1.52E+00
51,-3.63E-05,1.61E-03,-7.29E-04,1.24E+00
52,-5.66E-04,8.63E-04,1.43E-03,4.23E+00
53,-4.33E-04,7.68E-04,1.52E-03,2.64E+00
54,-3.84E-04,9.32E-04,1.45E-03,3.96E+00
55,-1.18E-03,1.12E-03,-6.73E-04,5.51E-01
