Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,-8.56E-06,8.87E-05,-3.48E-05,4.90E-01
1,3.45E-06,1.75E-05,-1.09E-02,4.72E-01
2,2.61E-05,2.02E-06,-1.47E-03,5.18E-01
3,2.78E-04,-6.15E-04,-1.31E-02,2.90E-01
4,-5.83E-04,-2.25E-04,-2.89E-03,3.04E-01
5,3.62E-04,1.92E-04,-1.46E-02,3.09E-01
6,-5.23E-04,-5.53E-03,1.29E-02,1.49E-01
7,-4.85E-04,-6.53E-03,7.86E-03,1.91E-01
8,-5.13E-04,-4.02E-04,-9.98E-03,2.70E-01
9,-1.19E-03,-6.29E-03,5.96E-03,1.16E-01
10,1.35E-04,-6.29E-04,-1.26E-02,2.89E-01
11,-6.38E-04,1.25E-05,-3.92E-03,2.71E-01
12,-6.59E-04,-7.21E-03,4.98E-03,1.68E-01
13,-1.06E-04,4.63E-03,1.05E-03,9.59E-02
14,-8.66E-04,3.90E-03,6.70E-04,9.36E-02
15,4.11E-04,4.57E-04,-6.71E-03,2.82E-01
16,-4.35E-04,4.41E-03,2.27E-03,1.65E-01
17,-6.38E-04,-4.34E-03,1.22E-02,9.46E-02
18,2.95E-04,-4.57E-04,-1.46E-02,3.12E-01
19,4.75E-04,4.69E-04,-5.53E-03,2.62E-01
20,2.23E-04,2.48E-03,7.56E-04,9.45E-02
21,3.60E-04,-5.07E-04,-8.66E-03,2.79E-01
22,-3.86E-04,-6.52E-03,2.21E-03,1.10E-01
23,-1.30E-03,3.11E-04,5.97E-04,2.69E-01
24,-1.19E-03,-5.34E-03,2.05E-03,1.35E-01
25,-1.04E-04,-5.52E-03,1.23E-02,1.46E-01
26,-9.80E-04,-5.12E-03,9.38E-03,1.10E-01
27,8.85E-05,-5.25E-03,1.00E-02,1.24E-01
28,8.87E-05,-2.17E-03,2.44E-04,4.19E-02
29,-1.39E-03,-3.72E-04,1.39E-04,2.07E-01
30,1.54E-05,-6.72E-03,5.85E-03,1.76E-01
31,-7.52E-04,1.74E-03,-1.35E-04,1.04E-01
32,-1.08E-03,-5.54E-03,8.41E-03,1.36E-01
33,-1.15E-03,-5.53E-03,1.08E-02,1.16E-01
34,-8.43E-04,6.79E-03,6.90E-03,1.39E-01
35,-9.91E-04,6.94E-03,4.90E-03,1.85E-01
36,1.89E-03,-4.20E-05,6.84E-04,5.58E-03
37,5.17E-04,1.34E-04,1.29E-03,2.86E-01
38,1.25E-03,-6.91E-04,1.90E-04,1.53E-01
39,-4.69E-04,-6.75E-03,7.01E-03,1.90E-01
40,-8.97E-04,7.57E-04,-8.72E-04,6.14E-02
41,-2.76E-04,-5.90E-04,-2.15E-03,2.75E-01
42,-1.12E-03,-3.37E-03,8.81E-04,1.35E-01
43,-1.15E-03,6.47E-03,3.38E-03,1.36E-01
44,-6.78E-04,5.87E-03,1.12E-02,1.50E-01
45,7.82E-05,-5.60E-03,7.94E-03,1.21E-01
46,-6.71E-05,6.74E-03,2.91E-03,1.35E-01
47,1.03E-03,6.08E-04,-6.75E-04,8.70E-02
48,-9.57E-04,-6.97E-03,3.60E-03,1.51E-01
49,-1.66E-04,6.88E-03,5.75E-03,1.98E-01
50,-1.09E-03,-5.27E-03,1.28E-02,1.22E-01
51,-7.47E-04,5.66E-03,3.12E-03,1.58E-01
52,1.65E-03,-2.51E-04,6.16E-04,1.85E-02
53,-1.88E-04,5.19E-03,8.59E-03,1.20E-01
54,-1.11E-04,-6.74E-03,2.65E-03,9.73E-02
55,2.40E-04,6.68E-04,-4.28E-03,2.12E-01
56,-1.93E-04,-6.33E-04,-4.83E-03,2.60E-01
57,2.92E-04,1.30E-03,-6.00E-04,1.47E-01
58,1.82E-03,1.57E-04,8.77E-04,4.19E-03
59,-5.35E-04,4.74E-03,1.03E-02,1.14E-01
60,1.19E-03,-1.04E-04,-7.26E-04,6.94E-02
61,-1.18E-03,-4.46E-03,1.79E-03,1.22E-01
62,2.37E-04,8.74E-04,1.19E-03,2.43E-01
63,-1.79E-04,5.73E-03,6.31E-03,1.04E-01
64,2.54E-04,6.09E-04,-2.92E-03,2.87E-01
65,-4.21E-05,-6.90E-04,-3.32E-03,2.10E-01
66,-7.37E-04,-6.42E-03,8.50E-03,1.43E-01
67,-4.39E-04,4.22E-04,-7.98E-03,3.26E-01
68,-1.15E-03,-5.19E-03,1.15E-02,1.12E-01
69,5.26E-04,4.51E-04,-2.10E-03,2.36E-01
70,7.56E-05,-4.34E-03,1.85E-03,1.34E-01
71,-1.10E-03,1.74E-03,9.57E-04,2.03E-01
72,9.52E-04,-9.34E-04,4.37E-04,2.07E-01
73,-6.40E-04,-8.75E-04,-1.01E-03,3.64E-02
74,7.14E-04,-1.14E-03,-2.10E-04,1.02E-01
75,-1.16E-04,5.63E-03,1.20E-02,1.39E-01
76,4.65E-04,4.36E-04,-9.25E-03,2.87E-01
77,1.15E-03,-2.98E-04,9.13E-04,2.57E-01
78,5.98E-05,-7.92E-04,1.26E-03,1.95E-01
79,-1.66E-04,3.02E-03,1.59E-03,1.89E-01
80,-1.27E-03,3.01E-04,-4.33E-04,1.06E-01
81,-3.90E-04,6.17E-03,9.67E-03,1.51E-01
82,1.62E-04,5.98E-03,8.00E-03,1.20E-01
83,2.36E-04,-4.06E-03,1.31E-03,9.38E-02
84,1.51E-03,1.19E-04,5.60E-05,1.13E-01
85,9.59E-04,8.88E-04,5.84E-04,2.36E-01
86,-5.89E-05,1.68E-03,1.12E-03,2.49E-01
87,8.40E-04,1.19E-03,1.04E-04,1.03E-01
88,4.41E-04,-5.32E-04,-7.52E-03,2.16E-01
89,-3.51E-04,-2.04E-03,1.37E-03,2.35E-01
90,-1.15E-03,3.87E-03,1.28E-03,1.28E-01
91,1.16E-03,5.14E-04,8.82E-04,2.12E-01
92,-6.23E-04,2.40E-04,-1.45E-02,2.89E-01
93,-4.04E-04,5.37E-04,-1.45E-02,3.04E-01
94,-1.11E-03,-6.83E-03,4.30E-03,1.45E-01
95,-1.17E-03,3.26E-03,1.04E-03,1.49E-01
96,-5.55E-04,-3.84E-04,-1.45E-02,2.87E-01
97,-2.16E-04,-6.00E-03,3.95E-03,1.23E-01
98,1.37E-03,4.13E-04,-1.96E-04,1.02E-01
99,2.25E-04,6.87E-04,-7.51E-03,2.01E-01
100,-4.20E-04,-1.53E-03,1.22E-03,2.85E-01
101,2.15E-04,-5.58E-04,-6.03E-03,2.73E-01
102,-1.10E-03,-6.47E-04,-6.46E-04,6.01E-02
103,-1.05E-03,-5.76E-03,7.23E-03,1.39E-01
104,-1.09E-03,-2.42E-03,4.77E-04,1.42E-01
105,-6.19E-04,5.96E-03,4.40E-03,1.03E-01
106,-2.84E-04,-4.71E-03,9.56E-04,8.85E-02
107,5.99E-04,2.86E-04,-1.08E-02,2.41E-01
108,-9.54E-04,2.68E-03,3.04E-04,1.07E-01
109,-5.17E-04,-4.31E-03,1.26E-02,1.15E-01
110,-7.84E-04,2.29E-03,1.44E-03,2.24E-01
111,-3.29E-04,5.79E-04,-8.66E-03,2.58E-01
112,-1.00E-03,-6.02E-03,3.55E-03,1.28E-01
113,3.01E-06,-7.37E-04,-1.54E-03,2.05E-01
114,-4.86E-04,3.94E-03,2.11E-03,1.63E-01
115,7.77E-05,-5.12E-03,1.07E-02,1.54E-01
116,1.63E-04,5.52E-03,9.07E-03,1.19E-01
117,-1.11E-03,8.93E-04,7.45E-04,2.14E-01
118,7.82E-04,-7.18E-04,-1.04E-03,8.40E-02
119,-5.62E-05,-6.45E-04,-1.46E-02,2.91E-01
120,-1.12E-03,4.79E-03,1.52E-03,1.28E-01
121,-1.36E-04,-5.23E-03,8.63E-03,1.28E-01
122,-7.58E-04,4.58E-03,1.17E-02,1.48E-01
123,-7.31E-04,3.18E-05,-1.09E-02,2.10E-01
124,-8.06E-04,4.88E-03,2.39E-03,1.87E-01
125,1.85E-04,3.30E-03,1.01E-03,1.00E-01
126,-5.10E-04,4.77E-04,-1.37E-02,2.73E-01
127,6.21E-04,-1.07E-05,-4.83E-03,2.98E-01
128,-5.62E-04,3.20E-04,-9.97E-03,3.03E-01
129,5.97E-04,2.42E-04,-1.03E-02,2.82E-01
130,-6.03E-04,-1.92E-04,-1.04E-02,3.09E-01
131,7.03E-04,9.12E-04,-8.89E-04,1.10E-01
132,-1.14E-03,-6.44E-03,6.84E-03,1.14E-01
133,-2.64E-04,6.56E-04,-1.80E-03,2.50E-01
134,-3.83E-04,3.25E-03,3.62E-04,9.12E-02
135,3.70E-04,-1.28E-03,-5.23E-04,1.39E-01
136,1.25E-03,-5.66E-04,-3.36E-04,8.84E-02
137,-8.04E-04,-2.42E-04,1.17E-03,1.70E-01
138,-8.78E-04,-6.92E-03,5.57E-03,1.93E-01
139,8.01E-05,-1.16E-03,-8.08E-04,1.29E-01
140,6.10E-04,-6.48E-04,1.05E-03,2.66E-01
141,-4.72E-04,-5.38E-03,1.31E-03,1.08E-01
142,-1.39E-03,3.69E-04,2.37E-05,1.91E-01
143,-5.68E-04,4.04E-04,-2.67E-03,2.29E-01
144,-5.65E-05,6.18E-03,2.16E-03,1.15E-01
145,-1.93E-04,5.18E-03,1.25E-03,9.23E-02
146,-7.81E-04,1.05E-04,1.11E-03,1.67E-01
147,1.05E-04,6.80E-03,4.08E-03,1.61E-01
148,-1.13E-03,4.88E-04,-6.43E-04,6.15E-02
149,-5.76E-04,2.07E-04,-6.57E-03,2.87E-01
150,1.09E-04,-3.34E-03,1.53E-03,1.24E-01
151,-7.77E-04,-2.04E-03,-8.31E-05,8.60E-02
152,1.73E-04,-1.59E-03,8.18E-04,1.77E-01
153,-4.28E-04,5.64E-03,1.30E-02,1.04E-01
154,1.26E-03,2.87E-04,-5.67E-04,7.85E-02
155,-9.11E-04,-6.06E-03,9.64E-03,1.23E-01
156,-9.41E-04,5.04E-03,9.68E-03,1.14E-01
157,-1.93E-04,-4.60E-03,1.14E-02,1.24E-01
158,-5.71E-04,5.63E-03,1.25E-02,1.22E-01
