Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,8.63E-04,-7.28E-12,-1.46E-02,3.03E-01, null
1,1.04E-03,-5.46E-12,-1.47E-02,2.88E-01, null
2,9.99E-04,-5.46E-12,-1.47E-02,2.90E-01, null
3,7.77E-04,0.00E+00,-1.47E-02,3.07E-01, null
4,1.09E-03,0.00E+00,-1.47E-02,2.32E-01, null
5,1.21E-03,0.00E+00,-1.45E-02,1.05E-01, null
6,1.29E-03,7.28E-12,-1.46E-02,0.00E+00,1.14E+01
7,7.24E-04,2.27E-12,-1.28E-02,3.64E-01, null
8,6.94E-04,-7.28E-12,-1.31E-02,3.60E-01, null
9,6.98E-04,1.82E-12,-1.28E-02,3.65E-01, null
10,4.63E-04,3.64E-12,-1.31E-02,3.68E-01, null
11,1.30E-03,0.00E+00,-1.38E-02,0.00E+00,6.74E+00
12,1.30E-03,0.00E+00,-1.38E-02,0.00E+00,6.80E+00
13,1.25E-03,-2.73E-12,-1.38E-02,5.32E-02, null
14,1.29E-03,0.00E+00,-1.29E-02,0.00E+00,5.70E+00
15,1.30E-03,0.00E+00,-1.32E-02,0.00E+00,6.25E+00
16,1.08E-03,0.00E+00,-1.30E-02,1.91E-01, null
17,1.07E-03,-7.28E-12,-1.43E-02,2.61E-01, null
18,1.05E-03,0.00E+00,-1.45E-02,2.77E-01, null
19,1.27E-03,0.00E+00,-1.44E-02,3.31E-02, null
20,1.25E-03,0.00E+00,-1.43E-02,5.24E-02, null
21,9.27E-04,0.00E+00,-1.44E-02,2.85E-01, null
22,1.05E-03,1.82E-12,-1.31E-02,2.25E-01, null
23,1.05E-03,0.00E+00,-1.30E-02,2.21E-01, null
24,1.07E-03,1.82E-12,-1.30E-02,2.03E-01, null
25,1.30E-03,0.00E+00,-1.44E-02,0.00E+00,1.08E+01
26,1.29E-03,7.28E-12,-1.35E-02,0.00E+00,6.49E+00
27,1.30E-03,-6.82E-13,-1.32E-02,0.00E+00,6.26E+00
28,1.15E-03,0.00E+00,-1.34E-02,1.44E-01, null
29,1.30E-03,-7.96E-13,-1.32E-02,2.83E-03, null
30,5.47E-04,-7.28E-12,-1.46E-02,3.06E-01, null
31,7.32E-04,-7.28E-12,-1.46E-02,3.11E-01, null
32,5.95E-04,0.00E+00,-1.48E-02,3.02E-01, null
33,1.30E-03,1.82E-12,-1.43E-02,0.00E+00,1.05E+01
34,1.03E-03,1.82E-12,-1.30E-02,2.33E-01, null
35,1.30E-03,1.82E-12,-1.43E-02,0.00E+00,1.01E+01
36,1.05E-03,-3.64E-12,-1.36E-02,2.55E-01, null
37,1.12E-03,3.64E-12,-1.36E-02,1.80E-01, null
38,1.01E-03,0.00E+00,-1.38E-02,2.70E-01, null
39,1.04E-03,0.00E+00,-1.37E-02,2.59E-01, null
40,6.57E-04,-3.64E-12,-1.49E-02,3.00E-01, null
41,9.57E-04,0.00E+00,-1.40E-02,2.84E-01, null
42,8.44E-04,-7.28E-12,-1.39E-02,3.21E-01, null
43,1.30E-03,0.00E+00,-1.32E-02,0.00E+00,6.26E+00
44,1.30E-03,0.00E+00,-1.38E-02,0.00E+00,6.93E+00
45,1.10E-03,0.00E+00,-1.40E-02,1.53E-01, null
46,1.29E-03,0.00E+00,-1.38E-02,1.44E-02, null
47,1.05E-03,-5.46E-12,-1.47E-02,2.91E-01, null
48,9.99E-04,-3.64E-12,-1.41E-02,2.77E-01, null
49,1.25E-03,-1.82E-12,-1.49E-02,5.75E-02, null
50,1.30E-03,-1.82E-12,-1.48E-02,0.00E+00,1.18E+01
51,6.54E-04,0.00E+00,-1.33E-02,3.57E-01, null
52,7.35E-04,7.28E-12,-1.32E-02,3.58E-01, null
53,7.74E-04,-7.28E-12,-1.35E-02,3.10E-01, null
54,6.86E-04,0.00E+00,-1.37E-02,3.50E-01, null
55,4.20E-04,-6.20E-12,-1.43E-02,3.16E-01, null
56,1.01E-03,7.28E-12,-1.49E-02,3.00E-01, null
57,8.33E-04,0.00E+00,-1.49E-02,3.00E-01, null
58,5.18E-04,-3.64E-12,-1.49E-02,3.00E-01, null
59,1.30E-03,-1.82E-12,-1.49E-02,0.00E+00,1.20E+01
60,8.72E-04,0.00E+00,-1.41E-02,3.10E-01, null
61,7.54E-04,0.00E+00,-1.40E-02,3.11E-01, null
62,8.46E-04,-7.28E-12,-1.37E-02,3.19E-01, null
63,7.19E-04,7.28E-12,-1.38E-02,3.43E-01, null
64,7.84E-04,0.00E+00,-1.45E-02,3.17E-01, null
65,1.03E-03,7.28E-12,-1.34E-02,2.51E-01, null
66,8.79E-04,0.00E+00,-1.33E-02,3.04E-01, null
67,4.21E-04,-6.25E-12,-1.43E-02,3.16E-01, null
68,4.20E-04,-6.25E-12,-1.43E-02,3.16E-01, null
69,1.29E-03,0.00E+00,-1.41E-02,0.00E+00,8.18E+00
70,1.16E-03,0.00E+00,-1.42E-02,1.58E-01, null
71,2.83E-04,7.28E-12,-1.31E-02,3.73E-01, null
72,3.55E-04,0.00E+00,-1.30E-02,3.72E-01, null
73,9.31E-04,0.00E+00,-1.36E-02,2.83E-01, null
74,5.83E-04,0.00E+00,-1.35E-02,3.55E-01, null
75,1.03E-03,-1.27E-11,-1.30E-02,2.29E-01, null
76,5.34E-04,1.46E-11,-1.40E-02,3.32E-01, null
77,1.83E-04,0.00E+00,-1.34E-02,3.55E-01, null
78,6.76E-05,1.46E-11,-1.34E-02,3.55E-01, null
79,1.32E-04,0.00E+00,-1.35E-02,3.47E-01, null
80,4.41E-04,0.00E+00,-1.38E-02,3.37E-01, null
81,4.76E-04,7.28E-12,-1.36E-02,3.52E-01, null
82,2.49E-04,0.00E+00,-1.38E-02,3.35E-01, null
83,3.23E-04,0.00E+00,-1.39E-02,3.31E-01, null
84,1.42E-04,-3.64E-12,-1.33E-02,3.61E-01, null
85,1.08E-03,0.00E+00,-1.17E-02,1.43E-01, null
86,1.10E-03,-9.09E-12,-1.16E-02,1.29E-01, null
