Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,-1.49E-05,3.72E-05,-1.14E-02,4.20E-01
1,-7.68E-06,1.78E-05,3.33E-05,4.25E-01
2,-1.73E-03,5.67E-03,1.24E-02,1.23E-01
3,4.69E-03,8.84E-04,2.47E-03,1.52E-02
4,1.79E-03,4.17E-04,-3.46E-03,3.17E-02
5,5.42E-04,-8.79E-04,-1.46E-02,2.84E-01
6,7.41E-05,-1.07E-03,-5.57E-03,1.85E-01
7,-9.35E-04,-4.71E-04,-9.53E-03,1.73E-01
8,8.32E-04,6.44E-04,-1.30E-02,2.41E-01
9,1.33E-03,-6.81E-04,-3.75E-03,3.17E-02
10,4.73E-03,-6.92E-04,5.07E-04,5.11E-02
11,6.05E-04,1.63E-03,-3.54E-03,4.59E-02
12,-3.42E-03,4.72E-03,1.28E-02,1.26E-01
13,3.54E-04,1.04E-03,-1.39E-02,2.39E-01
14,-1.69E-03,-3.45E-03,-7.71E-04,8.72E-02
15,7.52E-04,8.09E-04,-5.09E-03,1.40E-01
16,-1.83E-03,-4.96E-03,8.42E-03,6.56E-02
17,3.57E-03,1.00E-03,-1.24E-03,5.44E-02
18,6.47E-04,9.43E-04,-4.14E-03,1.32E-01
19,-3.55E-03,-1.88E-03,-8.78E-05,1.13E-01
20,-2.72E-03,-3.67E-03,8.26E-05,9.62E-02
21,-2.87E-03,6.88E-03,2.20E-03,7.95E-02
22,-2.47E-03,-5.57E-03,4.10E-03,1.01E-01
23,3.01E-03,1.91E-03,2.56E-03,5.46E-02
24,-2.01E-03,6.40E-03,1.67E-03,7.07E-02
25,-1.90E-03,-7.08E-03,2.60E-03,6.53E-02
26,-1.17E-03,-3.84E-03,5.39E-05,8.63E-02
27,-3.25E-03,4.99E-03,9.04E-03,8.72E-02
28,-8.43E-04,-5.23E-04,-4.75E-03,2.42E-01
29,3.12E-04,-9.84E-04,-1.33E-02,2.44E-01
30,-1.43E-03,-4.32E-03,1.64E-03,6.37E-02
31,-2.04E-03,-5.79E-03,1.19E-03,7.78E-02
32,3.68E-03,-1.81E-04,-1.31E-03,7.12E-02
33,-6.93E-04,7.78E-04,-8.31E-03,2.12E-01
34,-2.96E-03,-5.55E-03,5.56E-03,6.09E-02
35,-3.14E-03,7.21E-03,5.08E-03,1.66E-01
36,-9.98E-04,3.73E-04,-1.39E-02,2.72E-01
37,-7.13E-04,3.05E-03,2.34E-03,1.86E-01
38,4.52E-03,2.13E-04,-2.94E-05,7.83E-02
39,-1.62E-03,5.79E-03,3.36E-03,9.39E-02
40,-2.93E-03,-6.44E-03,9.65E-03,1.60E-01
41,-1.59E-03,-6.47E-04,-3.56E-03,3.16E-02
42,-2.33E-04,1.03E-03,-1.45E-02,2.86E-01
43,-3.78E-03,-1.17E-03,3.45E-04,1.42E-01
44,-3.20E-03,-6.51E-03,1.99E-03,6.07E-02
45,3.25E-03,-1.70E-03,2.59E-03,5.01E-02
46,-1.97E-03,-7.22E-03,5.56E-03,1.58E-01
47,-8.85E-04,-1.51E-03,-3.53E-03,2.54E-02
48,3.94E-03,1.80E-03,1.84E-03,3.67E-02
