Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,2.60E-03,-9.56E-04,3.53E-03,2.40E+00
1,2.37E-03,-8.95E-04,3.59E-03,3.92E+00
2,2.46E-03,-1.09E-03,3.50E-03,3.25E+00
3,4.47E-03,1.11E-03,2.80E-03,3.72E-01
4,4.27E-03,1.14E-03,2.92E-03,3.39E-01
5,4.42E-03,9.60E-04,2.96E-03,2.93E-01
6,3.45E-03,-4.12E-05,3.58E-03,5.87E-01
7,3.50E-03,-2.60E-04,3.55E-03,5.72E-01
8,3.66E-03,-1.36E-04,3.52E-03,4.25E-01
9,2.32E-03,4.75E-04,3.71E-03,4.31E+00
10,2.28E-03,2.33E-04,3.74E-03,4.59E+00
11,2.49E-03,3.60E-04,3.71E-03,3.13E+00
12,2.96E-03,-1.42E-03,3.22E-03,1.33E+00
13,2.90E-03,-1.25E-03,3.33E-03,1.42E+00
14,2.74E-03,-1.41E-03,3.28E-03,1.97E+00
15,3.76E-03,1.03E-03,3.24E-03,3.74E-01
16,3.97E-03,9.72E-04,3.19E-03,2.84E-01
17,3.85E-03,1.18E-03,3.11E-03,4.42E-01
18,2.79E-03,-1.60E-03,3.13E-03,1.76E+00
19,3.04E-03,8.94E-04,3.50E-03,1.26E+00
20,2.90E-03,1.07E-03,3.45E-03,1.64E+00
21,2.85E-03,8.93E-04,3.53E-03,1.56E+00
22,3.03E-03,-1.58E-03,3.08E-03,1.21E+00
23,3.65E-03,5.72E-04,3.46E-03,3.65E-01
24,3.83E-03,6.37E-04,3.38E-03,2.49E-01
25,3.63E-03,7.26E-04,3.42E-03,3.72E-01
26,2.59E-03,1.16E-03,3.46E-03,2.27E+00
27,2.49E-03,1.36E-03,3.37E-03,3.12E+00
28,2.43E-03,1.17E-03,3.49E-03,3.21E+00
29,2.91E-03,-1.74E-03,2.97E-03,1.48E+00
30,2.67E-03,-1.18E-03,3.42E-03,2.18E+00
31,3.12E-03,-1.72E-03,2.91E-03,1.19E+00
32,3.13E-03,1.30E-03,3.27E-03,1.18E+00
33,2.96E-03,1.46E-03,3.21E-03,1.47E+00
34,2.93E-03,1.27E-03,3.34E-03,1.55E+00
