Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,2.53E-03,-1.32E-04,1.09E-03,5.15E-02
1,2.57E-03,3.31E-05,1.10E-03,4.79E-02
2,2.45E-03,-2.48E-05,1.24E-03,6.34E-02
3,1.75E-03,-7.19E-04,8.02E-04,8.80E-01
4,1.89E-03,-6.47E-04,8.56E-04,4.31E-01
5,1.67E-03,-6.94E-04,9.76E-04,9.59E-01
6,1.82E-03,-5.89E-04,1.08E-03,3.84E-01
7,1.59E-03,-6.19E-04,1.14E-03,1.26E+00
8,1.71E-03,-5.18E-04,1.22E-03,6.47E-01
9,1.53E-03,-5.02E-04,1.28E-03,1.59E+00
10,1.72E-03,-3.81E-04,1.33E-03,5.17E-01
11,1.48E-03,-3.49E-04,1.38E-03,1.88E+00
12,1.66E-03,-2.15E-04,1.42E-03,6.71E-01
13,1.45E-03,-1.71E-04,1.45E-03,2.14E+00
14,1.64E-03,-4.74E-05,1.46E-03,7.44E-01
15,1.44E-03,1.95E-05,1.47E-03,2.27E+00
16,1.64E-03,1.20E-04,1.45E-03,7.26E-01
17,1.45E-03,2.10E-04,1.45E-03,2.15E+00
18,1.66E-03,2.82E-04,1.41E-03,7.08E-01
19,1.48E-03,3.88E-04,1.38E-03,1.92E+00
20,1.70E-03,4.25E-04,1.33E-03,6.18E-01
21,1.53E-03,5.40E-04,1.27E-03,1.59E+00
22,1.75E-03,5.43E-04,1.22E-03,4.70E-01
23,1.59E-03,6.57E-04,1.13E-03,1.24E+00
24,1.82E-03,6.28E-04,1.08E-03,3.66E-01
25,1.67E-03,7.30E-04,9.71E-04,9.73E-01
26,1.89E-03,6.69E-04,9.35E-04,3.40E-01
27,1.82E-03,-6.95E-04,6.29E-04,7.83E-01
28,1.74E-03,7.54E-04,7.98E-04,8.18E-01
29,1.96E-03,6.66E-04,7.84E-04,3.52E-01
30,1.94E-03,-5.77E-04,1.02E-03,1.95E-01
31,2.39E-03,-1.91E-04,1.21E-03,6.96E-02
32,1.82E-03,7.29E-04,6.25E-04,7.55E-01
33,2.43E-03,1.83E-04,1.23E-03,6.48E-02
34,2.03E-03,6.19E-04,6.35E-04,3.83E-01
35,1.90E-03,6.54E-04,4.64E-04,8.21E-01
36,2.09E-03,5.31E-04,4.98E-04,4.52E-01
37,1.96E-03,5.37E-04,3.25E-04,8.52E-01
38,2.14E-03,4.04E-04,3.88E-04,4.72E-01
