Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,4.81E-04,0.00E+00,-1.41E-02,2.90E-01, null
1,4.73E-04,-1.82E-12,-1.41E-02,2.93E-01, null
2,4.00E-04,1.82E-12,-1.41E-02,3.03E-01, null
3,1.49E-04,0.00E+00,-1.34E-02,3.91E-01, null
4,1.73E-04,-9.09E-13,-1.38E-02,3.70E-01, null
5,-1.04E-04,-1.82E-12,-1.35E-02,3.84E-01, null
6,6.80E-05,0.00E+00,-1.38E-02,3.73E-01, null
7,4.34E-04,0.00E+00,-1.32E-02,3.31E-01, null
8,1.35E-04,0.00E+00,-1.32E-02,3.98E-01, null
9,4.72E-04,0.00E+00,-1.32E-02,3.20E-01, null
10,2.10E-04,-7.28E-12,-1.30E-02,3.72E-01, null
11,5.03E-04,-3.64E-12,-1.41E-02,2.71E-01, null
12,4.92E-04,0.00E+00,-1.32E-02,3.12E-01, null
13,5.02E-04,5.46E-12,-1.36E-02,3.01E-01, null
14,4.43E-04,0.00E+00,-1.36E-02,3.21E-01, null
15,5.17E-04,1.82E-12,-1.43E-02,2.87E-01, null
16,5.44E-04,0.00E+00,-1.45E-02,2.81E-01, null
17,3.17E-04,-1.82E-12,-1.45E-02,3.06E-01, null
18,4.54E-04,0.00E+00,-1.49E-02,3.00E-01, null
19,6.66E-04,0.00E+00,-1.49E-02,1.30E-01, null
20,5.43E-04,0.00E+00,-1.46E-02,2.85E-01, null
21,2.83E-04,9.09E-13,-1.38E-02,3.48E-01, null
22,-2.22E-04,1.36E-11,-1.49E-02,3.00E-01, null
23,-2.09E-04,0.00E+00,-1.49E-02,3.00E-01, null
24,-2.16E-04,0.00E+00,-1.49E-02,3.01E-01, null
25,8.56E-05,7.28E-12,-1.49E-02,3.00E-01, null
26,2.26E-04,0.00E+00,-1.49E-02,3.00E-01, null
27,2.26E-04,0.00E+00,-1.45E-02,3.16E-01, null
28,1.94E-04,0.00E+00,-1.45E-02,3.16E-01, null
29,1.78E-04,0.00E+00,-1.39E-02,3.65E-01, null
30,4.88E-04,3.64E-12,-1.36E-02,3.06E-01, null
31,5.14E-04,-3.64E-12,-1.41E-02,2.63E-01, null
32,5.16E-04,0.00E+00,-1.36E-02,2.84E-01, null
33,2.20E-04,0.00E+00,-1.45E-02,3.17E-01, null
34,1.82E-04,0.00E+00,-1.45E-02,3.17E-01, null
35,2.17E-04,5.46E-12,-1.45E-02,3.16E-01, null
36,-2.00E-04,3.64E-12,-1.29E-02,4.15E-01, null
37,-1.30E-04,0.00E+00,-1.29E-02,4.15E-01, null
38,-1.15E-04,-7.28E-12,-1.31E-02,4.04E-01, null
39,9.17E-05,-7.28E-12,-1.30E-02,4.07E-01, null
40,6.00E-04,0.00E+00,-1.42E-02,1.88E-01, null
41,4.92E-04,0.00E+00,-1.36E-02,3.05E-01, null
42,3.07E-05,0.00E+00,-1.48E-02,3.05E-01, null
43,-9.79E-05,0.00E+00,-1.46E-02,3.16E-01, null
44,1.88E-04,0.00E+00,-1.44E-02,3.21E-01, null
45,1.73E-04,4.55E-12,-1.39E-02,3.66E-01, null
46,1.90E-04,4.55E-12,-1.39E-02,3.63E-01, null
47,2.67E-04,9.09E-13,-1.40E-02,3.45E-01, null
48,1.66E-04,0.00E+00,-1.39E-02,3.66E-01, null
49,1.94E-04,7.28E-12,-1.29E-02,3.84E-01, null
50,4.01E-04,0.00E+00,-1.29E-02,3.34E-01, null
51,1.20E-04,-1.82E-12,-1.39E-02,3.66E-01, null
52,5.30E-04,5.46E-12,-1.36E-02,2.72E-01, null
53,-1.75E-04,-2.18E-11,-1.39E-02,3.50E-01, null
54,-1.40E-04,0.00E+00,-1.36E-02,3.78E-01, null
55,1.09E-04,-1.82E-12,-1.45E-02,3.22E-01, null
56,4.11E-05,0.00E+00,-1.42E-02,3.43E-01, null
57,5.05E-04,1.82E-12,-1.32E-02,2.95E-01, null
58,-1.09E-04,0.00E+00,-1.40E-02,3.53E-01, null
59,-2.39E-04,7.28E-12,-1.39E-02,3.47E-01, null
60,-1.66E-04,0.00E+00,-1.36E-02,3.76E-01, null
61,4.86E-04,1.82E-12,-1.30E-02,3.17E-01, null
62,-2.04E-04,0.00E+00,-1.32E-02,3.96E-01, null
63,-4.61E-05,0.00E+00,-1.33E-02,3.97E-01, null
64,-1.63E-04,1.09E-11,-1.36E-02,3.75E-01, null
65,-1.33E-04,0.00E+00,-1.36E-02,3.78E-01, null
66,-2.05E-04,0.00E+00,-1.44E-02,3.31E-01, null
67,-2.24E-04,3.64E-12,-1.41E-02,3.46E-01, null
68,-1.56E-04,0.00E+00,-1.35E-02,3.83E-01, null
69,-1.84E-04,0.00E+00,-1.28E-02,4.18E-01, null
70,-1.75E-04,0.00E+00,-1.43E-02,3.37E-01, null
71,-2.65E-04,0.00E+00,-1.43E-02,3.37E-01, null
72,4.93E-04,-1.09E-11,-1.28E-02,3.01E-01, null
73,-5.10E-04,3.64E-12,-1.40E-02,3.05E-01, null
74,-5.01E-04,0.00E+00,-1.39E-02,3.08E-01, null
75,-3.86E-04,3.64E-12,-1.40E-02,3.33E-01, null
76,-5.32E-04,0.00E+00,-1.44E-02,2.86E-01, null
77,-5.16E-04,0.00E+00,-1.46E-02,3.00E-01, null
78,-3.24E-04,0.00E+00,-1.44E-02,3.23E-01, null
79,-7.35E-04,-1.82E-12,-1.48E-02,7.42E-02, null
80,-5.13E-04,-7.28E-12,-1.47E-02,3.03E-01, null
81,-7.36E-04,0.00E+00,-1.46E-02,7.22E-02, null
82,-4.54E-04,3.64E-12,-1.41E-02,3.23E-01, null
83,-7.99E-04,-9.09E-12,-1.40E-02,0.00E+00,8.52E+00
84,-8.00E-04,0.00E+00,-1.40E-02,0.00E+00,8.69E+00
85,-7.05E-04,0.00E+00,-1.40E-02,1.04E-01, null
86,-2.39E-04,0.00E+00,-1.49E-02,3.00E-01, null
87,-2.50E-04,0.00E+00,-1.48E-02,3.00E-01, null
88,-7.33E-04,0.00E+00,-1.31E-02,7.14E-02, null
89,-5.21E-04,3.64E-12,-1.33E-02,2.77E-01, null
90,-7.31E-04,-1.82E-12,-1.34E-02,7.37E-02, null
91,-3.72E-04,3.64E-12,-1.30E-02,3.50E-01, null
92,-4.99E-04,0.00E+00,-1.32E-02,2.96E-01, null
93,-3.98E-04,3.64E-12,-1.32E-02,3.30E-01, null
94,-8.00E-04,0.00E+00,-1.43E-02,0.00E+00,1.02E+01
95,-7.62E-04,3.64E-12,-1.40E-02,4.66E-02, null
96,-7.61E-04,0.00E+00,-1.43E-02,4.81E-02, null
97,-3.63E-04,0.00E+00,-1.38E-02,3.19E-01, null
98,-4.80E-04,-7.28E-12,-1.47E-02,3.04E-01, null
99,-8.01E-04,0.00E+00,-1.34E-02,0.00E+00,7.31E+00
100,-8.01E-04,-3.64E-12,-1.31E-02,0.00E+00,6.79E+00
101,-3.83E-04,-7.28E-12,-1.46E-02,3.09E-01, null
102,-8.00E-04,0.00E+00,-1.49E-02,0.00E+00,1.11E+01
103,-8.00E-04,-3.64E-12,-1.46E-02,0.00E+00,1.10E+01
104,-7.99E-04,1.09E-11,-1.34E-02,0.00E+00,7.33E+00
105,-7.99E-04,0.00E+00,-1.34E-02,0.00E+00,7.36E+00
106,-5.23E-04,7.28E-12,-1.37E-02,2.76E-01, null
107,-2.40E-04,3.64E-12,-1.36E-02,3.57E-01, null
108,-5.44E-04,0.00E+00,-1.42E-02,2.72E-01, null
109,-8.01E-04,-1.82E-12,-1.43E-02,0.00E+00,1.04E+01
