Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,2.24E-03,8.86E-06,9.29E-04,5.08E-02
1,-8.38E-04,-3.10E-03,-2.73E-05,5.75E-02
2,-2.34E-03,1.63E-03,1.38E-03,1.09E-01
3,-1.17E-04,5.18E-04,-1.32E-02,2.94E-01
4,2.71E-03,-1.59E-03,-2.12E-04,1.98E-02
5,-7.81E-04,-9.93E-05,-3.19E-03,5.92E-02
6,3.61E-04,-3.08E-04,-9.47E-03,3.13E-01
7,5.42E-05,-5.23E-04,-1.09E-02,2.73E-01
8,-1.92E-03,-3.91E-03,1.00E-03,1.49E-01
9,-1.91E-03,-6.24E-03,3.30E-03,1.82E-01
10,-6.93E-04,-1.19E-03,-2.84E-03,1.07E-02
11,-1.14E-03,6.21E-03,8.37E-03,1.43E-01
12,-1.93E-03,-6.63E-03,5.70E-03,1.60E-01
13,-1.98E-03,3.71E-03,1.23E-03,1.76E-01
14,-1.52E-03,-6.05E-03,4.96E-03,1.15E-01
15,-1.55E-03,-5.73E-03,1.14E-02,1.61E-01
16,-2.03E-03,-5.74E-03,9.64E-03,1.32E-01
17,-9.51E-04,6.37E-03,5.32E-03,1.16E-01
18,-2.03E-03,2.91E-03,9.10E-04,1.20E-01
19,-1.17E-03,5.10E-03,1.01E-02,1.59E-01
20,-1.38E-03,5.77E-03,6.13E-03,9.79E-02
21,-7.72E-04,2.63E-03,1.80E-03,1.10E-01
22,-1.07E-03,-4.91E-03,1.22E-02,1.71E-01
23,-2.05E-03,-5.16E-03,1.18E-02,1.19E-01
24,-2.57E-04,1.35E-03,-2.86E-03,8.64E-03
25,5.41E-04,1.12E-05,-3.99E-03,2.90E-01
26,2.87E-03,1.54E-03,2.43E-04,1.53E-02
27,-1.88E-03,-5.33E-03,2.34E-03,1.93E-01
28,-8.24E-05,2.73E-03,1.59E-03,1.07E-01
29,-1.10E-03,4.64E-03,1.25E-02,1.38E-01
30,-1.92E-03,-2.23E-03,1.43E-03,9.29E-02
31,8.50E-05,-4.70E-04,-1.32E-02,3.10E-01
32,-9.30E-04,3.10E-03,-1.85E-04,5.09E-02
33,-2.03E-03,6.22E-03,6.55E-03,1.45E-01
34,-1.17E-03,2.89E-03,-5.32E-04,4.22E-02
35,-1.88E-03,6.95E-03,4.12E-03,1.69E-01
36,-3.64E-04,3.42E-04,-5.48E-03,3.34E-01
37,-1.75E-03,5.82E-03,1.04E-02,1.60E-01
38,-5.80E-04,1.87E-04,-3.94E-03,1.95E-01
39,-2.05E-03,-2.43E-03,-2.05E-04,2.78E-02
40,4.04E-03,-2.24E-04,1.25E-03,1.04E-03
41,3.03E-03,9.51E-04,-4.62E-04,1.94E-02
42,-1.84E-03,6.25E-03,2.15E-03,9.69E-02
43,-2.65E-04,-2.58E-03,1.79E-03,1.13E-01
44,2.61E-03,-1.75E-03,-3.03E-05,2.06E-02
45,-1.66E-03,6.82E-03,2.83E-03,1.15E-01
46,-1.56E-03,-3.35E-03,5.04E-04,1.20E-01
47,-9.89E-04,-4.90E-03,1.61E-03,1.14E-01
48,-1.83E-03,-6.17E-03,4.19E-03,1.21E-01
49,-1.16E-03,5.03E-03,1.30E-03,8.56E-02
50,2.89E-03,-1.47E-03,6.47E-05,1.80E-02
51,-2.51E-03,-1.94E-03,3.85E-04,5.13E-02
52,-3.23E-04,3.65E-04,-8.89E-03,3.15E-01
53,-1.09E-03,-3.76E-03,1.70E-03,1.30E-01
54,-1.45E-03,-4.99E-03,9.99E-03,1.64E-01
55,2.42E-03,-1.94E-03,5.93E-04,3.35E-02
56,3.63E-03,6.87E-04,1.83E-03,1.99E-03
57,1.34E-03,-5.09E-05,-2.83E-03,2.22E-02
58,-1.74E-03,-2.58E-03,-5.38E-04,3.33E-02
59,4.00E-04,-3.19E-04,-4.82E-03,2.83E-01
60,-9.80E-04,6.56E-03,3.87E-03,1.47E-01
61,6.22E-04,-7.65E-04,-3.12E-03,1.48E-02
62,-1.08E-03,7.33E-04,-2.92E-03,1.74E-02
63,-9.83E-04,-6.21E-03,7.56E-03,1.30E-01
64,-1.97E-03,5.86E-03,7.06E-03,1.24E-01
65,-2.29E-03,2.30E-03,3.89E-04,5.16E-02
66,-6.10E-04,-3.18E-03,3.30E-04,5.31E-02
67,-1.61E-03,6.04E-03,4.66E-03,9.45E-02
68,-1.37E-03,-3.34E-03,1.73E-03,1.31E-01
69,-1.51E-03,-6.74E-03,2.72E-03,1.33E-01
70,-9.66E-04,-3.61E-03,8.69E-04,8.83E-02
71,-2.80E-04,-4.53E-04,-7.75E-03,2.79E-01
72,-5.45E-04,-1.32E-04,-1.43E-02,2.81E-01
73,1.77E-03,8.36E-04,2.59E-03,1.60E-01
74,8.40E-05,-5.45E-04,-1.45E-02,2.62E-01
75,-1.85E-03,5.32E-03,2.42E-03,1.93E-01
76,1.04E-05,-3.02E-03,9.11E-04,6.25E-02
77,-1.54E-03,-6.35E-03,8.51E-03,1.52E-01
78,1.11E-03,-8.79E-04,-2.79E-03,2.16E-02
79,-1.38E-03,-5.27E-03,8.89E-03,1.77E-01
80,-5.57E-04,7.41E-06,-1.03E-02,2.65E-01
81,-2.71E-04,3.11E-03,9.04E-04,5.71E-02
82,1.51E-03,1.24E-03,2.47E-03,1.66E-01
83,-1.77E-03,4.92E-03,1.08E-02,1.77E-01
84,-1.36E-03,6.75E-03,6.33E-03,1.99E-01
85,-1.47E-03,5.69E-03,3.05E-03,1.49E-01
86,-1.64E-03,2.75E-03,1.55E-03,1.35E-01
87,-9.95E-04,-5.11E-03,1.12E-02,1.53E-01
88,-1.35E-03,-5.46E-03,7.77E-03,1.46E-01
89,-4.20E-04,3.67E-04,-1.22E-02,2.63E-01
90,-5.20E-05,-4.54E-04,-5.80E-03,3.31E-01
91,-3.30E-04,-5.19E-04,-3.47E-03,1.80E-01
92,7.57E-04,1.18E-03,-2.85E-03,1.95E-02
93,-3.38E-04,3.50E-04,-6.62E-03,3.10E-01
94,3.39E-04,-4.01E-04,-1.46E-02,2.85E-01
95,-9.62E-04,-4.07E-03,1.22E-03,1.03E-01
96,1.51E-04,-4.51E-04,-1.25E-02,3.24E-01
97,-3.92E-05,-4.38E-04,-1.39E-02,3.08E-01
98,5.90E-05,-5.88E-04,-3.87E-03,2.17E-01
99,-1.17E-03,3.98E-03,8.70E-04,1.09E-01
100,1.44E-04,5.26E-04,-7.49E-03,2.71E-01
101,5.22E-04,-8.86E-05,-6.13E-03,2.77E-01
102,-1.23E-03,1.90E-04,-2.98E-03,1.74E-02
103,3.93E-04,-2.57E-04,-7.65E-03,3.44E-01
104,-2.01E-03,-6.01E-03,2.60E-03,1.49E-01
105,-1.17E-03,6.46E-03,2.48E-03,1.24E-01
106,-9.62E-04,-6.24E-03,6.88E-03,1.33E-01
107,5.84E-05,3.11E-03,6.22E-04,3.15E-02
108,-3.89E-04,3.14E-03,-2.17E-04,3.60E-02
109,-9.77E-04,4.97E-03,1.21E-02,1.39E-01
110,2.25E-03,2.02E-03,1.09E-03,4.14E-02
111,-1.62E-03,-4.66E-03,1.16E-02,1.35E-01
112,-1.61E-03,-6.76E-03,6.29E-03,1.97E-01
113,-2.04E-03,-5.43E-03,1.03E-02,1.25E-01
114,-1.74E-03,-6.87E-03,5.17E-03,2.05E-01
115,-1.82E-03,-2.91E-03,3.87E-04,1.00E-01
116,-1.73E-03,4.63E-03,1.27E-02,1.90E-01
117,1.56E-03,-1.02E-03,2.58E-03,1.77E-01
118,-2.04E-03,6.70E-03,3.42E-03,1.26E-01
119,-1.62E-03,-7.07E-03,3.74E-03,1.48E-01
120,-1.41E-03,-5.99E-03,1.02E-02,1.21E-01
121,-1.50E-03,-6.05E-03,4.47E-03,1.03E-01
122,1.78E-03,-1.42E-03,2.25E-03,1.35E-01
123,2.63E-03,1.85E-03,1.77E-04,1.39E-02
124,-1.55E-03,-5.84E-03,1.08E-02,1.49E-01
125,-9.34E-04,5.26E-03,1.15E-02,1.28E-01
126,-1.88E-03,4.40E-03,1.88E-03,1.89E-01
127,-1.15E-03,5.35E-03,8.65E-03,1.38E-01
128,-1.95E-03,-6.02E-03,6.21E-03,1.24E-01
129,-1.52E-03,-4.49E-03,1.27E-02,1.62E-01
130,-1.35E-03,-2.01E-03,2.05E-03,1.19E-01
131,-1.70E-03,6.98E-03,4.75E-03,1.93E-01
132,-2.13E-03,-4.84E-03,1.27E-02,9.39E-02
133,-1.37E-03,5.76E-03,1.10E-02,1.56E-01
134,-1.13E-03,5.87E-03,6.66E-03,1.37E-01
135,-1.74E-03,6.00E-03,5.35E-03,1.13E-01
136,4.55E-04,-1.85E-04,-1.15E-02,2.89E-01
137,-8.61E-05,-5.03E-04,-1.20E-02,2.85E-01
138,1.31E-03,-4.61E-04,-2.81E-03,2.11E-02
139,-3.38E-04,-3.35E-04,-8.31E-03,3.42E-01
140,-1.62E-03,-5.85E-03,1.04E-02,1.79E-01
141,1.54E-04,1.40E-03,-2.85E-03,1.14E-02
142,-2.27E-03,-2.29E-03,3.30E-04,3.96E-02
143,1.90E-03,1.65E-03,1.93E-03,1.19E-01
144,2.73E-03,1.76E-03,4.84E-04,1.46E-02
145,1.28E-04,4.91E-04,-1.16E-02,3.22E-01
146,3.02E-03,-1.39E-04,-8.30E-04,2.64E-02
147,2.62E-04,-4.35E-04,-8.24E-03,2.98E-01
148,4.07E-04,2.96E-04,-1.05E-02,2.77E-01
149,-5.29E-04,-1.93E-04,-1.08E-02,2.44E-01
150,-3.01E-04,4.07E-04,-4.38E-03,3.31E-01
151,1.33E-05,5.45E-04,-6.03E-03,2.69E-01
152,1.08E-03,3.44E-04,-3.05E-03,1.93E-02
153,-1.06E-03,-2.44E-03,1.91E-03,1.03E-01
154,-2.45E-03,-2.06E-03,6.29E-05,3.46E-02
155,-1.77E-03,3.59E-03,1.75E-03,1.48E-01
156,-7.99E-05,5.42E-04,-9.62E-03,2.77E-01
157,-1.69E-03,3.32E-03,5.17E-04,1.24E-01
158,3.59E-04,4.49E-04,-4.00E-03,2.71E-01
159,-2.07E-03,2.01E-03,1.52E-03,9.26E-02
160,2.74E-03,1.54E-03,-3.11E-04,1.53E-02
161,-9.74E-04,5.23E-03,1.72E-03,9.44E-02
162,-1.38E-03,-6.37E-03,2.19E-03,1.13E-01
163,-1.34E-03,-5.42E-03,1.45E-03,1.06E-01
164,-4.31E-04,-2.93E-04,-9.73E-03,2.81E-01
165,-1.09E-03,-6.76E-03,5.30E-03,1.78E-01
166,-1.89E-03,-3.36E-03,6.58E-04,1.24E-01
167,-1.89E-03,-6.26E-03,7.86E-03,1.61E-01
168,-1.97E-03,-6.16E-03,6.85E-03,1.65E-01
169,-1.05E-03,-5.71E-03,9.92E-03,1.54E-01
170,-2.01E-03,-5.79E-03,8.61E-03,1.42E-01
171,-1.71E-03,-6.22E-03,9.02E-03,1.25E-01
172,-1.76E-03,4.72E-03,1.15E-02,1.50E-01
173,-1.84E-03,4.26E-03,1.03E-03,1.44E-01
174,-1.98E-03,5.27E-03,9.61E-03,1.28E-01
175,-1.43E-03,2.27E-03,1.82E-03,1.20E-01
176,-2.09E-03,2.46E-03,-9.41E-05,2.77E-02
177,-1.15E-03,6.57E-03,7.08E-03,1.16E-01
178,-1.96E-03,-4.87E-03,1.23E-02,1.60E-01
179,-1.99E-03,4.77E-03,1.44E-03,1.47E-01
180,-1.35E-03,7.08E-03,3.73E-03,1.32E-01
181,-1.69E-03,5.10E-03,9.26E-03,1.28E-01
182,-2.04E-03,5.92E-03,7.78E-03,1.25E-01
183,-2.00E-03,-5.16E-03,1.09E-02,1.48E-01
184,-1.48E-03,1.83E-03,2.07E-03,1.34E-01
185,-1.26E-03,6.15E-03,9.15E-03,1.28E-01
186,-2.11E-03,5.04E-03,1.29E-02,1.09E-01
187,-1.78E-03,-5.40E-03,1.27E-02,1.50E-01
188,2.51E-03,-1.90E-03,1.98E-04,2.45E-02
189,-1.68E-03,5.42E-03,1.27E-02,1.67E-01
190,-4.66E-04,2.48E-04,-5.85E-03,2.68E-01
191,-1.01E-03,-6.37E-03,3.39E-03,1.52E-01
192,-2.44E-04,-9.61E-04,-3.09E-03,1.29E-02
193,-2.13E-04,4.77E-04,-7.36E-03,2.81E-01
194,-4.35E-04,-2.29E-04,-6.35E-03,3.17E-01
195,2.33E-04,-4.71E-04,-6.27E-03,2.79E-01
196,4.97E-04,-1.57E-04,-1.04E-02,2.61E-01
197,1.88E-03,-1.68E-03,-1.86E-03,1.27E-02
198,-9.18E-04,3.25E-03,1.29E-03,1.57E-01
199,-1.91E-04,4.70E-04,-1.08E-02,3.01E-01
200,4.95E-04,-1.67E-04,-8.71E-03,2.90E-01
201,4.12E-04,3.15E-04,-1.25E-02,2.82E-01
202,-2.23E-04,5.21E-04,-1.22E-02,2.88E-01
203,-1.92E-03,-4.72E-03,1.47E-03,1.80E-01
204,-5.74E-04,-3.73E-05,-3.50E-03,2.56E-01
205,1.76E-04,-4.45E-04,-9.01E-03,3.05E-01
206,3.28E-04,3.96E-04,-9.12E-03,2.94E-01
207,-1.24E-03,-7.81E-04,-2.77E-03,1.78E-02
208,1.84E-04,-1.36E-03,-2.85E-03,1.44E-02
209,2.51E-05,5.03E-04,-8.56E-03,2.94E-01
210,-9.83E-04,1.07E-03,-2.81E-03,1.59E-02
211,-5.68E-04,-1.72E-05,-7.95E-03,2.50E-01
212,1.80E-04,4.66E-04,-1.39E-02,3.07E-01
213,-8.02E-04,-2.25E-03,2.07E-03,1.21E-01
214,-1.66E-03,-3.99E-03,1.91E-03,1.78E-01
215,3.03E-03,-9.88E-04,-3.34E-04,2.19E-02
216,-1.10E-03,3.54E-03,1.61E-03,1.41E-01
217,-2.01E-03,2.52E-03,1.17E-03,9.83E-02
218,1.32E-03,5.38E-04,-2.81E-03,2.22E-02
219,-1.91E-03,2.49E-03,-4.47E-04,2.50E-02
220,-2.09E-03,-2.29E-03,-4.95E-04,2.08E-02
221,-2.15E-03,-1.62E-03,1.63E-03,1.07E-01
222,-2.67E-04,-3.17E-03,1.46E-04,3.09E-02
223,-1.09E-03,-6.52E-03,6.53E-03,1.65E-01
224,-2.41E-03,-1.74E-03,1.14E-03,8.74E-02
225,-1.93E-03,-6.29E-03,7.44E-03,1.75E-01
226,1.87E-03,-1.73E-03,1.88E-03,1.14E-01
227,-2.13E-03,-4.97E-03,1.29E-02,9.86E-02
228,4.80E-04,2.80E-04,-1.46E-02,2.86E-01
229,-1.41E-03,-5.45E-03,1.29E-02,1.40E-01
230,-1.10E-03,5.67E-03,7.40E-03,1.10E-01
231,-9.77E-04,-4.84E-03,1.29E-02,1.42E-01
232,-1.76E-03,-5.15E-03,9.42E-03,1.52E-01
233,-9.90E-04,3.41E-03,8.04E-04,1.44E-01
234,-1.05E-03,4.04E-03,1.79E-03,1.10E-01
235,-1.05E-03,4.52E-03,1.19E-03,9.72E-02
236,-1.47E-03,2.88E-03,1.59E-03,1.52E-01
237,-7.46E-04,2.37E-03,2.04E-03,1.20E-01
238,2.95E-03,1.40E-03,-1.10E-04,1.39E-02
239,-2.05E-03,6.39E-03,3.13E-03,1.23E-01
240,-1.23E-03,6.87E-03,5.49E-03,1.89E-01
241,-1.93E-03,5.44E-03,1.74E-03,1.40E-01
242,-2.02E-03,6.02E-03,2.62E-03,1.49E-01
243,-9.71E-04,5.02E-03,1.29E-02,1.30E-01
