Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,8.54E-04,0.00E+00,-1.34E-02,3.34E-01, null
1,1.01E-03,-2.27E-13,-1.33E-02,2.62E-01, null
2,8.52E-04,-1.82E-12,-1.34E-02,3.34E-01, null
3,7.10E-04,0.00E+00,-1.38E-02,3.46E-01, null
4,7.09E-04,1.25E-11,-1.38E-02,3.46E-01, null
5,7.10E-04,-2.84E-14,-1.38E-02,3.46E-01, null
6,9.89E-04,0.00E+00,-1.43E-02,2.94E-01, null
7,9.88E-04,0.00E+00,-1.43E-02,2.95E-01, null
8,1.02E-03,0.00E+00,-1.43E-02,2.63E-01, null
9,1.28E-03,0.00E+00,-1.35E-02,0.00E+00,6.71E+00
10,1.28E-03,-5.46E-12,-1.35E-02,0.00E+00,6.72E+00
11,1.21E-03,-1.82E-12,-1.35E-02,8.05E-02, null
12,9.35E-04,0.00E+00,-1.30E-02,3.09E-01, null
13,8.01E-04,0.00E+00,-1.28E-02,3.35E-01, null
14,8.97E-04,0.00E+00,-1.30E-02,3.21E-01, null
15,7.43E-04,0.00E+00,-1.28E-02,3.54E-01, null
16,1.01E-03,1.82E-12,-1.43E-02,2.76E-01, null
17,3.54E-04,0.00E+00,-1.45E-02,3.08E-01, null
18,5.37E-04,0.00E+00,-1.42E-02,3.24E-01, null
19,2.91E-04,0.00E+00,-1.43E-02,3.18E-01, null
20,1.18E-03,4.55E-13,-1.40E-02,9.92E-02, null
21,8.36E-04,0.00E+00,-1.46E-02,3.11E-01, null
22,6.49E-04,7.28E-12,-1.46E-02,3.09E-01, null
23,7.08E-04,7.28E-12,-1.47E-02,3.06E-01, null
24,1.24E-03,-9.09E-13,-1.38E-02,4.74E-02, null
25,1.08E-03,-1.09E-11,-1.36E-02,2.08E-01, null
26,5.23E-04,3.64E-12,-1.49E-02,3.00E-01, null
27,4.84E-04,0.00E+00,-1.49E-02,3.00E-01, null
28,5.46E-04,1.82E-12,-1.48E-02,3.02E-01, null
29,1.28E-03,1.82E-12,-1.38E-02,0.00E+00,7.32E+00
30,1.28E-03,-9.09E-13,-1.39E-02,0.00E+00,7.37E+00
31,1.27E-03,0.00E+00,-1.38E-02,1.34E-02, null
32,1.28E-03,0.00E+00,-1.34E-02,0.00E+00,6.67E+00
33,1.27E-03,0.00E+00,-1.32E-02,0.00E+00,6.44E+00
34,1.07E-03,2.27E-13,-1.33E-02,2.27E-01, null
35,1.28E-03,2.73E-12,-1.45E-02,0.00E+00,1.06E+01
36,1.28E-03,0.00E+00,-1.45E-02,0.00E+00,1.05E+01
37,8.71E-04,9.09E-13,-1.33E-02,3.31E-01, null
38,1.06E-03,2.27E-13,-1.33E-02,2.35E-01, null
39,9.49E-04,3.64E-12,-1.30E-02,3.00E-01, null
40,1.06E-03,0.00E+00,-1.31E-02,2.23E-01, null
41,1.26E-03,7.28E-12,-1.29E-02,2.03E-02, null
42,1.11E-03,9.09E-13,-1.30E-02,1.54E-01, null
43,1.06E-03,2.27E-13,-1.34E-02,2.36E-01, null
44,1.06E-03,-2.27E-13,-1.33E-02,2.36E-01, null
45,1.06E-03,-2.27E-13,-1.33E-02,2.32E-01, null
46,8.95E-04,0.00E+00,-1.47E-02,3.07E-01, null
47,8.17E-04,0.00E+00,-1.49E-02,3.00E-01, null
48,1.05E-03,-1.09E-11,-1.36E-02,2.36E-01, null
49,1.04E-03,-3.64E-12,-1.37E-02,2.45E-01, null
50,4.22E-04,0.00E+00,-1.46E-02,3.06E-01, null
51,6.50E-04,0.00E+00,-1.44E-02,3.16E-01, null
52,1.28E-03,0.00E+00,-1.38E-02,0.00E+00,7.29E+00
53,7.10E-04,0.00E+00,-1.38E-02,3.45E-01, null
54,9.74E-04,0.00E+00,-1.43E-02,2.99E-01, null
55,9.56E-04,0.00E+00,-1.43E-02,2.98E-01, null
56,3.74E-04,-7.28E-12,-1.40E-02,3.28E-01, null
57,3.65E-04,0.00E+00,-1.39E-02,3.32E-01, null
58,4.97E-04,0.00E+00,-1.40E-02,3.32E-01, null
59,3.48E-04,0.00E+00,-1.46E-02,3.06E-01, null
60,1.24E-03,-4.55E-13,-1.45E-02,3.56E-02, null
61,3.31E-04,0.00E+00,-1.46E-02,3.05E-01, null
62,9.43E-04,-3.64E-12,-1.46E-02,3.04E-01, null
63,1.02E-03,0.00E+00,-1.48E-02,2.91E-01, null
64,9.24E-04,-7.28E-12,-1.49E-02,3.00E-01, null
65,1.13E-03,7.28E-12,-1.49E-02,1.67E-01, null
66,9.61E-04,0.00E+00,-1.39E-02,2.92E-01, null
67,1.26E-03,0.00E+00,-1.42E-02,0.00E+00,8.51E+00
68,1.27E-03,0.00E+00,-1.46E-02,1.67E-02, null
69,1.28E-03,-5.46E-12,-1.30E-02,0.00E+00,5.94E+00
70,1.28E-03,0.00E+00,-1.29E-02,0.00E+00,5.86E+00
71,4.10E-04,-7.28E-12,-1.35E-02,3.52E-01, null
72,1.28E-03,-4.55E-12,-1.46E-02,0.00E+00,1.07E+01
73,1.27E-03,-7.28E-12,-1.49E-02,0.00E+00,1.22E+01
74,5.99E-04,5.46E-12,-1.49E-02,3.00E-01, null
75,3.79E-04,0.00E+00,-1.31E-02,3.71E-01, null
76,5.33E-04,7.28E-12,-1.30E-02,3.70E-01, null
77,3.71E-04,0.00E+00,-1.30E-02,3.76E-01, null
78,4.54E-04,-3.64E-12,-1.35E-02,3.55E-01, null
79,3.95E-04,-3.64E-12,-1.35E-02,3.56E-01, null
80,7.10E-04,0.00E+00,-1.38E-02,3.45E-01, null
81,7.12E-04,0.00E+00,-1.38E-02,3.45E-01, null
82,7.89E-04,7.28E-12,-1.40E-02,3.19E-01, null
83,6.68E-04,7.28E-12,-1.41E-02,3.32E-01, null
84,7.13E-04,0.00E+00,-1.38E-02,3.45E-01, null
85,7.10E-04,-2.05E-12,-1.38E-02,3.46E-01, null
86,8.43E-04,-1.82E-12,-1.34E-02,3.38E-01, null
87,1.16E-03,0.00E+00,-1.32E-02,1.22E-01, null
