Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,3.01E-04,0.00E+00,-1.46E-02,3.08E-01, null
1,3.94E-04,0.00E+00,-1.48E-02,3.04E-01, null
2,2.17E-04,0.00E+00,-1.47E-02,3.03E-01, null
3,3.09E-04,0.00E+00,-1.49E-02,3.00E-01, null
4,1.36E-04,0.00E+00,-1.46E-02,3.08E-01, null
5,-5.03E-04,0.00E+00,-1.37E-02,3.60E-01, null
6,-5.52E-04,9.09E-12,-1.40E-02,3.43E-01, null
7,-3.57E-04,0.00E+00,-1.37E-02,3.55E-01, null
8,-4.34E-04,-9.09E-13,-1.39E-02,3.45E-01, null
9,-5.85E-06,1.09E-11,-1.49E-02,3.00E-01, null
10,3.47E-05,0.00E+00,-1.49E-02,3.00E-01, null
11,1.35E-05,0.00E+00,-1.48E-02,3.01E-01, null
12,1.67E-04,-3.64E-12,-1.41E-02,3.37E-01, null
13,4.03E-04,0.00E+00,-1.42E-02,3.28E-01, null
14,1.76E-04,1.09E-11,-1.40E-02,3.39E-01, null
15,7.81E-04,-8.64E-12,-1.36E-02,2.53E-01, null
16,7.74E-04,0.00E+00,-1.36E-02,2.56E-01, null
17,7.33E-04,-1.36E-12,-1.35E-02,2.72E-01, null
18,5.20E-04,4.55E-12,-1.44E-02,3.21E-01, null
19,1.69E-04,7.28E-12,-1.44E-02,3.16E-01, null
20,5.30E-04,0.00E+00,-1.43E-02,3.22E-01, null
21,-4.91E-04,0.00E+00,-1.36E-02,3.62E-01, null
22,5.00E-04,7.28E-12,-1.36E-02,3.53E-01, null
23,5.12E-04,7.28E-12,-1.38E-02,3.47E-01, null
24,2.11E-04,9.09E-13,-1.40E-02,3.40E-01, null
25,-7.71E-05,-1.09E-11,-1.43E-02,3.25E-01, null
26,-7.40E-05,0.00E+00,-1.43E-02,3.23E-01, null
27,5.37E-04,5.46E-12,-1.43E-02,3.23E-01, null
28,-1.92E-04,0.00E+00,-1.38E-02,3.50E-01, null
29,-1.97E-04,1.09E-11,-1.34E-02,3.73E-01, null
30,1.56E-04,0.00E+00,-1.35E-02,3.69E-01, null
31,2.56E-04,3.64E-12,-1.35E-02,3.65E-01, null
32,-2.03E-04,7.28E-12,-1.46E-02,3.08E-01, null
33,4.49E-04,0.00E+00,-1.32E-02,3.76E-01, null
34,4.14E-04,3.64E-12,-1.32E-02,3.73E-01, null
35,2.94E-04,0.00E+00,-1.29E-02,3.95E-01, null
36,1.66E-04,-7.28E-12,-1.31E-02,3.90E-01, null
37,-4.03E-04,0.00E+00,-1.35E-02,3.66E-01, null
38,-2.58E-04,0.00E+00,-1.35E-02,3.71E-01, null
39,-2.38E-04,-3.64E-12,-1.34E-02,3.73E-01, null
40,8.21E-04,1.82E-12,-1.46E-02,2.70E-01, null
41,7.83E-04,3.64E-12,-1.46E-02,2.74E-01, null
42,6.14E-04,-4.55E-13,-1.44E-02,3.09E-01, null
43,-2.61E-04,4.55E-12,-1.28E-02,3.99E-01, null
44,-3.30E-04,7.28E-12,-1.31E-02,3.79E-01, null
45,1.42E-05,7.28E-12,-1.31E-02,3.88E-01, null
46,-2.16E-04,4.55E-12,-1.28E-02,4.01E-01, null
47,8.26E-04,1.82E-12,-1.46E-02,2.68E-01, null
