Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
1463,1.57E-03,-1.61E-03,-9.98E-05,9.77E-01
1464,-1.70E-03,1.22E-03,-8.99E-04,1.34E+00
1465,1.92E-03,3.25E-05,-1.20E-03,4.59E-01
1466,2.00E-03,-1.33E-04,-1.05E-03,4.43E-01
1467,1.85E-03,1.01E-03,-8.60E-04,7.79E-01
1468,1.54E-03,1.67E-03,-1.33E-04,5.93E-01
1469,1.67E-03,-6.18E-04,-1.39E-03,4.83E-01
1470,1.76E-03,-2.00E-04,-1.41E-03,2.71E-01
1471,1.92E-03,-7.57E-04,-9.18E-04,6.09E-01
1472,-1.38E-03,-1.19E-03,-1.34E-03,1.28E+00
1473,-9.35E-04,1.61E-03,-1.31E-03,1.46E+00
1474,-8.30E-04,1.65E-03,-1.34E-03,1.44E+00
1475,-8.71E-04,1.56E-03,-1.41E-03,1.37E+00
1476,1.97E-03,2.26E-04,-1.11E-03,5.88E-01
1477,1.85E-03,2.95E-04,-1.28E-03,6.04E-01
1478,-1.17E-03,-1.33E-03,-1.40E-03,1.30E+00
1479,1.45E-03,1.75E-03,2.50E-05,5.51E-01
1480,1.44E-03,1.01E-03,-1.44E-03,9.50E-01
1481,9.24E-04,1.92E-03,-8.12E-04,1.15E+00
1482,6.09E-04,-1.81E-03,-1.19E-03,1.23E+00
1483,1.32E-04,-1.87E-03,-1.25E-03,1.16E+00
1484,1.50E-03,-1.69E-03,-3.23E-05,9.74E-01
1485,1.70E-03,-1.47E-03,-1.50E-04,9.70E-01
1486,-1.38E-03,-1.39E-03,-1.12E-03,1.41E+00
1487,1.29E-03,1.85E-03,-3.08E-04,8.09E-01
1488,1.82E-03,-1.12E-03,-7.26E-04,7.79E-01
1489,-1.24E-03,-1.48E-03,-1.17E-03,1.45E+00
1490,5.28E-04,-1.75E-03,-1.32E-03,1.12E+00
1491,4.81E-04,1.83E-03,-1.26E-03,8.95E-01
1492,4.93E-04,1.95E-03,-1.07E-03,1.12E+00
1493,1.01E-03,1.93E-03,-6.55E-04,1.13E+00
1494,8.00E-04,1.95E-03,-8.72E-04,1.18E+00
1495,6.63E-04,1.96E-03,-9.63E-04,1.17E+00
1496,4.62E-04,-1.89E-03,-1.13E-03,1.30E+00
1497,7.94E-04,-1.92E-03,-8.70E-04,1.36E+00
1498,-9.89E-04,1.49E-03,-1.40E-03,1.40E+00
1499,-1.04E-03,1.55E-03,-1.30E-03,1.47E+00
1500,1.05E-03,-1.90E-03,-5.95E-04,1.24E+00
1501,-7.34E-04,1.62E-03,-1.42E-03,1.31E+00
1502,1.28E-03,-1.84E-03,-2.58E-04,1.03E+00
1503,-8.57E-04,1.71E-03,-1.24E-03,1.55E+00
1504,1.63E-03,1.59E-03,-4.85E-05,5.65E-01
1505,2.00E-03,-6.02E-04,-8.79E-04,5.49E-01
1506,1.78E-03,-1.28E-03,-5.24E-04,8.53E-01
1507,-9.68E-04,1.67E-03,-1.21E-03,1.56E+00
1508,1.89E-03,-9.42E-04,-8.13E-04,7.00E-01
1509,7.31E-04,1.66E-03,-1.38E-03,8.84E-01
1510,-1.76E-03,-1.23E-03,-6.97E-04,1.20E+00
1511,-1.83E-03,-1.16E-03,-6.37E-04,1.20E+00
1512,-1.76E-03,-1.17E-03,-7.92E-04,1.22E+00
1513,-1.44E-03,1.24E-03,-1.25E-03,1.32E+00
1514,1.41E-03,-1.76E-03,5.47E-05,9.74E-01
1515,-1.45E-03,1.44E-03,-1.00E-03,1.48E+00
1516,2.03E-03,2.96E-04,-9.75E-04,6.47E-01
1517,-1.46E-03,-1.30E-03,-1.13E-03,1.34E+00
1518,1.93E-03,8.15E-04,-8.70E-04,7.61E-01
1519,1.57E-03,-1.62E-03,1.09E-04,1.06E+00
1520,1.86E-03,1.18E-03,-5.48E-04,7.03E-01
1521,2.05E-03,6.35E-05,-9.66E-04,5.46E-01
1522,-9.24E-04,-1.53E-03,-1.37E-03,1.26E+00
1523,-7.50E-04,-1.61E-03,-1.39E-03,1.15E+00
1524,-8.61E-04,-1.65E-03,-1.27E-03,1.39E+00
1525,-7.32E-04,1.72E-03,-1.30E-03,1.46E+00
1526,-1.64E-03,1.36E-03,-7.98E-04,1.42E+00
1527,4.71E-04,1.73E-03,-1.41E-03,7.50E-01
1528,1.71E-03,1.49E-03,-2.20E-04,6.10E-01
1529,1.11E-03,-1.32E-03,-1.45E-03,9.83E-01
1530,2.53E-04,-1.92E-03,-1.15E-03,1.34E+00
1531,2.00E-03,6.34E-04,-8.62E-04,7.42E-01
1532,-1.34E-03,1.37E-03,-1.23E-03,1.40E+00
