Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,8.84E-04,-7.28E-12,-1.36E-02,2.88E-01, null
1,8.86E-04,3.64E-12,-1.36E-02,2.87E-01, null
2,9.28E-04,0.00E+00,-1.36E-02,2.48E-01, null
3,8.35E-04,-7.28E-12,-1.39E-02,2.95E-01, null
4,8.73E-04,0.00E+00,-1.37E-02,2.90E-01, null
5,6.20E-04,0.00E+00,-1.39E-02,3.35E-01, null
6,1.17E-03,3.64E-12,-1.38E-02,0.00E+00,7.76E+00
7,9.93E-04,0.00E+00,-1.39E-02,1.70E-01, null
8,1.08E-03,0.00E+00,-1.38E-02,6.70E-02, null
9,1.16E-03,-7.28E-12,-1.44E-02,0.00E+00,8.75E+00
10,1.16E-03,7.28E-12,-1.43E-02,0.00E+00,8.25E+00
11,9.04E-04,3.64E-12,-1.42E-02,2.43E-01, null
12,9.43E-04,-3.64E-12,-1.41E-02,2.10E-01, null
13,7.43E-04,3.64E-12,-1.45E-02,3.07E-01, null
14,7.34E-04,-3.64E-12,-1.43E-02,3.11E-01, null
15,6.07E-04,0.00E+00,-1.44E-02,3.17E-01, null
16,8.77E-04,-3.64E-12,-1.47E-02,2.96E-01, null
17,1.03E-03,7.28E-12,-1.49E-02,1.30E-01, null
18,9.97E-04,0.00E+00,-1.46E-02,1.76E-01, null
19,1.17E-03,0.00E+00,-1.47E-02,0.00E+00,1.02E+01
20,1.17E-03,6.37E-12,-1.29E-02,0.00E+00,6.36E+00
21,1.17E-03,4.55E-13,-1.29E-02,0.00E+00,6.34E+00
22,1.15E-03,5.91E-12,-1.29E-02,1.40E-02, null
23,9.25E-04,-2.27E-13,-1.33E-02,2.59E-01, null
24,7.18E-04,3.64E-12,-1.33E-02,3.28E-01, null
25,7.84E-04,7.28E-12,-1.31E-02,3.08E-01, null
26,1.16E-03,1.09E-11,-1.38E-02,0.00E+00,7.72E+00
27,1.17E-03,0.00E+00,-1.35E-02,0.00E+00,7.65E+00
28,9.42E-04,-3.64E-12,-1.46E-02,2.28E-01, null
29,8.80E-04,0.00E+00,-1.46E-02,2.92E-01, null
30,8.37E-04,3.64E-12,-1.46E-02,2.97E-01, null
31,6.17E-04,-7.28E-12,-1.46E-02,3.11E-01, null
32,9.31E-04,-8.87E-12,-1.33E-02,2.55E-01, null
33,9.34E-04,0.00E+00,-1.33E-02,2.51E-01, null
34,9.26E-04,0.00E+00,-1.33E-02,2.59E-01, null
35,1.16E-03,0.00E+00,-1.41E-02,0.00E+00,7.83E+00
36,1.16E-03,-7.28E-12,-1.49E-02,0.00E+00,1.06E+01
37,8.57E-04,-3.64E-12,-1.41E-02,2.98E-01, null
38,7.20E-04,-3.64E-12,-1.40E-02,3.22E-01, null
39,1.17E-03,0.00E+00,-1.32E-02,0.00E+00,6.74E+00
40,1.03E-03,0.00E+00,-1.31E-02,1.20E-01, null
41,8.49E-04,0.00E+00,-1.42E-02,3.00E-01, null
42,5.83E-04,0.00E+00,-1.49E-02,3.00E-01, null
43,8.45E-04,0.00E+00,-1.49E-02,3.00E-01, null
44,1.16E-03,-3.64E-12,-1.45E-02,0.00E+00,9.68E+00
45,4.55E-04,1.36E-12,-1.31E-02,3.72E-01, null
46,4.70E-04,0.00E+00,-1.31E-02,3.69E-01, null
47,4.76E-04,-1.46E-11,-1.27E-02,3.81E-01, null
48,6.73E-04,7.28E-12,-1.30E-02,3.28E-01, null
49,8.77E-04,0.00E+00,-1.30E-02,2.68E-01, null
50,1.17E-03,0.00E+00,-1.34E-02,0.00E+00,7.51E+00
51,7.85E-04,7.28E-12,-1.30E-02,3.06E-01, null
52,5.42E-04,-7.28E-12,-1.39E-02,3.42E-01, null
53,8.45E-04,0.00E+00,-1.42E-02,2.98E-01, null
54,5.17E-04,0.00E+00,-1.48E-02,3.01E-01, null
55,7.92E-04,0.00E+00,-1.42E-02,3.07E-01, null
56,6.99E-04,-7.28E-12,-1.34E-02,3.36E-01, null
57,5.12E-04,-3.64E-12,-1.39E-02,3.46E-01, null
58,5.77E-04,0.00E+00,-1.43E-02,3.21E-01, null
59,5.48E-04,0.00E+00,-1.38E-02,3.49E-01, null
60,8.27E-04,0.00E+00,-1.36E-02,2.98E-01, null
61,6.19E-04,-3.64E-12,-1.34E-02,3.50E-01, null
62,4.52E-04,-1.27E-11,-1.31E-02,3.72E-01, null
63,5.07E-04,0.00E+00,-1.49E-02,3.00E-01, null
64,4.63E-04,1.82E-12,-1.32E-02,3.70E-01, null
65,4.55E-04,0.00E+00,-1.32E-02,3.72E-01, null
66,7.01E-04,0.00E+00,-1.25E-02,3.28E-01, null
67,5.35E-04,-7.28E-12,-1.26E-02,3.76E-01, null
68,6.14E-04,-3.64E-12,-1.23E-02,3.53E-01, null
69,4.92E-04,-3.64E-12,-1.23E-02,3.88E-01, null
70,7.04E-04,-1.82E-12,-1.20E-02,3.48E-01, null
71,6.92E-04,0.00E+00,-1.21E-02,3.54E-01, null
72,7.42E-04,-1.82E-12,-1.21E-02,3.28E-01, null
73,1.17E-03,-3.64E-12,-1.25E-02,0.00E+00,5.70E+00
74,1.16E-03,0.00E+00,-1.26E-02,0.00E+00,5.95E+00
75,9.72E-04,-1.82E-12,-1.27E-02,1.81E-01, null
76,1.17E-03,3.64E-12,-1.19E-02,0.00E+00,5.05E+00
77,1.05E-03,3.64E-12,-1.20E-02,1.11E-01, null
78,1.08E-03,-3.64E-12,-1.19E-02,9.74E-02, null
79,9.64E-04,3.64E-12,-1.19E-02,2.04E-01, null
80,1.17E-03,-9.09E-13,-1.29E-02,0.00E+00,6.32E+00
81,8.06E-04,-1.46E-11,-1.23E-02,2.94E-01, null
82,6.31E-04,-9.09E-13,-1.21E-02,3.68E-01, null
83,8.94E-04,-1.09E-11,-1.27E-02,2.48E-01, null
84,8.96E-04,0.00E+00,-1.27E-02,2.46E-01, null
85,9.25E-04,-9.09E-12,-1.27E-02,2.21E-01, null
86,9.39E-04,0.00E+00,-1.21E-02,2.13E-01, null
87,8.50E-04,3.64E-12,-1.19E-02,2.87E-01, null
88,7.15E-04,9.09E-13,-1.20E-02,3.51E-01, null
89,8.40E-04,0.00E+00,-1.27E-02,2.68E-01, null
90,8.84E-04,3.64E-12,-1.28E-02,2.57E-01, null
91,1.17E-03,-2.27E-13,-1.21E-02,0.00E+00,5.24E+00
92,1.17E-03,-2.27E-13,-1.21E-02,0.00E+00,5.23E+00
93,1.16E-03,0.00E+00,-1.21E-02,5.50E-03, null
94,1.15E-03,0.00E+00,-1.17E-02,0.00E+00,5.11E+00
95,1.17E-03,0.00E+00,-1.13E-02,0.00E+00,4.85E+00
96,9.85E-04,0.00E+00,-1.16E-02,1.72E-01, null
97,1.17E-03,0.00E+00,-1.21E-02,0.00E+00,5.24E+00
98,1.17E-03,0.00E+00,-1.13E-02,0.00E+00,4.84E+00
99,9.42E-04,-1.09E-11,-1.15E-02,2.09E-01, null
100,8.10E-04,3.64E-12,-1.18E-02,3.18E-01, null
101,8.52E-04,-1.82E-12,-1.17E-02,2.89E-01, null
102,9.49E-04,0.00E+00,-1.18E-02,2.17E-01, null
103,9.36E-04,0.00E+00,-1.16E-02,2.29E-01, null
104,8.98E-04,0.00E+00,-1.15E-02,2.50E-01, null
105,9.24E-04,-1.82E-12,-1.26E-02,2.35E-01, null
106,8.88E-04,-3.64E-12,-1.23E-02,2.53E-01, null
107,9.65E-04,3.64E-12,-1.22E-02,2.05E-01, null
108,8.01E-04,0.00E+00,-1.24E-02,2.94E-01, null
109,1.17E-03,0.00E+00,-1.18E-02,0.00E+00,5.07E+00
110,8.99E-04,0.00E+00,-1.15E-02,2.46E-01, null
111,1.17E-03,-1.82E-12,-1.13E-02,3.25E-03, null
112,1.16E-03,-7.28E-12,-1.24E-02,0.00E+00,5.35E+00
113,1.05E-03,3.64E-12,-1.23E-02,1.26E-01, null
114,6.72E-04,1.27E-11,-1.20E-02,3.62E-01, null
115,6.36E-04,-1.82E-12,-1.19E-02,3.72E-01, null
116,6.84E-04,1.09E-11,-1.20E-02,3.57E-01, null
117,7.34E-04,0.00E+00,-1.13E-02,3.23E-01, null
118,5.47E-04,0.00E+00,-1.15E-02,3.94E-01, null
119,6.12E-04,0.00E+00,-1.11E-02,3.78E-01, null
120,8.95E-04,-7.28E-12,-1.12E-02,2.40E-01, null
121,7.15E-04,0.00E+00,-1.15E-02,3.22E-01, null
122,5.22E-04,3.64E-12,-1.16E-02,3.98E-01, null
123,7.57E-04,0.00E+00,-1.18E-02,3.39E-01, null
124,8.73E-04,-3.64E-12,-1.02E-02,2.43E-01, null
125,8.86E-04,0.00E+00,-1.02E-02,2.43E-01, null
126,9.53E-04,0.00E+00,-1.02E-02,1.85E-01, null
127,9.43E-04,-3.64E-12,-1.07E-02,1.78E-01, null
128,9.32E-04,0.00E+00,-1.06E-02,1.84E-01, null
129,7.09E-04,0.00E+00,-1.07E-02,3.30E-01, null
130,6.92E-04,-7.28E-12,-1.06E-02,3.39E-01, null
131,1.16E-03,-7.28E-12,-1.01E-02,0.00E+00,4.63E+00
132,1.17E-03,0.00E+00,-9.81E-03,0.00E+00,4.60E+00
133,1.00E-03,0.00E+00,-9.98E-03,1.96E-01, null
