Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,-4.43E-04,3.64E-12,-1.33E-02,3.67E-01, null
1,-3.85E-04,1.82E-12,-1.30E-02,3.80E-01, null
2,-1.05E-04,1.36E-12,-1.31E-02,3.75E-01, null
3,1.61E-04,3.64E-12,-1.29E-02,3.86E-01, null
4,2.35E-04,0.00E+00,-1.30E-02,3.82E-01, null
5,-7.03E-05,1.36E-12,-1.31E-02,3.75E-01, null
6,-2.23E-05,0.00E+00,-1.32E-02,3.71E-01, null
7,-8.47E-05,8.64E-12,-1.31E-02,3.75E-01, null
8,-3.17E-04,-3.64E-12,-1.28E-02,3.87E-01, null
9,-3.18E-04,0.00E+00,-1.29E-02,3.85E-01, null
10,-5.20E-05,-7.28E-12,-1.27E-02,3.92E-01, null
11,-2.65E-05,1.46E-11,-1.28E-02,3.88E-01, null
12,6.39E-04,-7.28E-12,-1.35E-02,3.57E-01, null
13,5.66E-04,7.28E-12,-1.36E-02,3.53E-01, null
14,1.43E-04,0.00E+00,-1.34E-02,3.62E-01, null
15,-4.61E-05,7.28E-12,-1.10E-02,4.36E-01, null
16,-1.48E-04,-7.28E-12,-1.13E-02,4.27E-01, null
17,5.77E-05,7.28E-12,-1.13E-02,4.29E-01, null
18,-3.23E-04,0.00E+00,-1.17E-02,4.20E-01, null
19,-4.33E-04,0.00E+00,-1.16E-02,4.07E-01, null
20,-2.73E-04,7.28E-12,-1.15E-02,4.24E-01, null
21,-6.30E-05,7.28E-12,-1.14E-02,4.26E-01, null
22,-4.71E-04,-7.28E-12,-1.14E-02,4.08E-01, null
23,-3.44E-04,-1.82E-12,-1.12E-02,4.30E-01, null
24,-1.09E-04,-3.64E-12,-1.17E-02,4.19E-01, null
25,1.37E-04,0.00E+00,-1.18E-02,4.18E-01, null
26,5.49E-05,3.64E-12,-1.23E-02,4.05E-01, null
27,1.75E-04,7.28E-12,-1.25E-02,4.00E-01, null
28,-1.63E-04,0.00E+00,-1.25E-02,4.00E-01, null
29,-2.05E-04,-1.46E-11,-1.23E-02,4.07E-01, null
30,-6.13E-04,1.46E-11,-1.12E-02,3.86E-01, null
31,-6.31E-04,7.28E-12,-1.14E-02,3.81E-01, null
32,-5.70E-04,7.28E-12,-1.26E-02,3.81E-01, null
33,3.33E-04,0.00E+00,-1.16E-02,4.22E-01, null
34,3.40E-04,9.09E-12,-1.16E-02,4.20E-01, null
35,3.31E-04,1.00E-11,-1.16E-02,4.21E-01, null
36,-5.39E-04,0.00E+00,-1.25E-02,3.85E-01, null
37,3.38E-04,0.00E+00,-1.16E-02,4.20E-01, null
38,3.24E-04,-4.55E-12,-1.16E-02,4.21E-01, null
39,3.51E-04,1.00E-11,-1.16E-02,4.20E-01, null
40,5.87E-04,-1.09E-11,-1.13E-02,3.82E-01, null
41,6.52E-04,0.00E+00,-1.13E-02,3.71E-01, null
42,3.98E-04,-9.09E-13,-1.15E-02,4.12E-01, null
43,1.90E-04,7.28E-12,-1.19E-02,4.15E-01, null
44,2.65E-04,0.00E+00,-1.40E-02,3.31E-01, null
45,-9.81E-05,0.00E+00,-1.41E-02,3.25E-01, null
46,1.04E-04,0.00E+00,-1.38E-02,3.42E-01, null
47,3.04E-04,-7.28E-12,-1.38E-02,3.46E-01, null
48,2.76E-04,0.00E+00,-1.42E-02,3.22E-01, null
49,-1.23E-04,0.00E+00,-1.42E-02,3.20E-01, null
50,-2.30E-04,7.28E-12,-1.38E-02,3.43E-01, null
51,-2.10E-04,-3.64E-12,-1.41E-02,3.25E-01, null
52,6.39E-04,-5.46E-12,-1.18E-02,3.81E-01, null
53,5.85E-04,1.82E-12,-1.18E-02,3.85E-01, null
54,4.04E-04,7.28E-12,-1.20E-02,4.00E-01, null
55,6.37E-04,7.28E-12,-1.22E-02,3.77E-01, null
56,-4.13E-04,-3.64E-12,-1.22E-02,3.95E-01, null
57,-2.29E-04,7.28E-12,-1.21E-02,4.10E-01, null
58,3.24E-04,0.00E+00,-1.30E-02,3.85E-01, null
59,3.48E-04,0.00E+00,-1.31E-02,3.81E-01, null
60,1.02E-04,0.00E+00,-1.34E-02,3.63E-01, null
61,1.13E-04,-7.73E-12,-1.34E-02,3.63E-01, null
62,2.54E-04,0.00E+00,-1.12E-02,4.30E-01, null
63,5.30E-04,-7.28E-12,-1.33E-02,3.68E-01, null
64,1.11E-04,-7.73E-12,-1.34E-02,3.63E-01, null
65,-6.06E-04,-7.28E-12,-1.26E-02,3.79E-01, null
66,6.46E-04,0.00E+00,-1.18E-02,3.80E-01, null
67,-6.29E-04,-7.28E-12,-1.23E-02,3.77E-01, null
68,-6.01E-04,-7.28E-12,-1.22E-02,3.80E-01, null
69,-4.48E-04,3.64E-12,-1.35E-02,3.61E-01, null
70,-2.88E-04,0.00E+00,-1.37E-02,3.50E-01, null
71,8.78E-05,6.37E-12,-1.34E-02,3.62E-01, null
72,3.10E-04,-4.55E-12,-1.16E-02,4.22E-01, null
73,-5.30E-04,3.64E-12,-1.34E-02,3.65E-01, null
74,-6.12E-04,0.00E+00,-1.35E-02,3.58E-01, null
75,-3.22E-04,0.00E+00,-1.11E-02,4.33E-01, null
76,-6.42E-04,0.00E+00,-1.16E-02,3.71E-01, null
77,-3.75E-04,0.00E+00,-1.11E-02,4.26E-01, null
78,1.04E-04,2.14E-11,-1.34E-02,3.63E-01, null
79,-6.83E-04,0.00E+00,-1.30E-02,3.56E-01, null
