Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,3.87E-04,0.00E+00,-1.40E-02,3.32E-01, null
1,3.90E-04,9.09E-13,-1.39E-02,3.34E-01, null
2,1.86E-05,0.00E+00,-1.38E-02,3.33E-01, null
3,9.64E-05,-3.64E-12,-1.37E-02,3.39E-01, null
4,2.66E-04,-2.27E-12,-1.43E-02,3.12E-01, null
5,2.52E-04,0.00E+00,-1.43E-02,3.13E-01, null
6,2.39E-04,-2.27E-12,-1.43E-02,3.12E-01, null
7,2.78E-04,0.00E+00,-1.43E-02,3.13E-01, null
8,2.72E-04,0.00E+00,-1.43E-02,3.13E-01, null
9,7.20E-04,3.64E-12,-1.31E-02,3.63E-01, null
10,7.10E-04,-7.28E-12,-1.33E-02,3.54E-01, null
11,5.48E-04,3.64E-12,-1.33E-02,3.59E-01, null
12,1.21E-05,-4.55E-13,-1.31E-02,3.65E-01, null
13,7.89E-06,5.00E-12,-1.31E-02,3.66E-01, null
14,-1.64E-06,5.00E-12,-1.31E-02,3.66E-01, null
15,4.86E-04,-7.28E-12,-1.36E-02,3.54E-01, null
16,3.19E-04,0.00E+00,-1.35E-02,3.55E-01, null
17,4.76E-04,0.00E+00,-1.47E-02,3.02E-01, null
18,5.15E-04,0.00E+00,-1.46E-02,3.05E-01, null
19,7.05E-04,2.73E-12,-1.49E-02,3.00E-01, null
20,7.03E-04,2.73E-12,-1.49E-02,3.00E-01, null
21,1.45E-04,7.28E-12,-1.46E-02,3.04E-01, null
22,4.15E-04,0.00E+00,-1.46E-02,3.03E-01, null
23,3.91E-04,0.00E+00,-1.47E-02,3.02E-01, null
24,1.87E-04,-7.28E-12,-1.48E-02,3.01E-01, null
25,-3.36E-05,-3.64E-12,-1.45E-02,3.05E-01, null
26,-2.64E-06,-3.64E-12,-1.46E-02,3.03E-01, null
27,-4.66E-05,7.28E-12,-1.43E-02,3.13E-01, null
28,2.38E-04,0.00E+00,-1.49E-02,3.00E-01, null
29,3.96E-04,9.09E-13,-1.40E-02,3.31E-01, null
30,3.78E-04,0.00E+00,-1.40E-02,3.31E-01, null
31,-5.04E-06,5.00E-12,-1.31E-02,3.66E-01, null
32,4.25E-04,-3.64E-12,-1.49E-02,3.00E-01, null
33,4.54E-04,0.00E+00,-1.49E-02,3.00E-01, null
34,4.07E-04,0.00E+00,-1.40E-02,3.32E-01, null
35,4.00E-04,0.00E+00,-1.40E-02,3.32E-01, null
36,7.72E-04,0.00E+00,-1.41E-02,3.30E-01, null
37,7.56E-04,-7.28E-12,-1.41E-02,3.34E-01, null
38,7.53E-04,0.00E+00,-1.41E-02,3.32E-01, null
39,7.07E-04,0.00E+00,-1.49E-02,3.00E-01, null
40,7.49E-04,3.64E-12,-1.45E-02,3.14E-01, null
41,3.08E-04,0.00E+00,-1.42E-02,3.18E-01, null
42,3.70E-04,4.55E-13,-1.43E-02,3.17E-01, null
43,2.67E-04,-2.73E-12,-1.43E-02,3.13E-01, null
44,7.94E-04,0.00E+00,-1.41E-02,3.25E-01, null
45,7.62E-04,-1.82E-12,-1.42E-02,3.28E-01, null
46,6.90E-04,-7.28E-12,-1.37E-02,3.48E-01, null
47,4.47E-06,0.00E+00,-1.39E-02,3.29E-01, null
48,4.09E-04,9.09E-13,-1.40E-02,3.31E-01, null
49,2.24E-04,0.00E+00,-1.29E-02,3.77E-01, null
50,3.06E-04,0.00E+00,-1.31E-02,3.72E-01, null
51,4.28E-04,0.00E+00,-1.34E-02,3.58E-01, null
52,3.31E-04,0.00E+00,-1.33E-02,3.62E-01, null
53,3.09E-04,0.00E+00,-1.28E-02,3.81E-01, null
54,7.02E-04,0.00E+00,-1.30E-02,3.67E-01, null
55,7.65E-04,0.00E+00,-1.30E-02,3.44E-01, null
56,7.20E-04,-7.28E-12,-1.35E-02,3.51E-01, null
57,5.94E-04,0.00E+00,-1.29E-02,3.71E-01, null
58,8.55E-04,0.00E+00,-1.32E-02,3.00E-01, null
59,8.38E-04,0.00E+00,-1.33E-02,3.10E-01, null
60,2.37E-04,9.09E-13,-1.43E-02,3.15E-01, null
61,2.73E-05,-9.09E-13,-1.34E-02,3.53E-01, null
62,4.95E-06,0.00E+00,-1.34E-02,3.52E-01, null
63,-1.42E-06,3.64E-12,-1.34E-02,3.53E-01, null
64,1.05E-03,-3.64E-12,-1.45E-02,2.85E-01, null
65,1.12E-03,0.00E+00,-1.45E-02,2.03E-01, null
66,1.23E-03,0.00E+00,-1.44E-02,7.88E-02, null
67,1.29E-03,0.00E+00,-1.33E-02,0.00E+00,6.21E+00
68,1.28E-03,0.00E+00,-1.35E-02,0.00E+00,6.57E+00
69,1.18E-03,-7.28E-12,-1.34E-02,9.91E-02, null
70,1.05E-03,-7.28E-12,-1.34E-02,2.24E-01, null
71,1.05E-03,0.00E+00,-1.32E-02,2.23E-01, null
72,1.03E-03,0.00E+00,-1.36E-02,2.50E-01, null
73,1.03E-03,0.00E+00,-1.36E-02,2.51E-01, null
74,9.99E-04,0.00E+00,-1.36E-02,2.62E-01, null
75,1.15E-03,0.00E+00,-1.40E-02,1.40E-01, null
76,1.03E-03,7.28E-12,-1.39E-02,2.58E-01, null
77,1.27E-03,-5.46E-12,-1.38E-02,1.64E-02, null
78,1.29E-03,1.82E-12,-1.38E-02,0.00E+00,7.21E+00
79,9.13E-04,0.00E+00,-1.45E-02,3.01E-01, null
80,1.03E-03,-1.82E-12,-1.48E-02,2.97E-01, null
81,8.24E-04,0.00E+00,-1.45E-02,3.10E-01, null
82,1.03E-03,0.00E+00,-1.36E-02,2.52E-01, null
83,1.05E-03,0.00E+00,-1.36E-02,2.35E-01, null
84,1.28E-03,0.00E+00,-1.41E-02,0.00E+00,8.02E+00
85,1.29E-03,1.09E-11,-1.43E-02,0.00E+00,9.65E+00
86,1.29E-03,0.00E+00,-1.43E-02,0.00E+00,9.37E+00
87,1.26E-03,1.09E-11,-1.43E-02,3.12E-02, null
88,1.26E-03,0.00E+00,-1.32E-02,2.93E-02, null
89,1.01E-03,-7.28E-12,-1.31E-02,2.32E-01, null
90,1.15E-03,-7.28E-12,-1.30E-02,1.17E-01, null
91,1.02E-03,5.46E-12,-1.48E-02,3.00E-01, null
92,1.07E-03,1.82E-12,-1.48E-02,2.46E-01, null
93,7.09E-04,0.00E+00,-1.49E-02,3.00E-01, null
94,1.29E-03,3.64E-12,-1.32E-02,0.00E+00,6.04E+00
95,1.28E-03,0.00E+00,-1.29E-02,0.00E+00,5.50E+00
96,1.07E-03,0.00E+00,-1.36E-02,2.18E-01, null
97,1.29E-03,-5.46E-12,-1.38E-02,0.00E+00,7.04E+00
98,1.29E-03,0.00E+00,-1.38E-02,0.00E+00,6.94E+00
99,1.27E-03,0.00E+00,-1.32E-02,2.25E-02, null
100,1.29E-03,-9.09E-12,-1.32E-02,0.00E+00,6.13E+00
101,1.05E-03,1.09E-11,-1.44E-02,2.83E-01, null
102,1.19E-03,7.28E-12,-1.41E-02,1.04E-01, null
103,1.02E-03,0.00E+00,-1.49E-02,3.00E-01, null
104,1.05E-03,-9.09E-12,-1.49E-02,2.73E-01, null
105,1.29E-03,-1.82E-12,-1.49E-02,0.00E+00,1.23E+01
106,1.29E-03,-1.82E-12,-1.48E-02,0.00E+00,1.23E+01
107,1.28E-03,0.00E+00,-1.46E-02,0.00E+00,1.13E+01
108,8.14E-04,-1.82E-12,-1.41E-02,3.19E-01, null
109,9.15E-04,-7.28E-12,-1.38E-02,2.93E-01, null
110,1.29E-03,5.46E-12,-1.44E-02,0.00E+00,9.94E+00
111,1.03E-03,0.00E+00,-1.40E-02,2.69E-01, null
112,1.03E-03,0.00E+00,-1.42E-02,2.75E-01, null
113,4.39E-04,0.00E+00,-1.21E-02,3.97E-01, null
114,7.34E-04,0.00E+00,-1.22E-02,3.70E-01, null
115,4.28E-04,-1.82E-12,-1.24E-02,3.95E-01, null
116,7.09E-04,0.00E+00,-1.29E-02,3.68E-01, null
117,4.71E-04,9.09E-13,-1.25E-02,3.91E-01, null
118,4.19E-04,-1.82E-12,-1.24E-02,3.95E-01, null
119,4.39E-04,-9.09E-13,-1.24E-02,3.93E-01, null
120,-9.22E-05,-1.82E-12,-1.26E-02,3.87E-01, null
121,-6.35E-05,-1.82E-12,-1.27E-02,3.85E-01, null
122,2.44E-04,0.00E+00,-1.25E-02,3.92E-01, null
123,7.47E-04,0.00E+00,-1.22E-02,3.68E-01, null
124,8.12E-04,0.00E+00,-1.21E-02,3.36E-01, null
125,8.41E-04,0.00E+00,-1.22E-02,3.24E-01, null
126,7.60E-04,-3.64E-12,-1.23E-02,3.65E-01, null
127,7.34E-04,0.00E+00,-1.26E-02,3.56E-01, null
128,6.56E-04,0.00E+00,-1.13E-02,3.84E-01, null
129,6.46E-04,3.64E-12,-1.12E-02,3.88E-01, null
130,5.10E-04,0.00E+00,-1.13E-02,3.94E-01, null
131,3.10E-04,7.28E-12,-1.10E-02,4.22E-01, null
132,4.80E-04,7.28E-12,-1.10E-02,4.10E-01, null
133,2.37E-04,-7.28E-12,-1.12E-02,4.20E-01, null
134,2.04E-04,7.28E-12,-1.15E-02,4.17E-01, null
135,3.49E-04,-7.28E-12,-1.16E-02,4.14E-01, null
136,6.23E-04,-7.28E-12,-1.13E-02,3.89E-01, null
137,1.18E-04,0.00E+00,-1.18E-02,4.09E-01, null
138,9.71E-06,7.28E-12,-1.19E-02,4.07E-01, null
139,6.41E-05,-7.28E-12,-1.16E-02,4.15E-01, null
140,3.37E-05,-3.64E-12,-1.10E-02,4.26E-01, null
141,-6.99E-06,0.00E+00,-1.14E-02,4.18E-01, null
142,1.06E-03,0.00E+00,-1.12E-02,1.86E-01, null
143,1.04E-03,1.09E-11,-1.11E-02,1.87E-01, null
144,7.76E-04,0.00E+00,-1.13E-02,3.33E-01, null
145,7.04E-04,3.64E-12,-1.13E-02,3.63E-01, null
146,2.91E-05,9.09E-12,-1.10E-02,4.27E-01, null
147,3.55E-04,0.00E+00,-1.18E-02,4.10E-01, null
148,6.85E-04,0.00E+00,-1.13E-02,3.81E-01, null
149,7.53E-04,-1.82E-12,-1.19E-02,3.63E-01, null
150,6.79E-04,1.82E-12,-1.17E-02,3.68E-01, null
151,7.47E-04,0.00E+00,-1.17E-02,3.59E-01, null
152,2.37E-04,0.00E+00,-1.19E-02,4.07E-01, null
153,1.04E-03,0.00E+00,-1.14E-02,1.99E-01, null
154,4.73E-04,7.28E-12,-1.20E-02,3.92E-01, null
155,7.51E-04,-3.64E-12,-1.17E-02,3.60E-01, null
156,7.10E-04,1.09E-11,-1.17E-02,3.65E-01, null
157,8.11E-04,-1.82E-12,-1.16E-02,3.27E-01, null
158,-1.33E-04,1.27E-11,-1.26E-02,3.85E-01, null
159,4.13E-04,-1.82E-12,-1.24E-02,3.96E-01, null
160,3.19E-04,7.28E-12,-1.21E-02,4.04E-01, null
161,-1.19E-04,-1.82E-12,-1.26E-02,3.86E-01, null
162,3.62E-05,0.00E+00,-1.20E-02,4.05E-01, null
163,-8.97E-05,0.00E+00,-1.25E-02,3.91E-01, null
164,1.08E-03,0.00E+00,-1.18E-02,1.81E-01, null
165,1.17E-03,0.00E+00,-1.19E-02,9.50E-02, null
166,1.15E-03,0.00E+00,-1.17E-02,1.17E-01, null
167,1.28E-03,7.28E-12,-1.18E-02,0.00E+00,4.62E+00
168,1.29E-03,-1.82E-12,-1.21E-02,0.00E+00,4.87E+00
169,1.29E-03,0.00E+00,-1.20E-02,0.00E+00,4.82E+00
170,1.26E-03,1.82E-12,-1.21E-02,2.58E-02, null
171,1.04E-03,-7.28E-12,-1.20E-02,2.03E-01, null
172,1.03E-03,-7.28E-12,-1.21E-02,2.15E-01, null
173,1.03E-03,1.46E-11,-1.28E-02,2.23E-01, null
174,1.04E-03,0.00E+00,-1.26E-02,2.17E-01, null
175,1.19E-03,0.00E+00,-1.27E-02,9.26E-02, null
176,8.13E-04,0.00E+00,-1.17E-02,3.26E-01, null
177,1.29E-03,-1.82E-12,-1.21E-02,0.00E+00,4.90E+00
178,1.24E-03,0.00E+00,-1.21E-02,4.60E-02, null
179,1.29E-03,0.00E+00,-1.27E-02,0.00E+00,5.18E+00
180,1.29E-03,0.00E+00,-1.26E-02,0.00E+00,5.11E+00
181,1.16E-03,0.00E+00,-1.24E-02,1.09E-01, null
182,1.11E-03,0.00E+00,-1.25E-02,1.49E-01, null
183,9.69E-04,1.09E-11,-1.27E-02,2.54E-01, null
184,1.29E-03,3.64E-12,-1.16E-02,0.00E+00,4.42E+00
185,1.29E-03,0.00E+00,-1.15E-02,0.00E+00,4.41E+00
186,1.25E-03,0.00E+00,-1.16E-02,3.25E-02, null
187,1.07E-03,0.00E+00,-1.17E-02,1.81E-01, null
188,1.17E-03,0.00E+00,-1.13E-02,9.71E-02, null
189,1.27E-03,0.00E+00,-1.15E-02,1.41E-02, null
190,1.29E-03,-1.82E-12,-1.15E-02,0.00E+00,4.43E+00
