Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
93,4.05E-04,0.00E+00,-1.39E-02,3.55E-01, null
94,-1.60E-05,7.73E-12,-1.43E-02,3.28E-01, null
95,-1.73E-05,0.00E+00,-1.43E-02,3.27E-01, null
96,-2.81E-05,0.00E+00,-1.43E-02,3.28E-01, null
97,4.71E-04,-3.64E-12,-1.44E-02,3.26E-01, null
98,2.59E-04,-7.28E-12,-1.46E-02,3.11E-01, null
99,3.56E-04,7.28E-12,-1.20E-02,4.03E-01, null
100,-2.59E-04,-1.82E-12,-1.20E-02,4.13E-01, null
101,-3.13E-04,-7.28E-12,-1.41E-02,3.41E-01, null
102,-6.22E-04,0.00E+00,-1.40E-02,2.83E-01, null
103,-3.83E-04,-7.28E-12,-1.43E-02,3.30E-01, null
104,3.34E-04,7.28E-12,-1.10E-02,4.26E-01, null
105,2.84E-04,0.00E+00,-1.48E-02,3.01E-01, null
106,3.36E-04,1.82E-12,-1.48E-02,3.02E-01, null
107,3.13E-04,9.09E-12,-1.49E-02,3.00E-01, null
108,-3.72E-04,0.00E+00,-1.16E-02,4.11E-01, null
109,-6.54E-04,0.00E+00,-1.14E-02,2.60E-01, null
110,-5.22E-04,0.00E+00,-1.12E-02,3.50E-01, null
111,-1.94E-05,0.00E+00,-1.43E-02,3.28E-01, null
112,-8.63E-05,0.00E+00,-1.24E-02,4.17E-01, null
113,-1.25E-04,0.00E+00,-1.22E-02,4.25E-01, null
114,-2.72E-04,-1.46E-11,-1.39E-02,3.54E-01, null
115,-4.89E-05,0.00E+00,-1.10E-02,4.68E-01, null
116,-1.90E-05,-9.09E-12,-1.49E-02,3.00E-01, null
117,-3.46E-05,5.46E-12,-1.48E-02,3.01E-01, null
118,-9.16E-05,0.00E+00,-1.48E-02,3.01E-01, null
119,-5.28E-05,0.00E+00,-1.49E-02,3.00E-01, null
120,-3.68E-05,1.82E-12,-1.49E-02,3.00E-01, null
121,3.89E-04,4.55E-13,-1.24E-02,4.08E-01, null
122,3.98E-04,0.00E+00,-1.46E-02,3.11E-01, null
123,-1.63E-04,-9.09E-13,-1.49E-02,3.00E-01, null
124,-4.85E-04,-7.28E-12,-1.46E-02,3.02E-01, null
125,-3.37E-04,0.00E+00,-1.46E-02,3.08E-01, null
126,-3.99E-04,7.28E-12,-1.47E-02,3.05E-01, null
127,-6.45E-04,1.09E-11,-1.40E-02,2.77E-01, null
128,-4.39E-04,0.00E+00,-1.15E-02,3.82E-01, null
129,-6.58E-05,0.00E+00,-1.46E-02,3.09E-01, null
130,-2.49E-04,0.00E+00,-1.34E-02,3.78E-01, null
131,1.54E-04,0.00E+00,-1.09E-02,4.52E-01, null
132,-4.20E-04,-7.28E-12,-1.45E-02,3.17E-01, null
133,-5.13E-04,-1.82E-12,-1.18E-02,3.32E-01, null
134,-3.58E-04,0.00E+00,-1.48E-02,3.01E-01, null
135,-3.81E-04,-1.82E-12,-1.49E-02,3.00E-01, null
136,-5.51E-04,-3.64E-12,-1.16E-02,3.16E-01, null
137,-6.41E-04,7.28E-12,-1.45E-02,2.85E-01, null
138,-5.04E-04,0.00E+00,-1.43E-02,3.07E-01, null
139,-7.14E-04,3.64E-12,-1.45E-02,2.67E-01, null
140,-6.73E-04,0.00E+00,-1.42E-02,2.66E-01, null
141,-6.91E-04,0.00E+00,-1.29E-02,2.23E-01, null
142,-6.95E-04,0.00E+00,-1.29E-02,2.22E-01, null
143,-6.94E-04,1.82E-12,-1.31E-02,2.30E-01, null
144,-6.95E-04,0.00E+00,-1.37E-02,2.37E-01, null
145,-6.96E-04,-5.46E-12,-1.19E-02,1.98E-01, null
146,-7.09E-04,0.00E+00,-1.19E-02,1.88E-01, null
147,-7.15E-04,-5.46E-12,-1.19E-02,1.84E-01, null
148,-6.99E-04,0.00E+00,-1.19E-02,1.98E-01, null
149,-6.98E-04,1.82E-12,-1.20E-02,2.03E-01, null
150,-6.08E-04,-9.09E-13,-1.19E-02,2.59E-01, null
151,-6.53E-04,-1.82E-12,-1.40E-02,2.76E-01, null
152,-6.76E-04,0.00E+00,-1.17E-02,2.34E-01, null
153,-7.02E-04,0.00E+00,-1.46E-02,2.73E-01, null
