Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,7.38E-03,-5.98E-05,3.06E-03,1.06E-01
1,7.45E-03,-1.61E-04,2.90E-03,1.12E-01
2,7.46E-03,3.31E-05,2.91E-03,1.03E-01
3,4.84E-03,-3.22E-03,1.94E-03,1.65E-01
4,5.00E-03,-3.12E-03,2.00E-03,1.49E-01
5,4.77E-03,-3.20E-03,2.13E-03,1.98E-01
6,4.95E-03,-3.08E-03,2.24E-03,1.65E-01
7,4.70E-03,-3.17E-03,2.32E-03,2.44E-01
8,4.84E-03,-3.05E-03,2.45E-03,2.01E-01
9,4.64E-03,-3.13E-03,2.50E-03,2.98E-01
10,4.77E-03,-3.01E-03,2.64E-03,2.37E-01
11,4.57E-03,-3.08E-03,2.68E-03,3.52E-01
12,4.70E-03,-2.95E-03,2.81E-03,2.75E-01
13,4.51E-03,-3.02E-03,2.86E-03,4.41E-01
14,4.63E-03,-2.89E-03,2.97E-03,3.37E-01
15,4.44E-03,-2.94E-03,3.03E-03,5.55E-01
16,4.57E-03,-2.81E-03,3.13E-03,4.07E-01
17,4.38E-03,-2.85E-03,3.20E-03,6.68E-01
18,4.51E-03,-2.73E-03,3.29E-03,4.73E-01
19,4.32E-03,-2.75E-03,3.36E-03,7.83E-01
20,4.46E-03,-2.63E-03,3.45E-03,5.58E-01
21,4.27E-03,-2.65E-03,3.52E-03,9.20E-01
22,4.40E-03,-2.52E-03,3.60E-03,6.64E-01
23,4.21E-03,-2.53E-03,3.67E-03,1.09E+00
24,4.35E-03,-2.39E-03,3.74E-03,7.69E-01
25,4.16E-03,-2.40E-03,3.81E-03,1.26E+00
26,4.30E-03,-2.27E-03,3.87E-03,8.71E-01
27,4.11E-03,-2.26E-03,3.95E-03,1.46E+00
28,4.26E-03,-2.13E-03,4.00E-03,9.74E-01
29,4.06E-03,-2.11E-03,4.07E-03,1.65E+00
30,4.21E-03,-1.98E-03,4.12E-03,1.08E+00
31,4.02E-03,-1.96E-03,4.19E-03,1.86E+00
32,4.17E-03,-1.83E-03,4.23E-03,1.22E+00
33,3.98E-03,-1.80E-03,4.30E-03,2.06E+00
34,4.13E-03,-1.67E-03,4.33E-03,1.38E+00
35,3.95E-03,-1.63E-03,4.40E-03,2.28E+00
36,4.10E-03,-1.50E-03,4.43E-03,1.55E+00
37,3.91E-03,-1.46E-03,4.49E-03,2.57E+00
