Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,5.33E-03,3.31E-05,2.06E-03,2.32E-01
1,5.24E-03,-5.71E-05,2.21E-03,2.23E-01
2,5.32E-03,-1.63E-04,2.05E-03,2.27E-01
3,3.66E-03,-2.19E-03,1.47E-03,4.47E-01
4,3.43E-03,-2.27E-03,1.60E-03,7.06E-01
5,3.50E-03,-2.29E-03,1.41E-03,5.51E-01
6,3.61E-03,-2.14E-03,1.70E-03,5.17E-01
7,3.37E-03,-2.23E-03,1.78E-03,9.00E-01
8,3.51E-03,-2.11E-03,1.91E-03,6.58E-01
9,3.30E-03,-2.18E-03,1.96E-03,1.17E+00
10,3.44E-03,-2.05E-03,2.08E-03,8.89E-01
11,3.24E-03,-2.11E-03,2.13E-03,1.58E+00
12,3.37E-03,-1.97E-03,2.25E-03,1.11E+00
13,3.18E-03,-2.03E-03,2.30E-03,1.93E+00
14,3.31E-03,-1.89E-03,2.40E-03,1.31E+00
15,3.12E-03,-1.93E-03,2.46E-03,2.34E+00
16,3.26E-03,-1.79E-03,2.55E-03,1.58E+00
17,3.06E-03,-1.81E-03,2.62E-03,2.82E+00
18,3.20E-03,-1.67E-03,2.69E-03,1.85E+00
19,3.01E-03,-1.69E-03,2.76E-03,3.37E+00
20,3.16E-03,-1.55E-03,2.82E-03,2.15E+00
21,2.96E-03,-1.54E-03,2.89E-03,3.85E+00
22,3.11E-03,-1.41E-03,2.93E-03,2.51E+00
23,2.92E-03,-1.39E-03,3.01E-03,4.43E+00
24,3.07E-03,-1.26E-03,3.04E-03,2.91E+00
25,2.88E-03,-1.23E-03,3.12E-03,5.07E+00
26,3.04E-03,-1.10E-03,3.14E-03,3.17E+00
27,2.85E-03,-1.06E-03,3.21E-03,5.47E+00
28,3.01E-03,-9.29E-04,3.22E-03,3.28E+00
29,2.82E-03,-8.79E-04,3.29E-03,5.86E+00
30,2.98E-03,-7.53E-04,3.29E-03,3.52E+00
31,2.79E-03,-6.93E-04,3.35E-03,6.22E+00
32,2.96E-03,-5.72E-04,3.35E-03,3.85E+00
33,2.78E-03,-5.02E-04,3.40E-03,6.44E+00
34,2.95E-03,-3.87E-04,3.39E-03,4.03E+00
35,2.76E-03,-3.07E-04,3.44E-03,6.75E+00
36,2.94E-03,-1.99E-04,3.41E-03,4.47E+00
37,2.75E-03,-1.10E-04,3.46E-03,7.31E+00
38,2.93E-03,-9.02E-06,3.42E-03,4.63E+00
39,2.75E-03,8.83E-05,3.46E-03,7.26E+00
40,2.93E-03,1.81E-04,3.42E-03,4.39E+00
41,2.76E-03,2.86E-04,3.45E-03,7.30E+00
42,2.94E-03,3.70E-04,3.40E-03,4.30E+00
43,2.77E-03,4.82E-04,3.42E-03,6.96E+00
