Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,-4.40E-04,1.50E-03,-1.66E-03,1.53E+00
1,-5.10E-04,1.34E-03,-1.77E-03,1.59E+00
2,-6.36E-04,1.43E-03,-1.65E-03,2.18E+00
3,-8.89E-04,-1.81E-03,-1.01E-03,4.57E+00
4,-7.09E-04,-1.91E-03,-9.71E-04,4.80E+00
5,-8.51E-04,-1.91E-03,-8.44E-04,5.12E+00
6,-9.84E-04,1.27E-03,-1.61E-03,3.03E+00
7,-8.15E-04,1.35E-03,-1.64E-03,2.69E+00
8,-8.81E-04,1.17E-03,-1.74E-03,2.57E+00
9,-8.32E-04,-1.36E-03,-1.60E-03,2.66E+00
10,-6.91E-04,-1.26E-03,-1.74E-03,1.86E+00
11,-6.22E-04,-1.42E-03,-1.64E-03,1.95E+00
12,2.45E-04,8.37E-04,-2.10E-03,5.65E+00
13,4.01E-04,9.44E-04,-2.03E-03,1.88E+00
14,4.28E-04,7.57E-04,-2.10E-03,5.91E+00
15,-1.83E-03,9.52E-04,9.62E-04,1.06E+01
16,-1.78E-03,1.12E-03,8.68E-04,1.01E+01
17,-1.88E-03,1.03E-03,7.48E-04,8.96E+00
18,2.05E-04,1.26E-03,1.88E-03,1.84E+01
19,3.10E-04,1.37E-03,1.79E-03,1.92E+01
20,1.18E-04,1.40E-03,1.79E-03,1.85E+01
21,6.53E-04,-1.49E-03,-1.56E-03,2.83E+00
22,4.82E-04,-1.46E-03,-1.65E-03,2.53E+00
23,6.20E-04,-1.32E-03,-1.72E-03,2.63E+00
24,-1.29E-03,-9.31E-04,1.61E-03,1.71E+01
25,-1.33E-03,-7.45E-04,1.67E-03,1.78E+01
26,-1.40E-03,-8.93E-04,1.53E-03,1.61E+01
27,6.85E-04,6.02E-04,2.08E-03,2.10E+01
28,5.30E-04,5.55E-04,2.14E-03,2.02E+01
29,6.27E-04,4.05E-04,2.14E-03,2.07E+01
30,-2.09E-03,8.69E-04,-2.43E-04,3.41E+00
31,-2.13E-03,7.25E-04,-3.39E-04,3.09E+00
32,-2.15E-03,7.25E-04,-1.55E-04,3.60E+00
33,7.66E-04,-1.41E-03,-1.59E-03,2.86E+00
34,8.18E-04,-1.28E-03,-1.67E-03,2.80E+00
35,-2.05E-03,-8.63E-04,-4.02E-04,3.09E+00
36,-2.07E-03,-8.75E-04,-2.10E-04,3.48E+00
37,-2.13E-03,-6.78E-04,-3.23E-04,3.28E+00
38,-1.80E-03,1.21E-03,6.77E-04,8.75E+00
39,-1.43E-03,1.76E-03,2.04E-04,5.37E+00
40,-1.48E-03,1.68E-03,4.14E-04,8.65E+00
41,-1.33E-03,1.81E-03,3.74E-04,8.63E+00
42,-1.80E-03,-8.44E-04,-1.07E-03,2.66E+00
43,-1.89E-03,-8.62E-04,-8.96E-04,2.70E+00
44,-1.90E-03,-6.78E-04,-1.02E-03,2.33E+00
45,-5.12E-04,7.02E-04,-2.10E-03,5.70E+00
46,-5.05E-04,8.91E-04,-2.03E-03,2.14E+00
47,-3.39E-04,8.01E-04,-2.10E-03,5.49E+00
48,1.16E-03,-1.63E-03,1.05E-03,7.54E+00
49,9.88E-04,-1.74E-03,1.04E-03,8.37E+00
50,1.12E-03,-1.74E-03,8.99E-04,6.27E+00
51,-2.03E-03,8.54E-04,5.74E-04,7.41E+00
52,-2.08E-03,7.11E-04,5.70E-04,7.17E+00
53,-2.01E-03,7.44E-04,7.54E-04,8.61E+00
54,-2.01E-03,-8.62E-04,-5.62E-04,2.90E+00
55,-2.10E-03,-6.78E-04,-5.05E-04,2.91E+00
56,-1.51E-03,-8.61E-04,1.45E-03,1.49E+01
57,-1.49E-03,-7.15E-04,1.55E-03,1.63E+01
58,9.23E-04,-4.64E-04,2.01E-03,2.02E+01
59,9.11E-04,-2.98E-04,2.05E-03,2.04E+01
60,7.49E-04,-3.55E-04,2.11E-03,2.14E+01
61,-1.94E-03,1.17E-03,2.13E-04,5.38E+00
62,-1.82E-03,1.33E-03,2.88E-04,5.90E+00
63,-1.87E-03,1.29E-03,9.47E-05,4.54E+00
64,8.23E-04,3.54E-04,2.08E-03,2.11E+01
65,1.02E-03,3.66E-04,1.99E-03,2.00E+01
66,8.92E-04,5.69E-04,2.01E-03,2.04E+01
67,-6.83E-04,9.60E-04,1.94E-03,1.81E+01
68,-7.38E-04,7.60E-04,2.01E-03,1.75E+01
69,-6.03E-04,8.47E-04,2.02E-03,1.64E+01
70,1.97E-03,-1.09E-03,-1.60E-04,2.13E+00
71,1.98E-03,-1.09E-03,2.84E-06,2.40E+00
72,1.91E-03,-1.21E-03,2.98E-06,2.30E+00
73,-1.48E-03,1.61E-03,6.34E-04,1.04E+01
74,-1.36E-03,1.74E-03,5.56E-04,1.02E+01
75,2.72E-04,-1.02E-03,2.00E-03,1.84E+01
76,-1.40E-06,-1.04E-03,2.01E-03,1.69E+01
77,3.00E-05,-1.19E-03,1.92E-03,1.74E+01
78,-2.08E-03,8.03E-04,4.21E-04,6.42E+00
79,-2.13E-03,6.65E-04,4.20E-04,6.20E+00
80,5.08E-04,1.32E-03,1.78E-03,1.95E+01
81,6.62E-04,1.41E-03,1.66E-03,1.77E+01
82,4.10E-04,1.49E-03,1.67E-03,1.81E+01
83,-2.08E-03,-8.78E-04,1.55E-04,4.91E+00
84,-2.06E-03,-8.67E-04,3.43E-04,5.95E+00
85,-2.14E-03,-6.96E-04,2.49E-04,5.50E+00
86,8.98E-04,-8.45E-04,1.90E-03,1.82E+01
87,1.07E-03,-8.37E-04,1.81E-03,1.64E+01
88,1.06E-03,-6.86E-04,1.88E-03,1.76E+01
89,4.17E-04,-1.24E-03,1.84E-03,1.81E+01
90,2.96E-04,-1.39E-03,1.75E-03,1.70E+01
91,5.13E-04,-1.36E-03,1.73E-03,1.69E+01
92,2.38E-04,-1.19E-03,1.91E-03,1.82E+01
93,1.23E-03,-1.73E-03,7.59E-04,4.63E+00
94,1.06E-03,-1.85E-03,7.26E-04,4.80E+00
95,2.02E-03,1.01E-03,-2.68E-04,1.67E+00
96,2.03E-03,1.02E-03,-1.24E-04,1.76E+00
97,2.08E-03,8.81E-04,-2.14E-04,1.69E+00
98,4.86E-04,-1.96E-03,9.94E-04,1.20E+01
99,3.83E-04,-1.88E-03,1.19E-03,1.38E+01
100,2.70E-04,-1.99E-03,1.03E-03,1.44E+01
101,5.39E-04,-2.04E-03,7.81E-04,9.69E+00
102,3.34E-04,-2.06E-03,8.62E-04,1.22E+01
103,5.11E-04,8.71E-04,2.04E-03,2.00E+01
104,3.36E-04,8.13E-04,2.09E-03,1.75E+01
105,4.37E-04,6.78E-04,2.12E-03,1.87E+01
106,1.80E-03,-1.29E-03,4.50E-04,3.20E+00
107,1.84E-03,-1.17E-03,5.88E-04,3.87E+00
108,1.74E-03,-1.31E-03,6.18E-04,3.88E+00
109,-8.99E-05,1.52E-03,-1.69E-03,4.71E-01
110,3.31E-05,1.59E-03,-1.63E-03,9.60E-01
111,2.02E-06,1.44E-03,-1.76E-03,3.09E-01
112,3.50E-04,-1.54E-03,-1.61E-03,2.33E+00
113,1.55E-04,-1.53E-03,-1.65E-03,1.81E+00
114,2.63E-04,-1.40E-03,-1.75E-03,1.86E+00
115,-2.09E-03,8.95E-04,-7.82E-05,3.95E+00
116,-2.15E-03,7.26E-04,3.61E-05,4.38E+00
117,-1.97E-03,-9.99E-04,4.68E-04,6.60E+00
118,-1.91E-03,-1.14E-03,3.97E-04,6.30E+00
119,-1.89E-03,-1.07E-03,6.34E-04,7.72E+00
120,-2.89E-04,-1.58E-03,-1.58E-03,1.51E+00
121,-3.52E-04,-1.46E-03,-1.68E-03,1.02E+00
122,-1.84E-04,-1.44E-03,-1.73E-03,5.80E-01
123,-2.04E-03,-8.44E-04,5.08E-04,6.84E+00
124,-1.98E-03,-8.81E-04,6.47E-04,7.77E+00
125,-2.07E-03,-6.94E-04,6.02E-04,7.46E+00
126,1.47E-03,-1.42E-03,9.70E-04,6.41E+00
127,1.63E-03,-1.32E-03,8.39E-04,5.25E+00
128,1.57E-03,-1.22E-03,1.07E-03,7.18E+00
129,-3.77E-04,-1.96E-03,-1.04E-03,4.16E+00
130,-1.73E-04,-2.00E-03,-1.02E-03,4.08E+00
131,-3.14E-04,-2.06E-03,-8.62E-04,5.02E+00
132,-5.97E-04,1.55E-03,1.55E-03,2.02E+01
133,-3.76E-04,1.61E-03,1.57E-03,1.88E+01
134,-5.02E-04,1.69E-03,1.44E-03,2.03E+01
135,-4.19E-05,-1.55E-03,-1.64E-03,1.37E+00
136,3.84E-04,1.91E-03,1.19E-03,1.50E+01
137,4.65E-04,2.00E-03,9.97E-04,1.22E+01
138,2.70E-04,2.01E-03,1.04E-03,1.52E+01
139,-1.43E-03,-1.04E-03,1.41E-03,1.43E+01
140,-2.17E-05,-2.05E-03,-9.38E-04,4.33E+00
141,2.06E-04,-2.09E-03,-8.10E-04,4.52E+00
142,3.14E-05,-2.10E-03,-8.13E-04,4.93E+00
143,-1.55E-03,-9.49E-04,1.35E-03,1.38E+01
144,6.40E-04,7.33E-04,2.05E-03,2.05E+01
145,7.08E-04,2.10E-03,-5.49E-04,3.60E+00
146,6.00E-04,2.16E-03,-3.96E-04,4.12E+00
147,7.76E-04,2.12E-03,-3.38E-04,3.50E+00
148,2.35E-04,-1.79E-03,1.35E-03,1.46E+01
149,5.14E-05,-1.71E-03,1.47E-03,1.56E+01
150,2.80E-05,-1.84E-03,1.30E-03,1.59E+01
151,-6.44E-04,1.96E-03,-9.75E-04,4.68E+00
152,-7.96E-04,1.90E-03,-9.70E-04,4.67E+00
153,-6.97E-04,2.01E-03,-8.07E-04,5.37E+00
