Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
101,8.01E-04,7.28E-12,-1.20E-02,1.44E-01
102,8.10E-04,3.64E-12,-1.24E-02,1.42E-01
103,8.18E-04,0.00E+00,-1.24E-02,1.41E-01
104,7.79E-04,-9.09E-12,-1.24E-02,1.49E-01
105,1.17E-03,3.64E-12,-1.23E-02,3.61E-02
106,1.19E-03,0.00E+00,-1.24E-02,2.86E-02
107,1.28E-03,0.00E+00,-1.23E-02,0.00E+00
108,7.72E-04,0.00E+00,-1.24E-02,1.49E-01
109,1.13E-03,0.00E+00,-1.25E-02,4.67E-02
110,1.05E-03,-1.09E-11,-1.26E-02,7.64E-02
111,1.22E-03,-3.64E-12,-1.27E-02,2.04E-02
112,1.28E-03,7.28E-12,-1.26E-02,0.00E+00
113,1.28E-03,3.64E-12,-1.14E-02,0.00E+00
114,1.28E-03,0.00E+00,-1.13E-02,0.00E+00
115,1.20E-03,3.64E-12,-1.13E-02,2.20E-02
116,1.03E-03,0.00E+00,-1.23E-02,8.47E-02
117,1.05E-03,0.00E+00,-1.25E-02,7.30E-02
118,1.28E-03,0.00E+00,-1.24E-02,0.00E+00
119,1.08E-03,0.00E+00,-1.22E-02,6.48E-02
120,9.99E-04,0.00E+00,-1.13E-02,7.88E-02
121,1.00E-03,0.00E+00,-1.12E-02,7.56E-02
122,9.41E-04,0.00E+00,-1.18E-02,1.10E-01
123,9.49E-04,7.28E-12,-1.15E-02,9.49E-02
124,1.02E-03,0.00E+00,-1.18E-02,8.59E-02
125,1.11E-03,0.00E+00,-1.15E-02,4.79E-02
126,7.29E-04,0.00E+00,-1.16E-02,1.46E-01
127,1.03E-03,0.00E+00,-1.22E-02,8.25E-02
128,9.91E-04,0.00E+00,-1.20E-02,9.75E-02
129,9.07E-04,0.00E+00,-1.21E-02,1.14E-01
130,9.49E-04,0.00E+00,-1.19E-02,1.11E-01
131,1.26E-03,0.00E+00,-1.16E-02,0.00E+00
132,1.28E-03,0.00E+00,-1.20E-02,0.00E+00
133,1.28E-03,1.09E-11,-1.20E-02,0.00E+00
134,1.23E-03,0.00E+00,-1.20E-02,1.80E-02
135,1.21E-03,-1.82E-12,-1.21E-02,2.45E-02
136,1.28E-03,-5.46E-12,-1.29E-02,0.00E+00
137,1.28E-03,9.09E-13,-1.28E-02,0.00E+00
138,1.28E-03,-1.82E-12,-1.25E-02,0.00E+00
139,1.28E-03,0.00E+00,-1.21E-02,0.00E+00
140,4.70E-04,0.00E+00,-1.24E-02,1.79E-01
141,3.38E-04,0.00E+00,-1.25E-02,1.86E-01
142,3.76E-04,0.00E+00,-1.21E-02,1.88E-01
143,3.00E-04,0.00E+00,-1.21E-02,1.92E-01
144,2.79E-04,0.00E+00,-1.20E-02,1.94E-01
145,3.68E-04,0.00E+00,-1.20E-02,1.89E-01
146,1.89E-04,0.00E+00,-1.16E-02,2.00E-01
147,3.23E-04,0.00E+00,-1.17E-02,1.92E-01
148,6.87E-04,0.00E+00,-1.27E-02,1.57E-01
149,4.06E-04,0.00E+00,-1.28E-02,1.82E-01
150,1.05E-03,7.28E-12,-1.28E-02,7.90E-02
151,6.45E-04,0.00E+00,-1.23E-02,1.62E-01
152,8.93E-04,-3.64E-12,-1.12E-02,1.04E-01
153,7.48E-04,0.00E+00,-1.13E-02,1.42E-01
154,6.52E-04,0.00E+00,-1.11E-02,1.60E-01
155,4.86E-04,0.00E+00,-1.26E-02,1.76E-01
156,7.22E-04,3.64E-12,-1.24E-02,1.55E-01
157,3.51E-04,0.00E+00,-1.14E-02,1.98E-01
158,4.48E-04,0.00E+00,-1.13E-02,1.89E-01
159,3.92E-04,-3.64E-12,-1.13E-02,1.95E-01
160,4.33E-04,0.00E+00,-1.14E-02,1.92E-01
161,3.72E-04,0.00E+00,-1.13E-02,1.97E-01
162,2.57E-04,0.00E+00,-1.21E-02,1.93E-01
163,6.53E-04,0.00E+00,-1.08E-02,1.66E-01
164,6.73E-04,0.00E+00,-1.07E-02,1.65E-01
165,4.01E-04,0.00E+00,-1.08E-02,1.93E-01
166,6.00E-04,0.00E+00,-1.04E-02,1.75E-01
167,5.49E-04,-3.64E-12,-1.03E-02,1.79E-01
168,5.88E-04,0.00E+00,-1.03E-02,1.76E-01
169,1.28E-03,3.64E-12,-1.06E-02,0.00E+00
170,1.21E-03,1.82E-12,-1.07E-02,2.26E-02
171,1.19E-03,-1.82E-12,-1.06E-02,2.82E-02
172,1.28E-03,0.00E+00,-9.56E-03,0.00E+00
173,1.27E-03,0.00E+00,-9.65E-03,0.00E+00
174,1.13E-03,-3.64E-12,-9.50E-03,3.66E-02
175,9.62E-04,0.00E+00,-9.75E-03,8.81E-02
176,7.77E-04,0.00E+00,-9.59E-03,1.48E-01
177,8.08E-04,0.00E+00,-9.89E-03,1.28E-01
178,1.08E-03,0.00E+00,-9.44E-03,4.98E-02
179,1.05E-03,-3.64E-12,-9.47E-03,5.93E-02
180,1.11E-03,3.64E-12,-9.41E-03,4.12E-02
181,6.42E-04,0.00E+00,-9.92E-03,1.69E-01
182,7.07E-04,0.00E+00,-9.58E-03,1.67E-01
183,3.62E-04,0.00E+00,-9.72E-03,2.04E-01
184,1.27E-03,0.00E+00,-9.38E-03,0.00E+00
185,1.00E-03,-3.64E-12,-1.10E-02,8.03E-02
186,9.94E-04,0.00E+00,-1.09E-02,8.51E-02
187,9.06E-04,0.00E+00,-1.09E-02,1.05E-01
188,9.46E-04,7.28E-12,-1.05E-02,1.05E-01
189,9.50E-04,-7.28E-12,-1.06E-02,1.04E-01
190,8.57E-04,7.28E-12,-1.06E-02,1.27E-01
