Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,6.53E-04,1.82E-12,-1.36E-02,2.46E-01, null
1,5.98E-04,0.00E+00,-1.38E-02,2.82E-01, null
2,7.36E-04,0.00E+00,-1.39E-02,1.49E-01, null
3,6.97E-04,-7.28E-12,-1.36E-02,2.03E-01, null
4,4.70E-04,-7.28E-12,-1.40E-02,3.18E-01, null
5,6.18E-04,0.00E+00,-1.39E-02,2.61E-01, null
6,4.30E-04,7.28E-12,-1.29E-02,3.56E-01, null
7,6.43E-04,0.00E+00,-1.31E-02,2.56E-01, null
8,6.33E-04,0.00E+00,-1.31E-02,2.60E-01, null
9,3.33E-04,0.00E+00,-1.30E-02,3.93E-01, null
10,3.64E-04,1.09E-11,-1.34E-02,3.74E-01, null
11,3.36E-04,0.00E+00,-1.34E-02,3.84E-01, null
12,3.18E-04,1.09E-11,-1.34E-02,3.86E-01, null
13,6.22E-04,-3.64E-12,-1.49E-02,2.31E-01, null
14,8.83E-04,-7.28E-12,-1.49E-02,0.00E+00,1.14E+01
15,8.93E-04,1.82E-12,-1.46E-02,0.00E+00,1.11E+01
16,7.72E-04,0.00E+00,-1.47E-02,1.05E-01, null
17,8.82E-04,0.00E+00,-1.38E-02,0.00E+00,7.65E+00
18,8.93E-04,-1.82E-12,-1.40E-02,0.00E+00,8.95E+00
19,8.51E-04,-3.64E-12,-1.40E-02,4.24E-02, null
20,-7.76E-05,3.64E-12,-1.47E-02,3.04E-01, null
21,-2.09E-04,-3.64E-12,-1.48E-02,3.04E-01, null
22,-1.55E-04,0.00E+00,-1.49E-02,3.00E-01, null
23,1.33E-06,0.00E+00,-1.35E-02,3.84E-01, null
24,1.52E-04,0.00E+00,-1.34E-02,3.84E-01, null
25,1.90E-04,-4.55E-13,-1.37E-02,3.71E-01, null
26,7.85E-06,0.00E+00,-1.42E-02,3.36E-01, null
27,-9.28E-06,0.00E+00,-1.42E-02,3.36E-01, null
28,-6.20E-06,0.00E+00,-1.42E-02,3.37E-01, null
29,3.49E-04,1.82E-12,-1.45E-02,3.17E-01, null
30,3.34E-04,0.00E+00,-1.45E-02,3.20E-01, null
31,3.38E-04,1.82E-12,-1.45E-02,3.21E-01, null
32,5.35E-04,0.00E+00,-1.49E-02,3.00E-01, null
33,5.64E-04,0.00E+00,-1.48E-02,2.95E-01, null
34,1.58E-04,7.28E-12,-1.49E-02,3.00E-01, null
35,4.75E-04,-7.28E-12,-1.49E-02,3.00E-01, null
36,3.32E-04,0.00E+00,-1.45E-02,3.19E-01, null
37,1.62E-04,4.55E-13,-1.39E-02,3.59E-01, null
38,1.32E-05,0.00E+00,-1.42E-02,3.37E-01, null
39,8.91E-04,-1.82E-12,-1.41E-02,0.00E+00,9.17E+00
40,8.93E-04,-3.64E-12,-1.41E-02,0.00E+00,9.39E+00
41,8.62E-04,-3.64E-12,-1.41E-02,2.98E-02, null
42,-6.01E-05,-7.28E-12,-1.46E-02,3.10E-01, null
43,-2.77E-04,7.28E-12,-1.46E-02,3.10E-01, null
44,3.39E-04,0.00E+00,-1.45E-02,3.19E-01, null
45,3.46E-04,0.00E+00,-1.33E-02,3.86E-01, null
46,4.05E-05,0.00E+00,-1.31E-02,4.05E-01, null
47,-3.54E-04,5.46E-12,-1.44E-02,3.29E-01, null
48,-2.91E-04,0.00E+00,-1.44E-02,3.28E-01, null
49,6.51E-04,0.00E+00,-1.32E-02,2.51E-01, null
50,6.46E-04,0.00E+00,-1.31E-02,2.54E-01, null
51,5.95E-04,0.00E+00,-1.32E-02,2.76E-01, null
52,8.67E-04,0.00E+00,-1.46E-02,3.24E-02, null
53,6.28E-04,7.28E-12,-1.42E-02,2.64E-01, null
54,6.28E-04,7.28E-12,-1.40E-02,2.70E-01, null
55,3.45E-04,1.36E-12,-1.45E-02,3.18E-01, null
56,2.33E-04,-4.55E-12,-1.38E-02,3.67E-01, null
57,3.42E-04,0.00E+00,-1.40E-02,3.52E-01, null
58,2.37E-04,-4.55E-12,-1.37E-02,3.66E-01, null
59,2.28E-04,-4.55E-12,-1.37E-02,3.68E-01, null
60,6.73E-04,1.82E-12,-1.45E-02,2.81E-01, null
61,6.72E-04,7.28E-12,-1.45E-02,2.83E-01, null
62,4.22E-04,0.00E+00,-1.45E-02,3.11E-01, null
