Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,9.42E-04,0.00E+00,-1.38E-02,2.54E-01, null
1,9.34E-04,0.00E+00,-1.37E-02,2.41E-01, null
2,1.16E-03,-3.64E-12,-1.38E-02,3.55E-02, null
3,9.50E-04,-1.46E-11,-1.49E-02,2.20E-01, null
4,1.19E-03,-1.82E-12,-1.49E-02,0.00E+00,1.22E+01
5,1.19E-03,-1.82E-12,-1.48E-02,0.00E+00,1.20E+01
6,1.01E-03,3.64E-12,-1.47E-02,1.66E-01, null
7,9.62E-04,0.00E+00,-1.43E-02,2.70E-01, null
8,1.04E-03,0.00E+00,-1.44E-02,1.79E-01, null
9,1.14E-03,-1.82E-12,-1.43E-02,6.63E-02, null
10,1.19E-03,-1.82E-12,-1.43E-02,0.00E+00,1.06E+01
11,9.62E-04,0.00E+00,-1.45E-02,2.72E-01, null
12,8.27E-04,0.00E+00,-1.45E-02,2.93E-01, null
13,8.89E-04,1.46E-11,-1.48E-02,2.95E-01, null
14,7.91E-04,0.00E+00,-1.47E-02,3.07E-01, null
15,1.03E-03,0.00E+00,-1.42E-02,1.82E-01, null
16,1.19E-03,-1.82E-12,-1.43E-02,0.00E+00,1.02E+01
17,1.19E-03,5.46E-12,-1.44E-02,0.00E+00,1.06E+01
18,1.09E-03,-3.64E-12,-1.45E-02,1.27E-01, null
19,1.19E-03,-9.09E-12,-1.32E-02,0.00E+00,5.81E+00
20,1.19E-03,-1.82E-12,-1.32E-02,0.00E+00,5.89E+00
21,9.66E-04,1.82E-12,-1.34E-02,2.20E-01, null
22,9.50E-04,0.00E+00,-1.33E-02,2.33E-01, null
23,1.19E-03,3.64E-12,-1.38E-02,0.00E+00,7.31E+00
24,1.19E-03,-1.82E-12,-1.38E-02,0.00E+00,7.16E+00
25,1.17E-03,9.09E-12,-1.38E-02,2.01E-02, null
26,8.23E-04,0.00E+00,-1.49E-02,3.00E-01, null
27,4.68E-04,0.00E+00,-1.49E-02,3.00E-01, null
28,9.26E-04,-3.64E-12,-1.33E-02,2.53E-01, null
29,9.39E-04,0.00E+00,-1.33E-02,2.47E-01, null
30,1.19E-03,0.00E+00,-1.46E-02,0.00E+00,1.19E+01
31,4.45E-04,4.55E-13,-1.49E-02,3.00E-01, null
32,4.47E-04,4.55E-13,-1.49E-02,3.00E-01, null
33,1.07E-03,0.00E+00,-1.36E-02,1.23E-01, null
34,9.45E-04,0.00E+00,-1.42E-02,2.71E-01, null
35,9.42E-04,-3.64E-12,-1.41E-02,2.70E-01, null
36,9.42E-04,0.00E+00,-1.31E-02,2.47E-01, null
37,8.90E-04,3.64E-12,-1.33E-02,2.66E-01, null
38,7.64E-04,0.00E+00,-1.31E-02,3.15E-01, null
39,1.19E-03,0.00E+00,-1.35E-02,0.00E+00,6.35E+00
40,1.19E-03,-3.64E-12,-1.38E-02,0.00E+00,7.00E+00
41,8.29E-04,0.00E+00,-1.42E-02,2.96E-01, null
42,6.68E-04,3.64E-12,-1.44E-02,3.24E-01, null
43,1.06E-03,0.00E+00,-1.40E-02,1.36E-01, null
44,1.19E-03,-7.28E-12,-1.41E-02,0.00E+00,8.26E+00
45,6.92E-04,7.28E-12,-1.42E-02,3.21E-01, null
46,5.74E-04,0.00E+00,-1.39E-02,3.46E-01, null
47,7.46E-04,3.64E-12,-1.40E-02,3.04E-01, null
48,5.80E-04,0.00E+00,-1.40E-02,3.43E-01, null
49,6.16E-04,0.00E+00,-1.32E-02,3.65E-01, null
50,6.00E-04,-7.28E-12,-1.33E-02,3.63E-01, null
51,9.37E-04,-7.28E-12,-1.40E-02,2.56E-01, null
52,1.19E-03,1.82E-12,-1.31E-02,0.00E+00,5.77E+00
53,1.16E-03,-1.82E-12,-1.32E-02,3.38E-02, null
54,6.61E-04,0.00E+00,-1.35E-02,3.38E-01, null
55,5.93E-04,-7.28E-12,-1.36E-02,3.56E-01, null
56,4.53E-04,0.00E+00,-1.35E-02,3.58E-01, null
57,6.86E-04,7.28E-12,-1.45E-02,3.16E-01, null
58,6.71E-04,1.82E-12,-1.29E-02,3.62E-01, null
59,9.01E-04,0.00E+00,-1.36E-02,2.59E-01, null
60,7.86E-04,7.28E-12,-1.37E-02,2.92E-01, null
61,1.19E-03,7.28E-12,-1.29E-02,0.00E+00,5.42E+00
62,1.12E-03,-3.64E-12,-1.29E-02,6.79E-02, null
63,6.04E-04,-7.28E-12,-1.43E-02,3.28E-01, null
64,7.26E-04,0.00E+00,-1.29E-02,3.42E-01, null
65,6.93E-04,0.00E+00,-1.29E-02,3.55E-01, null
66,6.01E-04,0.00E+00,-1.41E-02,3.36E-01, null
67,6.57E-04,9.09E-12,-1.29E-02,3.63E-01, null
68,9.67E-04,0.00E+00,-1.19E-02,2.09E-01, null
69,9.38E-04,0.00E+00,-1.17E-02,2.14E-01, null
70,1.10E-03,0.00E+00,-1.18E-02,7.26E-02, null
71,1.06E-03,0.00E+00,-1.19E-02,1.21E-01, null
72,9.80E-04,0.00E+00,-1.12E-02,1.88E-01, null
73,1.03E-03,-5.46E-12,-1.12E-02,1.43E-01, null
74,1.18E-03,1.82E-12,-1.15E-02,1.54E-02, null
75,1.19E-03,0.00E+00,-1.15E-02,0.00E+00,4.86E+00
76,1.19E-03,0.00E+00,-1.25E-02,0.00E+00,5.15E+00
77,1.19E-03,-1.09E-11,-1.26E-02,0.00E+00,5.22E+00
78,1.11E-03,0.00E+00,-1.26E-02,7.59E-02, null
79,8.90E-04,-1.09E-11,-1.15E-02,2.51E-01, null
80,1.17E-03,0.00E+00,-1.15E-02,1.99E-02, null
81,9.21E-04,0.00E+00,-1.22E-02,2.29E-01, null
82,9.38E-04,0.00E+00,-1.23E-02,2.26E-01, null
83,9.57E-04,0.00E+00,-1.22E-02,1.99E-01, null
84,1.19E-03,0.00E+00,-1.16E-02,0.00E+00,4.89E+00
85,1.20E-03,-1.82E-12,-1.21E-02,0.00E+00,5.07E+00
86,1.19E-03,0.00E+00,-1.21E-02,0.00E+00,5.05E+00
87,9.72E-04,0.00E+00,-1.22E-02,1.89E-01, null
