Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ], Wall Shear [ Pa ]
0,-7.29E-04,3.64E-12,-1.31E-02,3.60E-01, null
1,-7.36E-04,0.00E+00,-1.32E-02,3.48E-01, null
2,-5.15E-04,3.64E-12,-1.33E-02,3.66E-01, null
3,4.63E-04,-3.64E-12,-1.35E-02,3.58E-01, null
4,-1.62E-05,0.00E+00,-1.37E-02,3.41E-01, null
5,9.24E-05,7.28E-12,-1.33E-02,3.61E-01, null
6,3.41E-04,3.64E-12,-1.38E-02,3.39E-01, null
7,4.31E-04,0.00E+00,-1.38E-02,3.40E-01, null
8,5.01E-04,-1.82E-12,-1.35E-02,3.59E-01, null
9,7.80E-05,3.64E-12,-1.33E-02,3.63E-01, null
10,3.44E-05,-3.64E-12,-1.33E-02,3.61E-01, null
11,1.73E-05,7.28E-12,-1.32E-02,3.65E-01, null
12,-3.89E-04,0.00E+00,-1.33E-02,3.66E-01, null
13,-3.84E-04,0.00E+00,-1.33E-02,3.69E-01, null
14,-4.21E-04,0.00E+00,-1.33E-02,3.67E-01, null
15,-4.27E-04,0.00E+00,-1.16E-02,4.14E-01, null
16,-4.68E-04,-9.09E-12,-1.16E-02,4.11E-01, null
17,-4.33E-04,-7.28E-12,-1.16E-02,4.15E-01, null
18,-4.96E-04,0.00E+00,-1.17E-02,4.05E-01, null
19,-5.33E-04,7.28E-12,-1.20E-02,3.84E-01, null
20,-1.85E-04,0.00E+00,-1.19E-02,4.10E-01, null
21,-6.40E-04,7.28E-12,-1.20E-02,3.75E-01, null
22,-6.96E-04,0.00E+00,-1.19E-02,3.72E-01, null
23,1.34E-04,-3.64E-12,-1.33E-02,3.63E-01, null
24,4.86E-04,0.00E+00,-1.32E-02,3.67E-01, null
25,4.78E-04,0.00E+00,-1.35E-02,3.60E-01, null
26,2.04E-05,-1.00E-11,-1.09E-02,4.32E-01, null
27,3.20E-06,-1.82E-12,-1.09E-02,4.32E-01, null
28,5.66E-05,2.73E-12,-1.10E-02,4.30E-01, null
29,-1.80E-04,0.00E+00,-1.11E-02,4.27E-01, null
30,1.04E-06,7.28E-12,-1.17E-02,4.15E-01, null
31,-3.38E-04,3.64E-12,-1.16E-02,4.15E-01, null
32,2.55E-04,0.00E+00,-1.28E-02,3.85E-01, null
33,7.46E-05,0.00E+00,-1.29E-02,3.81E-01, null
34,1.15E-04,3.64E-12,-1.31E-02,3.67E-01, null
35,3.82E-04,0.00E+00,-1.30E-02,3.76E-01, null
36,4.32E-04,0.00E+00,-1.14E-02,4.05E-01, null
37,4.12E-04,-1.46E-11,-1.13E-02,4.04E-01, null
38,3.19E-04,0.00E+00,-1.14E-02,4.17E-01, null
39,3.22E-04,0.00E+00,-1.12E-02,4.19E-01, null
40,2.51E-04,7.28E-12,-1.13E-02,4.20E-01, null
41,6.70E-04,3.64E-12,-1.11E-02,3.83E-01, null
42,6.73E-04,0.00E+00,-1.11E-02,3.81E-01, null
43,7.96E-04,0.00E+00,-1.14E-02,3.09E-01, null
44,6.53E-04,1.46E-11,-1.15E-02,3.75E-01, null
45,3.06E-04,0.00E+00,-1.09E-02,4.24E-01, null
46,5.93E-04,-3.64E-12,-1.10E-02,3.94E-01, null
47,7.04E-04,-4.55E-13,-1.20E-02,3.70E-01, null
48,7.04E-04,5.91E-12,-1.20E-02,3.70E-01, null
49,6.97E-04,5.46E-12,-1.20E-02,3.71E-01, null
50,3.06E-04,1.24E-11,-1.22E-02,4.02E-01, null
51,3.46E-04,0.00E+00,-1.18E-02,4.11E-01, null
52,2.28E-04,0.00E+00,-1.14E-02,4.18E-01, null
53,4.38E-04,0.00E+00,-1.17E-02,4.04E-01, null
54,-5.97E-04,-3.64E-12,-1.31E-02,3.72E-01, null
55,-3.74E-04,0.00E+00,-1.29E-02,3.82E-01, null
56,-1.69E-04,0.00E+00,-1.30E-02,3.77E-01, null
57,-2.25E-04,-7.28E-12,-1.24E-02,3.97E-01, null
58,-3.19E-04,0.00E+00,-1.23E-02,3.94E-01, null
59,-3.68E-04,3.64E-12,-1.26E-02,3.92E-01, null
60,-3.73E-04,0.00E+00,-1.24E-02,3.91E-01, null
61,-4.44E-04,0.00E+00,-1.33E-02,3.66E-01, null
62,6.64E-04,0.00E+00,-1.24E-02,3.73E-01, null
63,6.80E-04,9.09E-13,-1.24E-02,3.72E-01, null
64,3.07E-04,-1.14E-13,-1.22E-02,4.02E-01, null
65,3.06E-04,-2.16E-12,-1.22E-02,4.02E-01, null
66,3.05E-04,0.00E+00,-1.22E-02,4.02E-01, null
67,-5.42E-05,0.00E+00,-1.37E-02,3.42E-01, null
68,-2.11E-05,-9.09E-13,-1.37E-02,3.40E-01, null
69,-2.90E-05,-9.09E-13,-1.37E-02,3.41E-01, null
70,3.11E-04,-7.28E-12,-1.39E-02,3.35E-01, null
71,8.91E-05,0.00E+00,-1.42E-02,3.15E-01, null
72,1.36E-04,0.00E+00,-1.43E-02,3.14E-01, null
73,2.35E-04,-3.64E-12,-1.41E-02,3.24E-01, null
74,7.00E-04,1.82E-12,-1.31E-02,3.65E-01, null
75,6.75E-04,0.00E+00,-1.30E-02,3.67E-01, null
76,5.73E-04,0.00E+00,-1.27E-02,3.75E-01, null
77,-2.88E-04,-7.28E-12,-1.23E-02,4.00E-01, null
78,-7.38E-04,4.55E-12,-1.26E-02,3.57E-01, null
79,-7.00E-04,9.09E-13,-1.26E-02,3.61E-01, null
80,-7.27E-04,4.55E-12,-1.26E-02,3.58E-01, null
81,3.48E-04,0.00E+00,-1.15E-02,4.16E-01, null
82,2.04E-04,0.00E+00,-1.17E-02,4.14E-01, null
83,1.08E-04,0.00E+00,-1.16E-02,4.16E-01, null
84,3.04E-04,1.23E-11,-1.22E-02,4.02E-01, null
85,-7.88E-04,0.00E+00,-1.22E-02,3.14E-01, null
86,-7.58E-04,-2.73E-12,-1.26E-02,3.48E-01, null
87,-4.80E-04,3.64E-12,-1.22E-02,3.86E-01, null
88,-3.96E-04,0.00E+00,-1.39E-02,3.38E-01, null
89,-3.65E-04,-1.46E-11,-1.37E-02,3.51E-01, null
90,-3.16E-04,0.00E+00,-1.40E-02,3.31E-01, null
91,3.91E-04,0.00E+00,-1.39E-02,3.37E-01, null
92,6.86E-04,7.28E-12,-1.27E-02,3.70E-01, null
93,7.07E-04,1.82E-12,-1.30E-02,3.66E-01, null
94,3.07E-04,0.00E+00,-1.22E-02,4.02E-01, null
95,-7.38E-04,4.55E-12,-1.26E-02,3.57E-01, null
96,-3.57E-04,0.00E+00,-1.23E-02,3.92E-01, null
97,-1.58E-06,0.00E+00,-1.38E-02,3.37E-01, null
98,-3.45E-04,1.82E-12,-1.13E-02,4.21E-01, null
99,-3.02E-04,0.00E+00,-1.12E-02,4.24E-01, null
100,-1.70E-06,7.28E-12,-1.16E-02,4.17E-01, null
101,-6.86E-04,4.55E-13,-1.14E-02,3.76E-01, null
102,-4.58E-04,0.00E+00,-1.16E-02,4.12E-01, null
