Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,-2.23E-06,1.41E-05,4.02E-06,4.49E-01
1,-1.13E-06,1.49E-05,-2.16E-03,5.16E-01
2,3.32E-07,9.36E-05,-1.09E-02,4.39E-01
3,-1.86E-03,6.85E-03,4.24E-03,1.50E-01
4,-6.42E-04,7.41E-03,4.08E-03,1.25E-01
5,-1.23E-03,5.71E-03,3.98E-03,1.22E-01
6,-8.45E-05,6.44E-03,4.22E-03,1.36E-01
7,-1.86E-03,6.39E-03,3.78E-03,1.36E-01
8,-9.42E-04,5.60E-03,4.56E-03,5.27E-02
9,-1.27E-03,7.35E-03,4.75E-03,1.77E-01
10,-1.38E-04,6.75E-03,3.60E-03,1.19E-01
11,-1.07E-03,7.41E-03,3.42E-03,9.05E-02
12,-7.91E-05,6.88E-03,4.93E-03,1.17E-01
13,-1.50E-03,5.66E-03,3.29E-03,2.08E-01
14,-1.89E-03,6.27E-03,4.99E-03,1.27E-01
15,-1.73E-03,6.95E-03,3.03E-03,1.00E-01
16,-4.14E-04,5.64E-03,3.14E-03,1.85E-01
17,-9.42E-04,7.40E-03,5.43E-03,1.47E-01
18,-2.44E-04,5.99E-03,5.07E-03,1.31E-01
19,-2.42E-04,6.79E-03,2.88E-03,1.06E-01
20,-1.95E-03,6.13E-03,2.76E-03,1.12E-01
21,-1.60E-03,6.89E-03,2.56E-03,7.99E-02
22,-8.90E-05,6.16E-03,2.63E-03,9.86E-02
23,-8.88E-04,6.77E-03,2.02E-03,6.13E-02
24,-1.28E-03,5.04E-03,2.87E-03,2.13E-01
25,-1.71E-03,6.39E-03,2.17E-03,1.04E-01
26,-1.90E-03,5.57E-03,2.48E-03,1.53E-01
27,-9.69E-05,5.63E-03,2.23E-03,1.07E-01
28,-1.39E-03,5.60E-03,5.46E-03,6.04E-02
29,-7.09E-04,7.21E-03,5.92E-03,1.75E-01
30,-1.68E-04,5.98E-03,5.77E-03,1.05E-01
31,-1.01E-03,6.32E-03,1.52E-03,5.32E-02
32,-7.67E-05,6.60E-03,5.92E-03,1.31E-01
33,-1.84E-03,6.04E-03,6.17E-03,1.18E-01
34,-2.59E-04,4.84E-03,2.38E-03,1.35E-01
35,-6.94E-04,5.49E-03,6.03E-03,7.86E-02
36,-1.50E-03,5.72E-03,1.36E-03,8.19E-02
37,-3.45E-04,6.92E-03,6.43E-03,1.63E-01
38,-1.37E-03,4.59E-03,2.49E-03,2.31E-01
39,-1.85E-03,5.20E-03,1.50E-03,1.04E-01
40,-1.61E-03,6.93E-03,6.49E-03,1.86E-01
41,-1.51E-03,5.35E-03,1.15E-03,8.48E-02
42,-2.43E-04,5.27E-03,1.38E-03,8.53E-02
43,-1.47E-03,5.42E-03,6.55E-03,6.85E-02
44,-6.42E-04,4.02E-03,2.27E-03,2.09E-01
45,-1.94E-03,4.61E-03,1.44E-03,1.33E-01
46,-1.88E-03,6.37E-03,6.81E-03,1.32E-01
47,-3.34E-04,5.52E-03,6.82E-03,9.63E-02
48,-2.22E-04,6.57E-03,7.02E-03,1.56E-01
49,-1.84E-03,5.81E-03,7.01E-03,1.05E-01
50,-1.65E-04,3.85E-03,1.76E-03,1.28E-01
51,-1.71E-03,3.68E-03,1.77E-03,2.21E-01
52,-1.21E-03,4.63E-03,6.28E-04,8.35E-02
53,-2.49E-04,4.26E-03,8.72E-04,7.18E-02
54,-7.58E-04,6.91E-03,7.60E-03,1.57E-01
55,-1.78E-03,4.30E-03,8.89E-04,1.06E-01
56,-1.73E-03,6.48E-03,7.49E-03,1.81E-01
57,-7.11E-04,5.12E-03,7.38E-03,7.63E-02
58,-8.70E-04,3.17E-03,2.03E-03,2.42E-01
59,-7.17E-05,6.10E-03,7.46E-03,1.19E-01
60,-1.65E-03,3.70E-03,5.38E-04,1.22E-01
61,-1.79E-04,3.65E-03,7.95E-04,4.74E-02
62,-1.92E-03,3.26E-03,1.31E-03,1.72E-01
63,-1.60E-03,6.60E-03,8.10E-03,1.51E-01
64,-1.83E-03,5.56E-03,7.86E-03,1.03E-01
65,-9.81E-04,3.71E-03,2.15E-04,1.07E-01
66,-7.80E-04,6.71E-03,8.30E-03,1.71E-01
67,-1.81E-03,3.20E-03,5.03E-04,1.25E-01
68,-1.01E-04,5.44E-03,8.28E-03,8.09E-02
69,-5.54E-05,2.83E-03,1.27E-03,1.27E-01
70,-1.91E-03,6.01E-03,8.34E-03,1.02E-01
71,-1.24E-03,5.03E-03,8.19E-03,9.75E-02
72,-5.95E-04,2.49E-03,1.79E-03,2.27E-01
73,-1.47E-03,6.53E-03,8.74E-03,1.44E-01
74,-1.01E-03,3.10E-03,-5.47E-06,1.06E-01
75,-9.44E-04,2.21E-03,1.75E-03,2.63E-01
76,-2.62E-04,5.14E-03,8.80E-03,8.80E-02
