Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,1.22E-03,0.00E+00,-1.32E-02,0.00E+00
1,1.22E-03,0.00E+00,-1.33E-02,0.00E+00
2,1.06E-03,0.00E+00,-1.32E-02,2.59E-01
3,9.14E-04,0.00E+00,-1.41E-02,4.14E-01
4,9.60E-04,-7.28E-12,-1.42E-02,4.08E-01
5,1.17E-03,3.64E-12,-1.40E-02,8.53E-02
6,9.80E-04,-7.28E-12,-1.44E-02,4.01E-01
7,7.33E-04,-3.64E-12,-1.45E-02,4.33E-01
8,7.52E-04,0.00E+00,-1.43E-02,4.42E-01
9,6.07E-04,-3.64E-12,-1.44E-02,4.58E-01
10,9.99E-04,0.00E+00,-1.36E-02,3.73E-01
11,9.46E-04,0.00E+00,-1.38E-02,4.07E-01
12,1.10E-03,0.00E+00,-1.37E-02,1.98E-01
13,6.48E-04,0.00E+00,-1.42E-02,4.58E-01
14,5.65E-04,0.00E+00,-1.42E-02,4.66E-01
15,7.57E-04,9.09E-13,-1.31E-02,4.85E-01
16,7.32E-04,0.00E+00,-1.31E-02,4.97E-01
17,7.26E-04,0.00E+00,-1.31E-02,5.00E-01
18,1.22E-03,7.28E-12,-1.34E-02,0.00E+00
19,1.23E-03,-3.64E-12,-1.36E-02,0.00E+00
20,1.02E-03,0.00E+00,-1.35E-02,3.38E-01
21,9.58E-04,0.00E+00,-1.46E-02,4.13E-01
22,9.05E-04,-9.09E-12,-1.49E-02,3.95E-01
23,1.23E-03,-1.82E-12,-1.49E-02,0.00E+00
24,1.19E-03,-1.82E-12,-1.48E-02,6.50E-02
25,8.92E-04,0.00E+00,-1.48E-02,4.31E-01
26,1.22E-03,-7.28E-12,-1.46E-02,0.00E+00
27,1.15E-03,0.00E+00,-1.46E-02,1.39E-01
28,1.23E-03,-3.64E-12,-1.37E-02,0.00E+00
29,1.02E-03,1.36E-11,-1.36E-02,3.45E-01
30,1.23E-03,2.73E-12,-1.29E-02,0.00E+00
31,1.23E-03,0.00E+00,-1.29E-02,0.00E+00
32,1.22E-03,0.00E+00,-1.29E-02,2.14E-02
33,1.05E-03,0.00E+00,-1.33E-02,2.80E-01
34,9.62E-04,0.00E+00,-1.39E-02,4.06E-01
35,6.80E-04,0.00E+00,-1.39E-02,4.77E-01
36,6.45E-04,0.00E+00,-1.38E-02,4.84E-01
37,7.11E-04,-2.73E-12,-1.31E-02,5.06E-01
38,7.19E-04,0.00E+00,-1.31E-02,5.05E-01
39,7.01E-04,0.00E+00,-1.31E-02,5.07E-01
40,9.93E-04,-1.09E-11,-1.32E-02,3.58E-01
41,9.62E-04,0.00E+00,-1.30E-02,3.60E-01
42,1.20E-03,-4.55E-13,-1.30E-02,4.94E-02
43,8.65E-04,1.82E-12,-1.48E-02,4.39E-01
44,8.73E-04,-9.09E-12,-1.49E-02,4.38E-01
45,1.23E-03,0.00E+00,-1.42E-02,0.00E+00
46,1.23E-03,0.00E+00,-1.40E-02,0.00E+00
47,1.23E-03,-3.64E-12,-1.39E-02,0.00E+00
48,1.21E-03,3.64E-12,-1.43E-02,3.35E-02
49,7.18E-04,-1.46E-11,-1.35E-02,4.73E-01
50,8.19E-04,0.00E+00,-1.36E-02,4.52E-01
51,6.37E-04,0.00E+00,-1.37E-02,4.94E-01
52,1.23E-03,3.64E-12,-1.45E-02,0.00E+00
53,4.85E-04,0.00E+00,-1.43E-02,4.62E-01
54,1.23E-03,2.73E-12,-1.43E-02,0.00E+00
55,1.00E-03,0.00E+00,-1.38E-02,3.41E-01
56,9.63E-04,-7.28E-12,-1.28E-02,3.68E-01
57,3.86E-04,3.64E-12,-1.49E-02,4.38E-01
58,8.43E-04,0.00E+00,-1.49E-02,4.38E-01
59,6.02E-04,0.00E+00,-1.46E-02,4.49E-01
