Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,-2.98E-03,2.21E-03,-3.06E-04,2.23E+00
1,-3.03E-03,2.11E-03,-4.59E-04,1.46E+00
2,-3.09E-03,2.05E-03,-2.91E-04,2.46E+00
3,-1.88E-03,3.22E-03,1.27E-04,4.54E+00
4,-1.87E-03,3.23E-03,-7.02E-05,4.33E+00
5,-2.02E-03,3.13E-03,9.26E-06,4.53E+00
6,-2.15E-03,2.41E-03,1.85E-03,7.84E+00
7,-2.01E-03,2.42E-03,2.00E-03,7.19E+00
8,-2.01E-03,2.54E-03,1.84E-03,7.77E+00
9,-2.16E-03,3.03E-03,-8.88E-05,4.81E+00
10,-2.18E-03,3.01E-03,-2.70E-04,3.77E+00
11,-2.31E-03,2.92E-03,-1.67E-04,4.03E+00
12,-2.45E-03,2.80E-03,-2.27E-04,3.32E+00
13,-2.49E-03,2.75E-03,-3.98E-04,2.47E+00
14,-2.59E-03,2.66E-03,-2.69E-04,2.51E+00
15,-1.87E-03,2.68E-03,1.79E-03,7.38E+00
16,-1.69E-03,2.71E-03,1.91E-03,6.47E+00
17,-1.74E-03,2.81E-03,1.72E-03,7.56E+00
18,-1.62E-03,2.94E-03,1.62E-03,8.57E+00
19,-1.44E-03,3.01E-03,1.66E-03,6.32E+00
20,-1.53E-03,3.05E-03,1.49E-03,6.79E+00
21,-1.75E-03,3.28E-03,2.63E-04,4.37E+00
22,-1.70E-03,3.32E-03,4.84E-05,3.97E+00
23,-2.63E-03,2.60E-03,-4.37E-04,1.71E+00
24,-2.73E-03,2.52E-03,-2.96E-04,2.16E+00
25,-2.45E-03,2.14E-03,1.82E-03,7.34E+00
26,-2.33E-03,2.12E-03,1.98E-03,6.84E+00
27,-2.30E-03,2.27E-03,1.85E-03,6.96E+00
28,-1.35E-03,3.13E-03,1.50E-03,5.46E+00
29,-1.46E-03,3.16E-03,1.34E-03,5.89E+00
30,-2.59E-03,2.01E-03,1.77E-03,6.24E+00
31,-2.48E-03,1.99E-03,1.94E-03,6.47E+00
32,-1.47E-03,3.34E-03,7.78E-04,4.54E+00
33,-1.35E-03,3.41E-03,6.38E-04,4.10E+00
34,-1.54E-03,3.34E-03,5.91E-04,4.60E+00
35,-2.77E-03,2.44E-03,-4.59E-04,1.32E+00
36,-2.86E-03,2.37E-03,-3.08E-04,2.14E+00
37,-2.85E-03,1.75E-03,1.63E-03,5.30E+00
38,-2.77E-03,1.71E-03,1.80E-03,5.63E+00
39,-2.72E-03,1.88E-03,1.71E-03,5.92E+00
40,-3.56E-03,1.06E-03,1.38E-04,2.11E+00
41,-3.61E-03,8.58E-04,1.93E-04,1.98E+00
42,-3.58E-03,9.65E-04,3.07E-04,2.01E+00
43,-3.46E-03,1.38E-03,-8.40E-05,2.32E+00
44,-3.53E-03,1.17E-03,-1.77E-04,1.99E+00
45,-3.52E-03,1.21E-03,1.18E-05,2.19E+00
46,-3.38E-03,1.54E-03,-1.60E-04,2.52E+00
47,-3.45E-03,1.36E-03,-2.81E-04,2.11E+00
48,-3.20E-03,1.88E-03,-2.62E-04,2.61E+00
49,-3.25E-03,1.76E-03,-4.11E-04,1.92E+00
50,-3.30E-03,1.71E-03,-2.19E-04,2.61E+00
51,-3.57E-03,1.03E-03,-6.76E-05,1.99E+00
52,-1.43E-03,3.30E-03,9.70E-04,5.24E+00
53,-1.30E-03,3.39E-03,8.53E-04,3.94E+00
54,-1.43E-03,3.24E-03,1.16E-03,5.69E+00
55,-1.25E-03,3.34E-03,1.08E-03,3.95E+00
56,-3.20E-03,1.38E-03,1.30E-03,3.62E+00
57,-3.14E-03,1.32E-03,1.48E-03,3.98E+00
58,-3.09E-03,1.50E-03,1.42E-03,4.29E+00
59,-2.98E-03,1.62E-03,1.53E-03,4.87E+00
60,-2.90E-03,1.58E-03,1.71E-03,5.12E+00
61,-3.45E-03,1.07E-03,8.63E-04,2.54E+00
62,-3.43E-03,9.80E-04,1.05E-03,2.76E+00
63,-3.38E-03,1.17E-03,1.02E-03,3.15E+00
64,-3.56E-03,9.47E-04,5.02E-04,2.20E+00
65,-3.57E-03,8.05E-04,6.46E-04,2.18E+00
66,-3.52E-03,9.94E-04,6.90E-04,2.29E+00
67,-3.35E-03,1.09E-03,1.20E-03,3.14E+00
68,-3.29E-03,1.27E-03,1.17E-03,3.38E+00
69,4.62E-03,3.31E-05,1.99E-03,2.22E-01
70,4.53E-03,-5.46E-05,2.14E-03,2.23E-01
71,4.61E-03,-1.56E-04,1.99E-03,2.23E-01
72,2.97E-03,-1.79E-03,1.33E-03,9.71E-01
73,3.12E-03,-1.70E-03,1.39E-03,7.31E-01
74,2.89E-03,-1.77E-03,1.51E-03,1.05E+00
75,3.06E-03,-1.66E-03,1.62E-03,6.84E-01
76,2.81E-03,-1.74E-03,1.69E-03,1.27E+00
77,2.94E-03,-1.62E-03,1.82E-03,7.97E-01
78,2.73E-03,-1.68E-03,1.86E-03,1.58E+00
79,2.86E-03,-1.56E-03,1.99E-03,9.50E-01
80,2.66E-03,-1.60E-03,2.03E-03,1.96E+00
81,2.79E-03,-1.47E-03,2.15E-03,1.20E+00
82,2.59E-03,-1.51E-03,2.19E-03,2.44E+00
83,2.72E-03,-1.38E-03,2.28E-03,1.53E+00
84,2.52E-03,-1.39E-03,2.34E-03,2.95E+00
85,2.66E-03,-1.26E-03,2.42E-03,1.89E+00
86,2.46E-03,-1.26E-03,2.47E-03,3.41E+00
87,2.61E-03,-1.13E-03,2.54E-03,2.25E+00
88,2.41E-03,-1.11E-03,2.59E-03,3.98E+00
89,2.56E-03,-9.79E-04,2.65E-03,2.57E+00
90,2.36E-03,-9.50E-04,2.70E-03,4.39E+00
91,2.52E-03,-8.21E-04,2.74E-03,2.65E+00
92,2.32E-03,-7.77E-04,2.79E-03,4.85E+00
93,2.49E-03,-6.51E-04,2.82E-03,2.82E+00
94,2.29E-03,-5.94E-04,2.86E-03,5.32E+00
95,2.46E-03,-4.73E-04,2.88E-03,3.05E+00
96,2.27E-03,-4.03E-04,2.91E-03,5.79E+00
97,2.44E-03,-2.90E-04,2.92E-03,3.11E+00
98,2.25E-03,-2.08E-04,2.95E-03,5.98E+00
99,2.43E-03,-1.02E-04,2.94E-03,3.06E+00
100,2.25E-03,-9.48E-06,2.96E-03,6.09E+00
101,2.43E-03,8.69E-05,2.94E-03,3.36E+00
102,2.25E-03,1.89E-04,2.95E-03,6.13E+00
103,2.44E-03,2.75E-04,2.92E-03,3.26E+00
104,2.26E-03,3.86E-04,2.92E-03,5.95E+00
105,2.45E-03,4.60E-04,2.89E-03,3.01E+00
106,2.28E-03,5.78E-04,2.88E-03,5.67E+00
107,2.48E-03,6.40E-04,2.84E-03,2.98E+00
108,2.31E-03,7.63E-04,2.81E-03,5.46E+00
109,2.51E-03,8.13E-04,2.77E-03,2.89E+00
110,2.35E-03,9.40E-04,2.73E-03,4.95E+00
111,2.55E-03,9.76E-04,2.68E-03,2.61E+00
112,2.39E-03,1.11E-03,2.63E-03,4.47E+00
113,2.59E-03,1.13E-03,2.57E-03,2.41E+00
114,2.44E-03,1.26E-03,2.51E-03,3.85E+00
115,2.64E-03,1.27E-03,2.45E-03,1.99E+00
116,2.50E-03,1.39E-03,2.38E-03,3.17E+00
117,2.70E-03,1.39E-03,2.32E-03,1.59E+00
118,2.56E-03,1.52E-03,2.23E-03,2.60E+00
119,2.76E-03,1.50E-03,2.18E-03,1.29E+00
120,2.63E-03,1.62E-03,2.08E-03,2.08E+00
121,2.83E-03,1.58E-03,2.03E-03,1.08E+00
122,2.70E-03,1.70E-03,1.91E-03,1.64E+00
123,2.90E-03,1.65E-03,1.87E-03,9.28E-01
124,2.78E-03,1.76E-03,1.74E-03,1.34E+00
125,2.97E-03,1.70E-03,1.70E-03,7.85E-01
126,2.86E-03,1.80E-03,1.56E-03,1.12E+00
127,3.05E-03,1.73E-03,1.53E-03,7.33E-01
128,2.94E-03,1.82E-03,1.38E-03,9.91E-01
129,3.05E-03,-1.78E-03,1.14E-03,8.66E-01
130,3.13E-03,1.74E-03,1.35E-03,7.64E-01
131,3.28E-03,-1.61E-03,1.45E-03,5.50E-01
132,3.02E-03,1.82E-03,1.20E-03,8.61E-01
133,3.20E-03,1.73E-03,1.18E-03,7.72E-01
134,3.10E-03,1.80E-03,1.02E-03,7.93E-01
135,3.28E-03,1.70E-03,1.01E-03,7.75E-01
136,3.17E-03,1.75E-03,8.39E-04,7.98E-01
137,3.35E-03,1.64E-03,8.44E-04,8.58E-01
138,3.25E-03,1.68E-03,6.67E-04,8.31E-01
139,3.42E-03,1.57E-03,6.84E-04,9.31E-01
140,3.32E-03,1.60E-03,5.04E-04,8.68E-01
141,4.49E-03,-2.39E-04,2.14E-03,2.26E-01
142,3.49E-03,1.48E-03,5.32E-04,1.03E+00
143,4.54E-03,1.68E-04,2.12E-03,2.25E-01
144,4.69E-03,-1.85E-05,1.80E-03,2.45E-01
145,3.39E-03,1.49E-03,3.50E-04,9.83E-01
146,3.55E-03,1.37E-03,3.90E-04,1.17E+00
147,3.45E-03,1.37E-03,2.08E-04,1.13E+00
148,3.61E-03,1.24E-03,2.61E-04,1.30E+00
149,3.51E-03,1.23E-03,7.95E-05,1.28E+00
150,3.66E-03,1.10E-03,1.44E-04,1.44E+00
151,3.56E-03,1.07E-03,-3.45E-05,1.44E+00
152,3.71E-03,9.47E-04,4.31E-05,1.57E+00
153,3.60E-03,9.05E-04,-1.32E-04,1.59E+00
154,3.74E-03,7.81E-04,-4.18E-05,1.70E+00
155,3.64E-03,7.26E-04,-2.12E-04,1.79E+00
156,3.11E-03,-1.56E-03,1.79E-03,5.19E-01
157,3.78E-03,6.06E-04,-1.09E-04,1.82E+00
158,3.67E-03,5.39E-04,-2.73E-04,1.93E+00
159,3.06E-03,-1.50E-03,1.95E-03,5.14E-01
160,3.80E-03,4.24E-04,-1.59E-04,1.86E+00
161,2.98E-03,-1.42E-03,2.12E-03,5.35E-01
162,3.69E-03,3.46E-04,-3.16E-04,2.05E+00
163,3.81E-03,2.38E-04,-1.91E-04,1.85E+00
164,2.88E-03,-1.37E-03,2.23E-03,7.25E-01
165,3.70E-03,1.49E-04,-3.39E-04,2.09E+00
166,3.19E-03,-1.70E-03,1.16E-03,7.24E-01
167,2.85E-03,-1.26E-03,2.36E-03,7.47E-01
168,3.82E-03,4.80E-05,-2.03E-04,1.88E+00
169,3.70E-03,-5.03E-05,-3.42E-04,2.03E+00
170,2.80E-03,-1.13E-03,2.49E-03,9.38E-01
171,3.25E-03,-1.55E-03,1.67E-03,4.73E-01
172,3.81E-03,-1.42E-04,-1.96E-04,1.84E+00
173,2.76E-03,-9.94E-04,2.60E-03,1.04E+00
174,3.69E-03,-2.48E-04,-3.25E-04,1.91E+00
175,3.80E-03,-3.30E-04,-1.70E-04,1.75E+00
176,2.71E-03,-8.51E-04,2.69E-03,1.21E+00
177,3.67E-03,-4.43E-04,-2.88E-04,1.76E+00
178,2.68E-03,-6.95E-04,2.77E-03,1.21E+00
179,3.78E-03,-5.13E-04,-1.26E-04,1.60E+00
180,3.65E-03,-6.32E-04,-2.32E-04,1.62E+00
181,2.65E-03,-5.30E-04,2.83E-03,1.26E+00
182,3.76E-03,-6.90E-04,-6.30E-05,1.51E+00
