Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
100,-9.91E-04,4.62E-03,1.06E-02,8.13E-02
101,-1.04E-03,-5.81E-03,1.40E-02,1.46E-01
102,-1.43E-03,3.85E-03,1.36E-02,8.30E-02
103,-2.39E-04,-1.02E-03,-1.36E-02,2.80E-01
104,-4.11E-04,-3.11E-03,1.61E-03,4.80E-02
105,-6.09E-04,8.57E-04,-6.22E-03,2.25E-01
106,1.46E-03,-9.05E-04,2.20E-03,2.53E-01
107,-1.82E-03,4.14E-03,1.29E-03,6.52E-02
108,-1.57E-03,-6.18E-03,1.27E-02,1.33E-01
109,-1.98E-03,-6.01E-03,1.33E-02,1.08E-01
110,-2.31E-03,-4.47E-03,1.23E-02,8.09E-02
111,-7.43E-04,4.28E-03,1.33E-02,9.16E-02
112,-8.45E-04,-6.24E-03,1.16E-02,1.16E-01
113,-4.45E-04,5.53E-03,1.13E-02,1.01E-01
114,-2.38E-03,5.64E-03,1.39E-02,8.10E-02
115,-6.04E-04,-8.25E-04,-1.24E-02,2.73E-01
116,7.99E-04,-6.49E-04,-1.04E-02,2.31E-01
117,-7.29E-05,-2.75E-03,2.87E-04,7.26E-02
118,2.67E-03,-9.61E-04,-2.72E-04,5.90E-02
119,9.40E-04,-5.78E-04,-8.81E-03,1.85E-01
120,-1.39E-03,-5.26E-03,7.23E-03,7.04E-02
121,-1.78E-03,1.17E-05,-2.13E-03,1.30E-02
122,8.42E-05,-1.74E-03,-2.16E-03,2.79E-02
123,6.43E-04,8.24E-04,-9.31E-03,2.62E-01
124,-7.60E-04,-7.09E-03,6.73E-03,1.78E-01
125,2.40E-03,-1.46E-03,2.33E-04,8.81E-02
126,1.07E-03,7.26E-05,-1.16E-02,2.33E-01
127,7.97E-04,6.43E-04,-1.26E-02,2.94E-01
128,-8.13E-04,-6.11E-04,-1.37E-02,2.97E-01
129,-1.00E-03,-2.66E-04,-8.84E-03,2.41E-01
130,-4.65E-04,2.82E-03,4.01E-04,5.68E-02
131,-2.49E-03,5.43E-03,1.25E-02,1.07E-01
132,-1.23E-03,1.09E-03,-2.37E-03,5.51E-02
133,-9.23E-04,4.91E-04,-4.83E-03,2.27E-01
134,-4.77E-04,6.22E-03,8.76E-03,1.24E-01
135,-4.05E-04,-6.28E-03,3.69E-03,8.89E-02
136,-1.71E-03,-7.16E-03,3.39E-03,7.89E-02
137,-8.00E-04,6.19E-03,2.63E-03,4.53E-02
138,-2.53E-03,6.02E-03,7.13E-03,1.09E-01
139,-1.54E-03,2.66E-03,6.43E-04,1.04E-01
140,-4.71E-04,1.01E-03,2.62E-03,2.31E-01
141,-1.54E-03,3.80E-03,3.49E-03,1.99E-01
142,3.57E-04,1.03E-03,-4.56E-03,1.84E-01
143,-2.01E-03,7.42E-03,4.74E-03,1.11E-01
144,-2.49E-03,6.15E-03,8.93E-03,1.34E-01
145,-9.95E-05,-1.10E-03,-3.34E-03,1.85E-01
146,1.43E-03,-1.34E-03,1.97E-03,2.08E-01
147,-5.48E-04,-6.07E-03,1.02E-02,1.45E-01
