Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,-3.38E-03,5.41E-04,-5.74E-04,2.20E-01
1,-3.42E-03,3.66E-04,-4.80E-04,2.28E-01
2,-3.41E-03,5.42E-04,-3.81E-04,2.36E-01
3,3.36E-03,3.86E-04,-7.90E-04,1.14E-01
4,3.38E-03,4.85E-04,-6.15E-04,1.29E-01
5,3.40E-03,2.43E-04,-6.47E-04,1.34E-01
6,-5.66E-04,2.75E-03,2.07E-03,8.15E-01
7,-5.93E-04,2.86E-03,1.90E-03,8.19E-01
8,-7.62E-04,2.79E-03,1.94E-03,9.42E-01
9,-7.87E-04,2.69E-03,2.07E-03,8.93E-01
10,-3.35E-03,5.41E-04,-7.65E-04,2.04E-01
11,-3.39E-03,3.66E-04,-6.74E-04,2.12E-01
12,3.37E-03,1.32E-04,-8.20E-04,1.16E-01
13,3.41E-03,-3.72E-06,-6.60E-04,1.36E-01
14,-8.45E-04,2.57E-03,2.19E-03,8.98E-01
15,-9.79E-04,2.64E-03,2.05E-03,9.95E-01
16,-1.04E-03,2.52E-03,2.17E-03,9.37E-01
17,-3.30E-03,5.41E-04,-9.55E-04,1.90E-01
18,-3.34E-03,3.66E-04,-8.66E-04,1.97E-01
19,3.37E-03,-1.38E-04,-8.39E-04,1.14E-01
20,3.40E-03,-2.52E-04,-6.45E-04,1.34E-01
21,-2.61E-03,-2.27E-03,1.34E-04,1.60E-01
22,-2.50E-03,-2.40E-03,5.43E-05,1.39E-01
23,-2.50E-03,-2.38E-03,2.75E-04,1.88E-01
24,-3.24E-03,5.41E-04,-1.14E-03,1.77E-01
25,-3.29E-03,3.66E-04,-1.06E-03,1.83E-01
26,-2.60E-03,-2.26E-03,3.53E-04,2.07E-01
27,3.35E-03,-4.08E-04,-7.96E-04,1.15E-01
28,3.38E-03,-4.96E-04,-6.05E-04,1.31E-01
29,-3.17E-03,5.41E-04,-1.32E-03,1.66E-01
30,-3.22E-03,3.66E-04,-1.24E-03,1.72E-01
31,3.33E-03,-6.57E-04,-7.35E-04,1.12E-01
32,3.35E-03,-7.31E-04,-5.37E-04,1.28E-01
33,2.95E-04,5.37E-04,3.42E-03,9.28E-01
34,8.60E-05,5.36E-04,3.43E-03,6.97E-01
35,1.90E-04,3.69E-04,3.45E-03,6.65E-01
36,-3.09E-03,5.41E-04,-1.50E-03,1.56E-01
37,-3.15E-03,3.66E-04,-1.42E-03,1.61E-01
38,3.28E-03,-9.06E-04,-6.72E-04,1.08E-01
39,3.30E-03,-9.56E-04,-4.48E-04,1.28E-01
40,-2.99E-03,5.41E-04,-1.68E-03,1.47E-01
41,-3.06E-03,3.66E-04,-1.60E-03,1.51E-01
42,3.24E-03,-1.12E-03,-5.47E-04,1.10E-01
43,3.24E-03,-1.19E-03,-3.46E-04,1.23E-01
44,-1.28E-03,-6.62E-04,-3.16E-03,1.92E-01
45,-1.13E-03,-5.79E-04,-3.23E-03,2.42E-01
46,-1.09E-03,-7.50E-04,-3.21E-03,2.16E-01
47,6.03E-04,3.19E-05,3.42E-03,1.23E+00
48,4.01E-04,2.36E-05,3.45E-03,9.39E-01
49,5.07E-04,-1.50E-04,3.43E-03,1.13E+00
50,-2.89E-03,5.41E-04,-1.84E-03,1.39E-01
51,-2.97E-03,3.66E-04,-1.77E-03,1.43E-01
52,3.16E-03,-1.36E-03,-3.94E-04,1.08E-01
53,3.18E-03,-1.35E-03,-2.03E-04,1.24E-01
54,-2.19E-03,1.97E-03,1.84E-03,6.98E-01
55,-2.06E-03,2.11E-03,1.84E-03,7.42E-01
56,-2.16E-03,2.14E-03,1.69E-03,7.08E-01
57,-2.29E-03,2.04E-03,1.64E-03,6.47E-01
58,-2.78E-03,5.41E-04,-2.01E-03,1.32E-01
59,-2.86E-03,3.66E-04,-1.94E-03,1.35E-01
60,2.11E-04,-6.79E-04,3.40E-03,1.10E+00
61,3.10E-04,-5.04E-04,3.42E-03,1.07E+00
62,1.07E-04,-5.07E-04,3.43E-03,8.54E-01
63,-2.42E-03,1.94E-03,1.57E-03,6.01E-01
64,-2.36E-03,2.11E-03,1.45E-03,5.95E-01
65,-2.49E-03,2.00E-03,1.38E-03,5.46E-01
66,-2.67E-03,5.41E-04,-2.16E-03,1.25E-01
67,-2.74E-03,3.66E-04,-2.10E-03,1.29E-01
68,-2.54E-03,5.41E-04,-2.31E-03,1.19E-01
69,-2.62E-03,3.66E-04,-2.25E-03,1.22E-01
70,-2.40E-03,5.41E-04,-2.45E-03,1.16E-01
71,-2.49E-03,3.66E-04,-2.40E-03,1.17E-01
72,2.54E-03,-2.15E-03,9.76E-04,1.82E-01
73,2.65E-03,-2.04E-03,8.96E-04,1.72E-01
74,2.61E-03,-2.00E-03,1.09E-03,1.99E-01
75,-2.26E-03,5.42E-04,-2.58E-03,1.14E-01
76,-2.35E-03,3.66E-04,-2.53E-03,1.15E-01
77,2.74E-03,-2.03E-03,6.05E-04,1.41E-01
78,2.82E-03,-1.92E-03,5.90E-04,1.45E-01
79,2.75E-03,-1.96E-03,7.56E-04,1.58E-01
80,-2.11E-03,5.43E-04,-2.71E-03,1.14E-01
81,-2.20E-03,3.66E-04,-2.66E-03,1.15E-01
82,-1.95E-03,5.45E-04,-2.83E-03,1.18E-01
83,-2.04E-03,3.67E-04,-2.78E-03,1.17E-01
84,-1.78E-03,5.45E-04,-2.93E-03,1.29E-01
85,-1.88E-03,3.67E-04,-2.90E-03,1.25E-01
86,-2.74E-03,2.01E-03,7.44E-04,3.74E-01
87,-2.63E-03,2.11E-03,8.69E-04,4.05E-01
88,-2.64E-03,2.18E-03,6.46E-04,3.51E-01
89,2.02E-03,-1.76E-03,2.20E-03,6.24E-01
90,2.16E-03,-1.68E-03,2.13E-03,5.72E-01
91,2.09E-03,-1.62E-03,2.24E-03,6.45E-01
92,-1.62E-03,5.45E-04,-3.03E-03,1.47E-01
93,-1.71E-03,3.68E-04,-3.00E-03,1.41E-01
94,-2.75E-03,2.07E-03,5.20E-04,3.26E-01
95,-2.64E-03,2.23E-03,4.31E-04,2.96E-01
96,1.99E-03,-1.64E-03,2.32E-03,7.18E-01
97,2.08E-03,-1.52E-03,2.32E-03,7.14E-01
98,1.99E-03,-1.48E-03,2.42E-03,8.07E-01
99,-1.44E-03,5.66E-04,-3.11E-03,1.73E-01
100,-1.54E-03,3.77E-04,-3.09E-03,1.68E-01
101,1.88E-03,-1.48E-03,2.51E-03,8.89E-01
102,2.00E-03,-1.36E-03,2.48E-03,8.69E-01
103,1.92E-03,-1.29E-03,2.58E-03,9.59E-01
104,1.81E-03,-1.27E-03,2.67E-03,1.04E+00
105,1.93E-03,-1.16E-03,2.63E-03,1.02E+00
106,1.84E-03,-1.09E-03,2.73E-03,1.11E+00
107,1.70E-03,-1.03E-03,2.84E-03,1.22E+00
108,1.85E-03,-8.95E-04,2.79E-03,1.19E+00
109,-2.13E-03,2.72E-03,-4.28E-04,1.33E-01
110,-2.17E-03,2.71E-03,-2.47E-04,1.56E-01
111,-2.04E-03,2.81E-03,-2.75E-04,1.96E-01
112,-1.64E-03,3.03E-03,-5.04E-04,2.33E-01
113,-1.73E-03,3.00E-03,-3.35E-04,2.85E-01
114,-1.54E-03,3.11E-03,-3.38E-04,3.31E-01
115,1.69E-03,8.55E-04,2.91E-03,1.35E+00
116,1.83E-03,7.37E-04,2.86E-03,1.32E+00
117,1.82E-03,8.99E-04,2.82E-03,1.27E+00
118,1.73E-03,1.01E-03,2.84E-03,1.27E+00
119,1.87E-03,1.01E-03,2.75E-03,1.20E+00
120,-8.58E-04,3.37E-03,-2.55E-04,3.23E-01
121,-9.71E-04,3.35E-03,-1.32E-04,4.23E-01
122,-8.36E-04,3.38E-03,-6.61E-05,4.30E-01
123,1.79E-03,1.11E-03,2.77E-03,1.19E+00
124,1.88E-03,1.12E-03,2.70E-03,1.12E+00
125,1.82E-03,1.22E-03,2.70E-03,1.10E+00
126,1.94E-03,1.20E-03,2.63E-03,1.05E+00
127,-6.58E-04,3.42E-03,-1.75E-04,2.91E-01
128,-7.07E-04,3.41E-03,5.03E-05,4.21E-01
129,1.91E-03,1.33E-03,2.59E-03,9.91E-01
130,1.83E-03,1.50E-03,2.55E-03,9.49E-01
131,2.00E-03,1.45E-03,2.45E-03,8.53E-01
132,-2.92E-04,3.46E-03,3.25E-04,2.55E-01
133,-4.52E-04,3.45E-03,2.62E-04,3.42E-01
134,-4.07E-04,3.44E-03,4.35E-04,3.68E-01
135,-2.59E-04,3.44E-03,5.27E-04,2.78E-01
136,3.97E-04,3.72E-04,3.43E-03,9.80E-01
137,4.99E-04,2.03E-04,3.43E-03,1.09E+00
138,2.96E-04,1.97E-04,3.46E-03,7.65E-01
139,-2.48E-05,3.22E-03,1.34E-03,3.50E-01
140,-1.51E-04,3.27E-03,1.20E-03,3.52E-01
141,-2.26E-04,3.19E-03,1.39E-03,4.50E-01
142,9.89E-06,-6.82E-04,3.40E-03,9.52E-01
143,2.58E-03,2.15E-03,9.23E-04,1.53E-01
144,2.63E-03,2.03E-03,1.03E-03,1.69E-01
145,2.67E-03,2.05E-03,8.89E-04,1.50E-01
146,-7.67E-05,3.13E-03,1.52E-03,4.42E-01
147,-2.92E-04,3.10E-03,1.56E-03,5.55E-01
148,2.65E-03,2.11E-03,7.84E-04,1.38E-01
149,2.74E-03,1.99E-03,7.94E-04,1.42E-01
150,-1.89E-04,-6.84E-04,3.40E-03,8.83E-01
151,-9.36E-05,-5.10E-04,3.43E-03,7.18E-01
152,-1.49E-04,3.03E-03,1.72E-03,5.56E-01
153,-3.72E-04,3.01E-03,1.71E-03,6.49E-01
154,2.76E-03,2.01E-03,6.59E-04,1.29E-01
155,2.74E-03,2.07E-03,5.30E-04,1.17E-01
156,2.83E-03,1.94E-03,5.76E-04,1.26E-01
157,-3.85E-04,-6.85E-04,3.38E-03,9.06E-01
158,-2.92E-04,-5.11E-04,3.42E-03,7.22E-01
159,-2.88E-04,2.93E-03,1.86E-03,6.55E-01
160,-4.73E-04,2.93E-03,1.82E-03,7.32E-01
161,2.85E-03,1.96E-03,4.40E-04,1.16E-01
162,2.84E-03,1.99E-03,2.94E-04,1.05E-01
163,2.91E-03,1.87E-03,3.61E-04,1.15E-01
164,-4.05E-04,2.85E-03,1.97E-03,7.37E-01
165,2.92E-03,1.87E-03,2.24E-04,1.06E-01
166,2.47E-03,-2.12E-03,1.18E-03,2.15E-01
167,2.93E-03,1.88E-03,7.23E-05,9.82E-02
168,3.00E-03,1.76E-03,1.55E-04,1.10E-01
169,3.01E-03,1.74E-03,1.89E-05,1.03E-01
170,2.39E-03,-2.09E-03,1.39E-03,2.64E-01
171,2.53E-03,-1.97E-03,1.31E-03,2.37E-01
172,3.02E-03,1.72E-03,-1.34E-04,9.48E-02
173,3.08E-03,1.61E-03,-3.71E-05,1.07E-01
174,3.10E-03,1.57E-03,-1.71E-04,1.01E-01
175,2.29E-03,-2.04E-03,1.61E-03,3.27E-01
176,2.44E-03,-1.93E-03,1.52E-03,2.91E-01
177,3.11E-03,1.53E-03,-3.13E-04,9.50E-02
178,3.17E-03,1.42E-03,-2.10E-04,1.09E-01
179,-1.09E-03,2.39E-03,2.29E-03,9.30E-01
180,-1.21E-03,2.46E-03,2.15E-03,9.49E-01
181,3.19E-03,1.36E-03,-3.26E-04,1.05E-01
182,2.20E-03,-1.98E-03,1.81E-03,4.05E-01
183,2.35E-03,-1.87E-03,1.73E-03,3.64E-01
184,3.19E-03,1.32E-03,-4.64E-04,9.86E-02
185,3.24E-03,1.21E-03,-3.54E-04,1.14E-01
186,3.25E-03,1.13E-03,-4.78E-04,1.09E-01
187,3.24E-03,1.08E-03,-6.44E-04,9.95E-02
188,3.31E-03,9.38E-04,-5.14E-04,1.17E-01
189,2.07E-03,-1.85E-03,2.07E-03,5.41E-01
190,-1.85E-03,2.06E-03,2.11E-03,8.23E-01
191,-1.80E-03,2.22E-03,1.99E-03,8.69E-01
192,-1.93E-03,2.15E-03,1.94E-03,8.13E-01
193,-2.04E-03,1.97E-03,2.01E-03,7.60E-01
194,1.70E-03,-8.26E-04,2.91E-03,1.29E+00
195,-2.62E-03,1.89E-03,1.31E-03,5.09E-01
196,-2.55E-03,2.04E-03,1.19E-03,4.85E-01
197,1.69E-03,-5.96E-04,2.97E-03,1.37E+00
198,1.84E-03,-6.77E-04,2.86E-03,1.27E+00
199,1.67E-03,-3.50E-04,3.02E-03,1.44E+00
200,1.82E-03,-4.45E-04,2.92E-03,1.34E+00
201,-1.09E-03,9.56E-04,-3.16E-03,1.87E-01
202,-9.56E-04,8.39E-04,-3.23E-03,2.38E-01
203,-1.14E-03,7.50E-04,-3.19E-03,2.14E-01
204,3.12E-03,-1.49E-03,-2.88E-04,1.09E-01
205,3.13E-03,-1.48E-03,-1.37E-04,1.21E-01
206,2.67E-03,-2.10E-03,6.96E-04,1.49E-01
207,1.66E-03,-1.02E-04,3.05E-03,1.49E+00
208,1.81E-03,-2.06E-04,2.96E-03,1.42E+00
209,-1.37E-03,7.61E-04,-3.10E-03,1.68E-01
210,-1.26E-03,5.72E-04,-3.19E-03,2.12E-01
211,3.08E-03,-1.58E-03,-1.68E-04,1.13E-01
212,3.11E-03,-1.52E-03,-2.61E-05,1.27E-01
213,3.05E-03,-1.64E-03,-8.16E-07,1.21E-01
214,1.64E-03,1.44E-04,3.06E-03,1.51E+00
215,1.80E-03,3.43E-05,2.97E-03,1.44E+00
216,2.98E-03,-1.77E-03,-4.93E-06,1.13E-01
217,3.03E-03,-1.68E-03,1.27E-04,1.28E-01
218,2.96E-03,-1.79E-03,1.72E-04,1.23E-01
219,-6.58E-04,1.29E-03,-3.16E-03,1.56E-01
220,-5.11E-04,1.17E-03,-3.23E-03,1.98E-01
221,-7.14E-04,1.10E-03,-3.22E-03,2.00E-01
222,1.62E-03,4.18E-04,3.04E-03,1.49E+00
223,1.80E-03,2.76E-04,2.96E-03,1.43E+00
224,2.88E-03,-1.92E-03,2.15E-04,1.20E-01
225,2.94E-03,-1.81E-03,3.30E-04,1.32E-01
226,2.86E-03,-1.91E-03,4.09E-04,1.32E-01
