Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
102,2.42E-03,6.54E-04,1.42E-04,1.66E+00
103,2.50E-03,-7.79E-05,1.34E-04,2.49E+00
104,2.50E-03,1.78E-05,-4.21E-05,2.17E+00
105,2.50E-03,1.15E-04,1.33E-04,2.45E+00
106,2.48E-03,3.04E-04,1.69E-04,2.34E+00
107,2.46E-03,4.58E-04,4.07E-05,1.86E+00
108,-2.22E-03,-1.10E-03,-2.82E-04,2.76E+00
109,-2.17E-03,-1.13E-03,-4.75E-04,1.38E+00
110,-2.12E-03,-1.27E-03,-3.36E-04,2.23E+00
111,-1.75E-03,-1.73E-03,-4.01E-04,2.59E+00
112,-1.65E-03,-1.78E-03,-5.66E-04,2.51E+00
113,-1.61E-03,-1.87E-03,-3.86E-04,3.47E+00
114,-2.01E-03,-9.55E-04,1.13E-03,7.34E+00
115,-2.06E-03,-7.67E-04,1.18E-03,7.38E+00
116,-2.12E-03,-8.47E-04,1.01E-03,6.90E+00
117,-5.82E-04,-2.36E-03,5.45E-04,4.54E+00
118,-4.01E-04,-2.37E-03,6.32E-04,3.79E+00
119,-5.60E-04,-2.31E-03,7.38E-04,5.52E+00
120,-2.26E-03,5.74E-04,9.21E-04,5.94E+00
121,-2.42E-03,-5.07E-04,3.63E-04,3.82E+00
122,-2.47E-03,-3.30E-04,2.33E-04,3.31E+00
123,-2.44E-03,-5.16E-04,1.67E-04,3.09E+00
124,-1.61E-03,1.90E-03,-3.76E-04,3.07E+00
125,-1.65E-03,1.81E-03,-5.56E-04,2.09E+00
126,-6.44E-04,-2.38E-03,3.57E-04,4.78E+00
127,-4.51E-04,-2.41E-03,4.03E-04,4.06E+00
128,-2.37E-03,-5.64E-04,5.48E-04,4.37E+00
129,-2.42E-03,-3.54E-04,5.19E-04,4.26E+00
130,-7.39E-04,-2.37E-03,1.82E-04,4.97E+00
131,-5.44E-04,-2.42E-03,1.88E-04,4.51E+00
132,-3.99E-04,-2.30E-03,8.59E-04,5.10E+00
