Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,2.23E-03,9.42E-04,4.24E-03,1.02E+00
1,2.38E-03,7.81E-04,4.20E-03,9.89E-01
2,2.39E-03,1.04E-03,4.13E-03,9.44E-01
3,4.29E-03,-8.94E-04,-2.14E-03,5.00E-02
4,4.38E-03,-7.32E-04,-2.01E-03,5.37E-02
5,4.36E-03,-9.76E-04,-1.95E-03,5.19E-02
6,2.24E-03,-9.71E-04,4.23E-03,1.01E+00
7,2.41E-03,-1.06E-03,4.11E-03,9.35E-01
8,2.40E-03,-8.05E-04,4.17E-03,9.79E-01
9,4.29E-03,1.01E-03,-2.11E-03,5.08E-02
10,4.36E-03,1.10E-03,-1.92E-03,5.31E-02
11,4.38E-03,8.47E-04,-1.98E-03,5.46E-02
12,2.20E-03,6.75E-04,4.31E-03,1.07E+00
13,2.37E-03,5.16E-04,4.24E-03,1.02E+00
14,4.30E-03,-6.32E-04,-2.21E-03,5.16E-02
15,4.40E-03,-4.72E-04,-2.05E-03,5.53E-02
16,2.24E-03,-7.05E-04,4.28E-03,1.04E+00
17,2.39E-03,-5.45E-04,4.22E-03,1.01E+00
18,4.32E-03,7.46E-04,-2.15E-03,5.22E-02
19,4.41E-03,5.87E-04,-2.02E-03,5.55E-02
20,2.22E-03,3.96E-04,4.33E-03,1.09E+00
21,2.38E-03,2.50E-04,4.26E-03,1.03E+00
22,4.34E-03,-3.54E-04,-2.21E-03,5.32E-02
23,4.42E-03,-2.08E-04,-2.06E-03,5.62E-02
24,-2.13E-03,2.95E-03,3.27E-03,5.84E-01
25,-2.30E-03,2.92E-03,3.17E-03,5.62E-01
26,-2.30E-03,2.77E-03,3.31E-03,5.91E-01
27,2.23E-03,-4.30E-04,4.32E-03,1.07E+00
28,2.38E-03,-2.81E-04,4.25E-03,1.03E+00
29,4.34E-03,4.70E-04,-2.18E-03,5.28E-02
30,4.42E-03,3.23E-04,-2.04E-03,5.61E-02
31,2.23E-03,1.19E-04,4.34E-03,1.10E+00
32,2.38E-03,-1.58E-05,4.26E-03,1.03E+00
33,4.35E-03,-7.79E-05,-2.22E-03,5.34E-02
34,4.43E-03,5.80E-05,-2.06E-03,5.64E-02
35,2.23E-03,-1.54E-04,4.34E-03,1.09E+00
36,-2.03E-03,4.37E-03,-8.51E-04,1.15E-01
37,-2.03E-03,4.40E-03,-6.82E-04,1.29E-01
38,-1.86E-03,4.47E-03,-7.42E-04,1.19E-01
