Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
0,6.67E-03,-1.66E-04,2.88E-03,9.09E-02
1,6.68E-03,3.31E-05,2.88E-03,8.98E-02
2,6.59E-03,-6.38E-05,3.04E-03,9.35E-02
3,4.52E-03,-2.82E-03,2.21E-03,3.07E-01
4,4.60E-03,-2.84E-03,2.03E-03,3.08E-01
5,4.76E-03,-2.73E-03,2.09E-03,2.64E-01
6,4.69E-03,-2.69E-03,2.33E-03,2.59E-01
7,4.45E-03,-2.80E-03,2.39E-03,3.21E-01
8,4.57E-03,-2.67E-03,2.53E-03,2.80E-01
9,4.37E-03,-2.76E-03,2.57E-03,3.48E-01
10,4.49E-03,-2.63E-03,2.71E-03,2.99E-01
11,4.29E-03,-2.71E-03,2.75E-03,3.55E-01
12,4.41E-03,-2.57E-03,2.88E-03,2.99E-01
13,4.22E-03,-2.64E-03,2.92E-03,3.67E-01
14,4.34E-03,-2.51E-03,3.04E-03,3.18E-01
15,4.15E-03,-2.56E-03,3.09E-03,4.07E-01
16,4.27E-03,-2.43E-03,3.19E-03,3.41E-01
17,4.08E-03,-2.47E-03,3.25E-03,4.50E-01
18,4.21E-03,-2.33E-03,3.35E-03,3.73E-01
19,4.01E-03,-2.37E-03,3.41E-03,4.73E-01
20,4.14E-03,-2.23E-03,3.49E-03,3.98E-01
21,3.95E-03,-2.25E-03,3.56E-03,5.19E-01
22,4.08E-03,-2.11E-03,3.63E-03,4.29E-01
23,3.89E-03,-2.13E-03,3.70E-03,5.79E-01
24,4.03E-03,-1.99E-03,3.77E-03,4.67E-01
25,3.83E-03,-1.99E-03,3.84E-03,6.47E-01
26,3.97E-03,-1.85E-03,3.89E-03,5.16E-01
27,3.78E-03,-1.84E-03,3.96E-03,7.27E-01
28,3.92E-03,-1.70E-03,4.01E-03,5.62E-01
29,3.73E-03,-1.69E-03,4.08E-03,8.09E-01
30,3.88E-03,-1.55E-03,4.11E-03,6.02E-01
31,3.68E-03,-1.52E-03,4.18E-03,9.09E-01
32,3.84E-03,-1.39E-03,4.21E-03,6.65E-01
33,3.64E-03,-1.35E-03,4.27E-03,1.01E+00
34,3.80E-03,-1.22E-03,4.29E-03,7.32E-01
35,3.61E-03,-1.17E-03,4.36E-03,1.13E+00
36,3.77E-03,-1.04E-03,4.37E-03,7.82E-01
37,3.58E-03,-9.88E-04,4.43E-03,1.25E+00
