Node Number, X [ m ], Y [ m ], Z [ m ], Wall Shear [ Pa ]
103,2.63E-03,-1.09E-03,8.34E-04,8.08E-01
104,2.24E-03,8.00E-04,1.96E-03,4.78E-01
105,2.46E-03,-1.18E-03,7.53E-04,9.36E-01
106,3.32E-03,5.18E-05,1.95E-03,1.22E-01
107,3.50E-03,2.56E-04,1.71E-03,1.02E-01
108,2.31E-03,9.24E-04,1.82E-03,4.17E-01
109,2.33E-03,1.02E-03,1.70E-03,4.12E-01
110,2.47E-03,1.07E-03,1.54E-03,3.52E-01
111,2.77E-03,-9.77E-04,1.32E-03,3.58E-01
112,2.51E-03,1.12E-03,1.38E-03,4.25E-01
113,2.75E-03,-9.17E-04,1.52E-03,2.71E-01
114,2.93E-03,-8.73E-04,1.39E-03,2.50E-01
115,2.54E-03,1.15E-03,1.25E-03,4.80E-01
116,2.91E-03,-8.05E-04,1.59E-03,1.95E-01
117,2.66E-03,1.11E-03,1.12E-03,4.96E-01
118,3.08E-03,-7.60E-04,1.45E-03,1.77E-01
119,3.07E-03,-6.85E-04,1.64E-03,1.48E-01
120,2.72E-03,1.09E-03,9.51E-04,6.00E-01
121,3.22E-03,-6.35E-04,1.52E-03,1.34E-01
122,2.79E-03,1.02E-03,8.04E-04,6.46E-01
123,3.20E-03,-5.56E-04,1.70E-03,1.37E-01
124,2.78E-03,-1.00E-03,1.11E-03,4.68E-01
125,3.35E-03,-4.97E-04,1.57E-03,1.25E-01
126,2.86E-03,9.32E-04,6.67E-04,7.09E-01
127,3.31E-03,-4.10E-04,1.76E-03,1.26E-01
128,2.96E-03,-8.87E-04,1.17E-03,3.21E-01
129,2.92E-03,8.20E-04,5.46E-04,7.52E-01
130,3.07E-03,-8.00E-04,1.28E-03,2.20E-01
131,2.97E-03,6.87E-04,4.42E-04,7.70E-01
132,3.21E-03,-6.92E-04,1.31E-03,1.60E-01
133,3.01E-03,5.38E-04,3.58E-04,8.34E-01
134,3.35E-03,-5.57E-04,1.37E-03,1.33E-01
135,3.04E-03,3.75E-04,2.96E-04,8.39E-01
136,3.47E-03,-4.09E-04,1.42E-03,1.22E-01
137,3.06E-03,2.04E-04,2.57E-04,8.26E-01
138,3.07E-03,2.77E-05,2.44E-04,8.34E-01
139,3.06E-03,-1.48E-04,2.56E-04,8.39E-01
140,3.04E-03,-3.19E-04,2.94E-04,8.46E-01
141,3.02E-03,-4.81E-04,3.64E-04,8.23E-01
142,2.98E-03,-6.37E-04,4.53E-04,7.85E-01
143,2.92E-03,-7.67E-04,5.37E-04,8.00E-01
144,2.91E-03,-8.61E-04,7.06E-04,6.63E-01
145,2.79E-03,-9.81E-04,8.16E-04,6.56E-01
146,2.57E-03,-9.26E-04,1.65E-03,2.68E-01
147,2.71E-03,-8.19E-04,1.72E-03,1.98E-01
148,2.87E-03,-7.10E-04,1.77E-03,1.77E-01
149,3.01E-03,-5.87E-04,1.82E-03,1.56E-01
150,3.13E-03,-4.49E-04,1.87E-03,1.45E-01
151,2.75E-03,-1.03E-03,9.50E-04,5.80E-01
152,3.23E-03,-2.97E-04,1.91E-03,1.35E-01
153,3.61E-03,1.84E-04,1.33E-03,1.29E-01
154,3.60E-03,-1.47E-04,1.30E-03,1.26E-01
155,2.93E-03,-9.02E-04,9.49E-04,4.59E-01
156,3.29E-03,2.33E-04,1.93E-03,1.26E-01
157,3.38E-03,3.13E-04,1.82E-03,1.11E-01
158,3.14E-03,-7.45E-04,1.06E-03,2.51E-01
159,3.32E-03,-5.84E-04,1.17E-03,1.48E-01
160,3.44E-03,-4.44E-04,1.23E-03,1.29E-01
161,3.54E-03,-2.96E-04,1.27E-03,1.31E-01
162,3.49E-03,3.92E-04,1.58E-03,1.10E-01
163,3.17E-03,-2.06E-05,2.03E-03,1.45E-01
164,2.53E-03,-7.92E-04,1.84E-03,2.00E-01
165,2.40E-03,-6.66E-04,1.99E-03,1.84E-01
166,2.37E-03,-4.71E-04,2.11E-03,1.42E-01
167,2.25E-03,-2.93E-04,2.19E-03,2.04E-01
168,3.61E-03,1.11E-05,1.22E-03,1.37E-01
169,2.30E-03,2.76E-05,2.23E-03,1.31E-01
170,3.53E-03,3.73E-04,1.40E-03,1.20E-01
171,2.24E-03,1.89E-04,2.22E-03,2.01E-01
172,3.13E-03,-1.75E-04,2.02E-03,1.49E-01
173,2.36E-03,4.90E-04,2.13E-03,1.40E-01
174,2.33E-03,6.56E-04,2.04E-03,2.05E-01
175,3.17E-03,1.47E-04,2.02E-03,1.41E-01
176,3.42E-03,3.88E-04,1.72E-03,1.10E-01
177,2.52E-03,7.89E-04,1.89E-03,1.59E-01
178,2.49E-03,9.43E-04,1.73E-03,2.34E-01
