Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0,-4.43E-04,3.64E-12,-1.33E-02,5.51E-01
1,-3.85E-04,1.82E-12,-1.30E-02,5.66E-01
2,-1.05E-04,1.36E-12,-1.31E-02,5.56E-01
3,1.61E-04,3.64E-12,-1.29E-02,5.71E-01
4,2.35E-04,0.00E+00,-1.30E-02,5.67E-01
5,-7.03E-05,1.36E-12,-1.31E-02,5.57E-01
6,-2.23E-05,0.00E+00,-1.32E-02,5.52E-01
7,-8.47E-05,8.64E-12,-1.31E-02,5.57E-01
8,-3.17E-04,-3.64E-12,-1.28E-02,5.73E-01
9,-3.18E-04,0.00E+00,-1.29E-02,5.71E-01
10,-5.20E-05,-7.28E-12,-1.27E-02,5.78E-01
11,-2.65E-05,1.46E-11,-1.28E-02,5.73E-01
12,6.39E-04,-7.28E-12,-1.35E-02,5.43E-01
13,5.66E-04,7.28E-12,-1.36E-02,5.35E-01
14,1.43E-04,0.00E+00,-1.34E-02,5.42E-01
15,-4.61E-05,7.28E-12,-1.10E-02,6.41E-01
16,-1.48E-04,-7.28E-12,-1.13E-02,6.32E-01
17,5.77E-05,7.28E-12,-1.13E-02,6.34E-01
18,-3.23E-04,0.00E+00,-1.17E-02,6.22E-01
19,-4.33E-04,0.00E+00,-1.16E-02,6.11E-01
20,-2.73E-04,7.28E-12,-1.15E-02,6.27E-01
21,-6.30E-05,7.28E-12,-1.14E-02,6.29E-01
22,-4.71E-04,-7.28E-12,-1.14E-02,6.14E-01
23,-3.44E-04,-1.82E-12,-1.12E-02,6.36E-01
24,-1.09E-04,-3.64E-12,-1.17E-02,6.20E-01
25,1.37E-04,0.00E+00,-1.18E-02,6.17E-01
26,5.49E-05,3.64E-12,-1.23E-02,5.97E-01
27,1.75E-04,7.28E-12,-1.25E-02,5.91E-01
28,-1.63E-04,0.00E+00,-1.25E-02,5.90E-01
29,-2.05E-04,-1.46E-11,-1.23E-02,5.99E-01
30,-6.13E-04,1.46E-11,-1.12E-02,5.94E-01
31,-6.31E-04,7.28E-12,-1.14E-02,5.88E-01
32,-5.70E-04,7.28E-12,-1.26E-02,5.77E-01
33,3.33E-04,0.00E+00,-1.16E-02,6.25E-01
34,3.40E-04,9.09E-12,-1.16E-02,6.23E-01
35,3.31E-04,1.00E-11,-1.16E-02,6.24E-01
36,-5.39E-04,0.00E+00,-1.25E-02,5.81E-01
37,3.38E-04,0.00E+00,-1.16E-02,6.23E-01
38,3.24E-04,-4.55E-12,-1.16E-02,6.23E-01
39,3.51E-04,1.00E-11,-1.16E-02,6.22E-01
40,5.87E-04,-1.09E-11,-1.13E-02,5.89E-01
41,6.52E-04,0.00E+00,-1.13E-02,5.78E-01
42,3.98E-04,-9.09E-13,-1.15E-02,6.15E-01
43,1.90E-04,7.28E-12,-1.19E-02,6.13E-01
44,2.65E-04,0.00E+00,-1.40E-02,5.06E-01
45,-9.81E-05,0.00E+00,-1.41E-02,4.99E-01
46,1.04E-04,0.00E+00,-1.38E-02,5.18E-01
47,3.04E-04,-7.28E-12,-1.38E-02,5.23E-01
48,2.76E-04,0.00E+00,-1.42E-02,4.95E-01
49,-1.23E-04,0.00E+00,-1.42E-02,4.94E-01
50,-2.30E-04,7.28E-12,-1.38E-02,5.19E-01
51,-2.10E-04,-3.64E-12,-1.41E-02,4.99E-01
52,6.39E-04,-5.46E-12,-1.18E-02,5.84E-01
53,5.85E-04,1.82E-12,-1.18E-02,5.88E-01
54,4.04E-04,7.28E-12,-1.20E-02,6.00E-01
55,6.37E-04,7.28E-12,-1.22E-02,5.77E-01
56,-4.13E-04,-3.64E-12,-1.22E-02,5.91E-01
57,-2.29E-04,7.28E-12,-1.21E-02,6.04E-01
58,3.24E-04,0.00E+00,-1.30E-02,5.71E-01
59,3.48E-04,0.00E+00,-1.31E-02,5.67E-01
60,1.02E-04,0.00E+00,-1.34E-02,5.43E-01
61,1.13E-04,-7.73E-12,-1.34E-02,5.43E-01
62,2.54E-04,0.00E+00,-1.12E-02,6.37E-01
63,5.30E-04,-7.28E-12,-1.33E-02,5.55E-01
64,1.11E-04,-7.73E-12,-1.34E-02,5.42E-01
65,-6.06E-04,-7.28E-12,-1.26E-02,5.76E-01
66,6.46E-04,0.00E+00,-1.18E-02,5.84E-01
67,-6.29E-04,-7.28E-12,-1.23E-02,5.77E-01
68,-6.01E-04,-7.28E-12,-1.22E-02,5.81E-01
69,-4.48E-04,3.64E-12,-1.35E-02,5.44E-01
70,-2.88E-04,0.00E+00,-1.37E-02,5.27E-01
71,8.78E-05,6.37E-12,-1.34E-02,5.41E-01
72,3.10E-04,-4.55E-12,-1.16E-02,6.24E-01
73,-5.30E-04,3.64E-12,-1.34E-02,5.51E-01
74,-6.12E-04,0.00E+00,-1.35E-02,5.43E-01
75,-3.22E-04,0.00E+00,-1.11E-02,6.39E-01
76,-6.42E-04,0.00E+00,-1.16E-02,5.77E-01
77,-3.75E-04,0.00E+00,-1.11E-02,6.32E-01
78,1.04E-04,2.14E-11,-1.34E-02,5.42E-01
79,-6.83E-04,0.00E+00,-1.30E-02,5.50E-01
80,-6.16E-04,5.46E-12,-1.26E-02,5.73E-01
81,-3.98E-04,-5.46E-12,-1.29E-02,5.67E-01
82,-5.96E-04,-1.82E-12,-1.18E-02,5.86E-01
83,-6.46E-04,-1.82E-12,-1.19E-02,5.78E-01
84,-6.08E-04,-1.82E-12,-1.19E-02,5.81E-01
85,-6.00E-04,0.00E+00,-1.26E-02,5.76E-01
86,-3.45E-04,0.00E+00,-1.29E-02,5.70E-01
87,-3.49E-04,-5.46E-12,-1.29E-02,5.71E-01
88,-6.43E-04,-1.82E-12,-1.19E-02,5.78E-01
89,-6.48E-04,-1.82E-12,-1.18E-02,5.78E-01
90,6.11E-04,-5.46E-12,-1.40E-02,5.16E-01
91,6.15E-04,1.82E-12,-1.40E-02,5.07E-01
92,5.59E-04,0.00E+00,-1.40E-02,5.12E-01
93,8.39E-05,7.28E-12,-1.27E-02,5.77E-01
94,-6.80E-04,3.64E-12,-1.38E-02,5.34E-01
95,-4.14E-04,-7.28E-12,-1.38E-02,5.27E-01
96,-1.70E-04,0.00E+00,-1.42E-02,4.94E-01
97,5.74E-04,-1.09E-11,-1.41E-02,5.10E-01
98,-9.65E-05,7.28E-12,-1.46E-02,4.79E-01
99,1.15E-04,7.28E-12,-1.46E-02,4.78E-01
100,1.25E-04,1.46E-11,-1.44E-02,4.84E-01
101,-1.95E-04,0.00E+00,-1.43E-02,4.90E-01
102,-2.41E-04,1.09E-11,-1.42E-02,4.95E-01
103,-5.65E-04,0.00E+00,-1.41E-02,5.10E-01
104,-5.07E-04,-1.82E-12,-1.42E-02,5.05E-01
105,2.69E-04,0.00E+00,-1.24E-02,5.94E-01
106,3.72E-04,0.00E+00,-1.23E-02,5.92E-01
107,3.68E-04,0.00E+00,-1.24E-02,5.90E-01
108,1.11E-04,6.37E-12,-1.34E-02,5.41E-01
109,2.23E-04,0.00E+00,-1.22E-02,6.04E-01
110,9.59E-05,-7.73E-12,-1.34E-02,5.42E-01
111,-6.01E-04,1.82E-12,-1.40E-02,5.16E-01
112,-5.33E-04,3.64E-12,-1.41E-02,5.11E-01
113,-6.18E-04,-1.82E-12,-1.42E-02,5.04E-01
114,-3.77E-04,0.00E+00,-1.46E-02,4.83E-01
115,3.09E-04,3.64E-12,-1.46E-02,4.78E-01
116,3.73E-04,0.00E+00,-1.45E-02,4.83E-01
117,1.92E-05,0.00E+00,-1.19E-02,6.14E-01
118,-2.45E-04,0.00E+00,-1.19E-02,6.14E-01
119,3.28E-04,-1.46E-11,-1.27E-02,5.81E-01
120,2.96E-04,0.00E+00,-1.25E-02,5.90E-01
121,5.94E-04,1.64E-11,-1.40E-02,5.11E-01
122,3.94E-04,0.00E+00,-1.42E-02,4.98E-01
123,6.31E-04,0.00E+00,-1.45E-02,4.90E-01
124,6.41E-05,0.00E+00,-1.10E-02,6.43E-01
125,-5.33E-04,7.28E-12,-1.33E-02,5.53E-01
126,-3.03E-06,0.00E+00,-1.09E-02,6.45E-01
127,6.44E-04,9.09E-13,-1.43E-02,5.01E-01
128,6.01E-04,-1.09E-11,-1.41E-02,5.10E-01
129,-7.71E-05,0.00E+00,-1.22E-02,6.04E-01
130,-2.38E-04,-1.82E-12,-1.10E-02,6.41E-01
131,-2.93E-05,0.00E+00,-1.49E-02,4.72E-01
132,-5.13E-05,0.00E+00,-1.49E-02,4.72E-01
133,-6.95E-05,9.09E-13,-1.48E-02,4.73E-01
134,-6.92E-04,0.00E+00,-1.45E-02,4.87E-01
135,6.81E-04,0.00E+00,-1.45E-02,4.89E-01
136,4.18E-04,0.00E+00,-1.46E-02,4.79E-01
137,3.76E-04,-3.64E-12,-1.47E-02,4.76E-01
138,2.79E-04,0.00E+00,-1.49E-02,4.72E-01
139,4.24E-04,7.28E-12,-1.49E-02,4.72E-01
140,1.23E-04,-7.28E-12,-1.47E-02,4.75E-01
141,-4.48E-04,0.00E+00,-1.49E-02,4.72E-01
142,-9.65E-05,0.00E+00,-1.49E-02,4.72E-01
143,-2.65E-04,-7.28E-12,-1.47E-02,4.77E-01
144,-5.95E-04,-1.46E-11,-1.49E-02,4.72E-01
145,-5.16E-04,0.00E+00,-1.47E-02,4.80E-01
146,6.48E-04,-7.28E-12,-1.13E-02,5.77E-01
147,-8.31E-04,0.00E+00,-1.12E-02,4.28E-01
148,-9.55E-04,0.00E+00,-1.12E-02,3.33E-01
149,-7.60E-04,-7.28E-12,-1.15E-02,4.91E-01
150,-6.14E-04,5.46E-12,-1.26E-02,5.70E-01
151,-7.29E-04,-3.64E-12,-1.37E-02,5.23E-01
152,-9.56E-04,-5.46E-12,-1.31E-02,3.99E-01
153,-9.65E-04,0.00E+00,-1.31E-02,3.92E-01
154,-9.26E-04,0.00E+00,-1.31E-02,4.06E-01
155,-9.29E-04,0.00E+00,-1.34E-02,4.16E-01
156,-8.07E-04,0.00E+00,-1.34E-02,4.58E-01
157,-6.67E-04,0.00E+00,-1.18E-02,5.64E-01
158,-7.62E-04,-3.64E-12,-1.21E-02,4.90E-01
159,-8.65E-04,0.00E+00,-1.40E-02,4.52E-01
160,-8.30E-04,-1.82E-12,-1.39E-02,4.77E-01
161,-7.68E-04,0.00E+00,-1.37E-02,5.04E-01
162,-9.22E-04,-3.64E-12,-1.34E-02,4.24E-01
163,-9.36E-04,1.82E-12,-1.34E-02,4.18E-01
164,-9.09E-04,7.28E-12,-1.23E-02,4.03E-01
165,-6.75E-04,1.09E-11,-1.19E-02,5.59E-01
166,-8.68E-04,-1.36E-12,-1.17E-02,4.26E-01
167,-9.53E-04,-1.82E-12,-1.22E-02,3.73E-01
168,-9.32E-04,0.00E+00,-1.20E-02,3.80E-01
169,-9.11E-04,0.00E+00,-1.40E-02,4.43E-01
170,-9.50E-04,-7.28E-12,-1.42E-02,4.35E-01
171,-6.00E-04,3.64E-12,-1.41E-02,5.03E-01
172,-8.32E-04,0.00E+00,-1.29E-02,4.73E-01
173,-9.46E-04,-3.64E-12,-1.10E-02,3.59E-01
174,-7.74E-04,-1.09E-11,-1.45E-02,4.86E-01
175,-7.39E-04,-3.64E-12,-1.44E-02,4.91E-01
176,-9.47E-04,-3.64E-12,-1.17E-02,3.71E-01
177,-8.19E-04,0.00E+00,-1.44E-02,4.72E-01
178,-9.67E-04,-5.91E-12,-1.31E-02,3.92E-01
179,-9.30E-04,7.28E-12,-1.14E-02,3.44E-01
180,-9.57E-04,0.00E+00,-1.17E-02,3.63E-01
181,-9.50E-04,0.00E+00,-1.28E-02,3.97E-01
182,-9.33E-04,7.28E-12,-1.27E-02,4.08E-01
183,-9.56E-04,0.00E+00,-1.37E-02,4.05E-01
184,-9.87E-04,-3.64E-12,-1.34E-02,3.33E-01
185,-6.53E-04,0.00E+00,-1.26E-02,5.51E-01
186,-9.18E-04,-7.28E-12,-1.25E-02,4.08E-01
187,-1.18E-03,0.00E+00,-1.27E-02,3.35E-02
188,-1.19E-03,1.36E-11,-1.27E-02,1.83E-02
189,-9.53E-04,0.00E+00,-1.23E-02,3.80E-01
190,-1.06E-03,3.64E-12,-1.25E-02,2.18E-01
191,-1.20E-03,0.00E+00,-1.26E-02,0.00E+00
192,-9.57E-04,0.00E+00,-1.34E-02,3.75E-01
193,-9.01E-04,0.00E+00,-1.39E-02,4.45E-01
194,-9.51E-04,0.00E+00,-1.23E-02,3.70E-01
195,-9.59E-04,-2.73E-12,-1.17E-02,3.62E-01
196,-1.06E-03,0.00E+00,-1.41E-02,2.30E-01
197,-9.56E-04,0.00E+00,-1.40E-02,3.64E-01
198,-1.06E-03,-7.28E-12,-1.29E-02,2.09E-01
199,-9.78E-04,-5.46E-12,-1.31E-02,3.74E-01
200,-9.85E-04,-7.28E-12,-1.22E-02,3.26E-01
201,-1.19E-03,0.00E+00,-1.21E-02,2.56E-02
202,-1.20E-03,9.09E-13,-1.21E-02,0.00E+00
203,-1.20E-03,0.00E+00,-1.21E-02,0.00E+00
204,-1.01E-03,3.64E-12,-1.23E-02,2.96E-01
205,-9.32E-04,1.09E-11,-1.39E-02,3.96E-01
206,-1.08E-03,0.00E+00,-1.39E-02,1.78E-01
207,-1.18E-03,-3.64E-12,-1.38E-02,4.78E-02
208,-1.11E-03,-7.28E-12,-1.36E-02,1.37E-01
209,-1.20E-03,0.00E+00,-1.38E-02,0.00E+00
210,-1.20E-03,0.00E+00,-1.38E-02,0.00E+00
211,-9.72E-04,8.19E-12,-1.31E-02,3.82E-01
212,-1.20E-03,5.46E-12,-1.32E-02,0.00E+00
213,-1.20E-03,0.00E+00,-1.32E-02,0.00E+00
214,-1.20E-03,7.28E-12,-1.30E-02,0.00E+00
215,-8.33E-04,0.00E+00,-1.45E-02,4.72E-01
216,-1.20E-03,-1.82E-12,-1.43E-02,0.00E+00
217,-1.20E-03,0.00E+00,-1.44E-02,0.00E+00
218,-1.17E-03,0.00E+00,-1.44E-02,7.41E-02
219,-1.20E-03,0.00E+00,-1.41E-02,0.00E+00
220,-1.20E-03,1.82E-12,-1.38E-02,0.00E+00
221,-9.96E-04,7.28E-12,-1.49E-02,3.73E-01
222,-9.57E-04,-3.64E-12,-1.48E-02,4.61E-01
223,-1.04E-03,0.00E+00,-1.48E-02,2.98E-01
224,-1.20E-03,1.27E-11,-1.49E-02,0.00E+00
225,-1.20E-03,5.46E-12,-1.48E-02,0.00E+00
226,-1.20E-03,0.00E+00,-1.46E-02,0.00E+00
227,-9.11E-04,7.28E-12,-1.39E-02,4.37E-01
228,-1.07E-03,0.00E+00,-1.46E-02,2.47E-01
229,-8.06E-04,3.64E-12,-1.48E-02,4.77E-01
230,-9.11E-04,-7.28E-12,-1.49E-02,4.72E-01
231,-1.20E-03,5.46E-12,-1.43E-02,0.00E+00
232,-1.17E-03,1.82E-12,-1.43E-02,6.56E-02
233,-9.55E-04,0.00E+00,-1.46E-02,4.47E-01
234,-1.20E-03,0.00E+00,-1.33E-02,0.00E+00
235,-1.20E-03,0.00E+00,-1.35E-02,0.00E+00
236,-1.06E-03,0.00E+00,-1.12E-02,1.91E-01
237,-1.18E-03,5.46E-12,-1.15E-02,2.97E-02
238,-1.20E-03,5.46E-12,-1.15E-02,0.00E+00
239,-1.20E-03,0.00E+00,-1.18E-02,0.00E+00
240,-1.20E-03,0.00E+00,-1.21E-02,0.00E+00
241,-1.05E-03,0.00E+00,-1.19E-02,2.11E-01
242,-1.20E-03,0.00E+00,-1.24E-02,0.00E+00
243,-1.20E-03,0.00E+00,-1.16E-02,0.00E+00
244,-1.20E-03,5.46E-12,-1.15E-02,0.00E+00
245,-9.67E-04,-3.64E-12,-1.17E-02,3.50E-01
246,-9.77E-04,9.09E-13,-1.17E-02,3.36E-01
247,-1.02E-03,7.28E-12,-1.11E-02,2.43E-01
248,-1.20E-03,-9.09E-13,-1.27E-02,0.00E+00
249,-1.20E-03,0.00E+00,-1.27E-02,0.00E+00
250,-9.57E-04,-3.64E-12,-1.17E-02,3.64E-01
251,-1.20E-03,7.28E-12,-1.13E-02,0.00E+00
252,5.50E-04,-3.64E-12,-8.93E-03,6.31E-01
253,4.93E-04,-3.64E-12,-8.88E-03,6.39E-01
254,1.92E-04,-7.28E-12,-9.00E-03,6.67E-01
255,7.06E-05,0.00E+00,-8.88E-03,6.84E-01
256,2.04E-04,0.00E+00,-9.30E-03,6.76E-01
257,-3.77E-04,1.46E-11,-8.72E-03,6.50E-01
258,-3.10E-04,-7.28E-12,-9.05E-03,6.70E-01
259,-1.69E-04,-3.64E-12,-9.11E-03,6.80E-01
260,-9.15E-05,7.28E-12,-8.90E-03,6.74E-01
261,1.28E-04,0.00E+00,-9.30E-03,6.78E-01
262,-2.61E-04,0.00E+00,-9.22E-03,6.74E-01
263,1.42E-04,3.64E-12,-1.08E-02,6.44E-01
264,1.25E-04,0.00E+00,-9.68E-03,6.70E-01
265,-1.76E-04,0.00E+00,-9.64E-03,6.71E-01
266,-2.39E-04,7.28E-12,-9.74E-03,6.69E-01
267,-2.09E-05,0.00E+00,-9.84E-03,6.67E-01
268,2.45E-04,7.28E-12,-1.01E-02,6.55E-01
269,1.50E-04,0.00E+00,-9.87E-03,6.67E-01
270,3.74E-05,-7.28E-12,-1.01E-02,6.64E-01
271,5.25E-04,3.64E-12,-1.01E-02,6.28E-01
272,5.64E-04,0.00E+00,-1.01E-02,6.23E-01
273,1.84E-04,0.00E+00,-9.31E-03,6.78E-01
274,1.83E-04,0.00E+00,-9.33E-03,6.78E-01
275,1.95E-04,0.00E+00,-9.32E-03,6.77E-01
276,2.14E-04,0.00E+00,-9.34E-03,6.75E-01
277,3.41E-04,0.00E+00,-9.69E-03,6.52E-01
278,-2.62E-04,0.00E+00,-9.44E-03,6.74E-01
279,-2.52E-04,0.00E+00,-9.63E-03,6.65E-01
280,-1.43E-04,-7.28E-12,-1.01E-02,6.64E-01
